,0,1,2,3,4
Accumulated time steps,0.0,39.0,77.0,111.0,1179.0
Episode reward,0.0,189.205177658824,196.4816020482744,172.72464520372233,368.1984172050893
Episode feedback,0.8,0.7837837626004389,0.7297297100073051,0.6969696758494038,0.4776119331699712
total seconds,0.0,11.448052644729614,22.773886680603027,33.139782667160034,244.1384243965149
total minutes,0.0,0.19080087741216023,0.37956477801005045,0.5523297111193339,4.068973739941915
cummulative feedback,0.0,29.0,56.0,79.0,111.0
e,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045
