,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Accumulated time steps,0.0,56.0,115.0,184.0,325.0,425.0,500.0,567.0,633.0,695.0,764.0,830.0,895.0,962.0,1029.0,1099.0,1167.0,1240.0,1306.0,1381.0,1453.0,1523.0,1588.0,1649.0,1711.0,1769.0,1830.0,1894.0,1957.0,2028.0,2095.0,2157.0,2221.0,2287.0,2356.0,2416.0,2478.0,2538.0,2594.0,2653.0,2715.0,2776.0,2836.0,2897.0,2959.0,3024.0,3088.0,3156.0,3214.0,3274.0,3338.0,3402.0,3471.0,3538.0,3604.0,3665.0,3726.0,3793.0,3858.0,3921.0,3982.0,4047.0,4112.0,4179.0,4240.0,4300.0,4357.0,4416.0,4476.0,4540.0,4604.0,4665.0,4727.0,4786.0,4842.0,4903.0,4966.0,5024.0,5083.0,5141.0,5201.0,5262.0,5326.0,5385.0,5446.0,5507.0,5566.0,5624.0,5686.0,5756.0,5827.0,5894.0,7012.0,7088.0,7159.0,7227.0,7296.0,7365.0,7437.0,7508.0,7582.0
Episode reward,0.0,331.20862614334226,329.94855467374924,374.84725077380034,1124.7518100013565,457.9785467858454,376.3784988897482,344.69936895091087,346.823077781805,315.8608045760926,380.9980597034794,337.44434787739885,342.98130346786115,356.5105797685901,352.5427838238865,375.29751277429233,345.13506289318855,419.273879320806,347.19886427714476,418.103382106614,382.9698025259382,372.64518377302454,330.78707262870114,321.85032704568266,318.03755506570997,300.6015244172356,325.0871685120577,335.3679118781719,337.972936286558,372.0155795919414,355.7887820437041,315.9035922643286,334.71143928749376,359.8112562988382,373.47200836164,310.23063047964615,319.5773431332201,313.94566587502504,294.34890285326225,312.4935577556369,317.9042630224796,318.9174192367966,327.42113324656054,333.85524049612025,328.51688252384986,342.72057601465514,337.0918108886054,377.774549301134,302.1348924094064,319.676273483376,335.3497893633964,334.46550296534616,367.4335997546567,351.3049699402111,344.4836705842301,309.0105673472587,327.5932861413089,362.1221512785584,343.67866834678586,331.7318546659223,316.8362948565016,341.8504915035866,340.3778271251983,351.0720169347837,315.9006372014625,316.2583288065563,296.9502859564119,307.2505412210423,318.0147206100029,333.76659285762764,341.2401617887357,319.0518215134174,324.62407832092396,314.08359630645725,301.45939965782577,315.9828628798032,347.02261901384543,306.2856756649572,298.97169941098406,304.100178867158,325.27871913961536,316.6100382007837,326.39802763240107,310.9696214368083,322.68550421663633,326.1304286013148,305.51896396601774,312.0767743588927,328.73966744823605,363.23481104864896,382.8244409272282,347.6045479829361,526.0288177966648,388.98732200684253,369.78749486677725,366.6677362825703,368.88820400017323,366.191265659513,372.87592567326385,376.37807277359565,399.1749978968668
Episode feedback,0.8,0.6666666543209879,0.7586206765755056,0.7794117532439448,0.6142857098979593,0.6767676699316397,0.7702702598612128,0.7727272610192839,0.7230769119526629,0.8196721177102931,0.6911764604238756,0.76923075739645,0.703124989013672,0.7272727162534437,0.8333333207070709,0.7971014377231675,0.7611940184896415,0.6388888800154322,0.76923075739645,0.6081080998904311,0.7042253421940093,0.695652163831128,0.6249999902343751,0.6666666555555558,0.6393442518140287,0.6140350769467531,0.6833333219444446,0.58730157797934,0.6612903119146725,0.6285714195918369,0.6666666565656567,0.6721311365224404,0.58730157797934,0.584615375621302,0.6617646961505192,0.5423728721631716,0.7049180212308521,0.6610169379488655,0.5999999890909093,0.5862068864447089,0.5737704823972052,0.5499999908333335,0.6271186334386673,0.5999999900000001,0.5409835976887934,0.6093749904785158,0.4920634842529606,0.5671641706393408,0.6491227956294247,0.5084745676529735,0.47619046863189735,0.6349206248425298,0.48529411051038074,0.5454545371900827,0.6615384513609469,0.5166666580555557,0.6666666555555558,0.5151515073461893,0.49999999218750013,0.35483870395421446,0.44999999250000017,0.3906249938964845,0.6718749895019533,0.4848484775022958,0.5499999908333335,0.4915254153978743,0.6071428463010207,0.5344827494054699,0.5762711766733699,0.30158729680020163,0.44444443738977085,0.5166666580555557,0.5737704823972052,0.46551723335315115,0.618181806942149,0.39999999333333347,0.38709676795005216,0.6491227956294247,0.5862068864447089,0.5087719208987382,0.4915254153978743,0.5833333236111113,0.3333333280423281,0.5517241284185496,0.39999999333333347,0.46666665888888903,0.5517241284185496,0.4561403428747308,0.45901638591776417,0.36231883532871256,0.4285714224489797,0.5606060521120295,0.3931623898020309,0.4133333278222223,0.37142856612244907,0.44776118734684794,0.2794117605968859,0.42647058196366794,0.2957746437214839,0.39999999428571437,0.31506848883467825
total seconds,0.0,15.286078453063965,30.82792019844055,46.72496151924133,75.00250959396362,96.00598382949829,112.1278350353241,126.60757255554199,140.5367875099182,154.21712040901184,168.6409878730774,182.90741848945618,196.80346488952637,211.11771321296692,225.51801872253418,240.67882299423218,255.3860523700714,270.40534353256226,284.4306879043579,299.86507749557495,314.926869392395,329.5600850582123,343.04997658729553,355.8413202762604,368.86756229400635,381.0182604789734,393.8638029098511,407.09273171424866,420.26652669906616,434.9885935783386,449.1717519760132,462.301931142807,475.56795859336853,489.2437834739685,503.7311599254608,516.1516387462616,529.3369576931,542.4197232723236,556.2220652103424,568.9249169826508,582.2577562332153,595.0262448787689,607.7355992794037,620.6958246231079,634.775013923645,651.7852509021759,667.5105476379395,684.3840832710266,699.3462514877319,714.1427459716797,729.899480342865,745.9263961315155,763.130613565445,780.0334167480469,795.1903893947601,807.794796705246,824.2677323818207,838.7006320953369,855.2105412483215,869.720648765564,884.8702073097229,898.2470235824585,912.4936957359314,931.041515827179,946.6798923015594,959.4601764678955,972.2880702018738,984.992160320282,998.4667811393738,1011.8150870800018,1025.576390504837,1038.8856942653656,1053.5847845077515,1065.8645091056824,1078.153818845749,1090.863605260849,1106.4653227329254,1122.2729687690735,1136.1486864089966,1150.558369398117,1164.1942384243011,1179.1315565109253,1193.341234445572,1207.6461055278778,1220.5507998466492,1234.0281267166138,1246.9953994750977,1259.4596877098083,1272.6325161457062,1288.057229757309,1303.2957966327667,1317.8774707317352,1532.5504882335663,1547.9912388324738,1562.3081879615784,1576.2752623558044,1590.202318906784,1604.3155453205109,1618.6196596622467,1633.1790883541107,1648.0640869140625
total minutes,0.0,0.25476797421773273,0.5137986699740092,0.7787493586540222,1.2500418265660604,1.6000997304916382,1.868797250588735,2.1101262092590334,2.34227979183197,2.5702853401501975,2.8106831312179565,3.0484569748242696,3.280057748158773,3.5186285535494486,3.7586336453755695,4.011313716570537,4.256434206167857,4.506755725542704,4.740511465072632,4.997751291592916,5.248781156539917,5.492668084303538,5.717499609788259,5.930688671271006,6.147792704900106,6.350304341316223,6.564396715164184,6.7848788619041445,7.004442111651103,7.24980989297231,7.486195866266886,7.70503218571345,7.926132643222809,8.154063057899474,8.395519332091014,8.602527312437694,8.822282628218334,9.040328721205393,9.270367753505706,9.482081949710846,9.704295937220255,9.917104081312816,10.128926654656729,10.344930410385132,10.579583565394083,10.863087515036264,11.125175793965658,11.406401387850444,11.655770858128866,11.902379099527995,12.16499133904775,12.432106602191926,12.718843559424082,13.000556945800781,13.253173156579335,13.4632466117541,13.73779553969701,13.978343868255616,14.253509020805359,14.495344146092732,14.747836788495382,14.970783726374309,15.208228262265523,15.51735859711965,15.777998205025991,15.991002941131592,16.204801170031228,16.416536005338035,16.641113018989564,16.863584784666696,17.092939841747285,17.314761571089427,17.559746408462523,17.764408485094705,17.969230314095814,18.181060087680816,18.441088712215425,18.70454947948456,18.935811440149944,19.17597282330195,19.403237307071684,19.65219260851542,19.889020574092864,20.127435092131297,20.342513330777486,20.567135445276897,20.783256657918294,20.990994795163473,21.21054193576177,21.46762049595515,21.72159661054611,21.964624512195588,25.542508137226104,25.79985398054123,26.03846979935964,26.27125437259674,26.503371981779733,26.738592422008516,26.976994327704112,27.21965147256851,27.46773478190104
cummulative feedback,0.0,36.0,80.0,133.0,219.0,286.0,343.0,394.0,441.0,491.0,538.0,588.0,633.0,681.0,736.0,791.0,842.0,888.0,938.0,983.0,1033.0,1081.0,1121.0,1161.0,1200.0,1235.0,1276.0,1313.0,1354.0,1398.0,1442.0,1483.0,1520.0,1558.0,1603.0,1635.0,1678.0,1717.0,1750.0,1784.0,1819.0,1852.0,1889.0,1925.0,1958.0,1997.0,2028.0,2066.0,2103.0,2133.0,2163.0,2203.0,2236.0,2272.0,2315.0,2346.0,2386.0,2420.0,2452.0,2474.0,2501.0,2526.0,2569.0,2601.0,2634.0,2663.0,2697.0,2728.0,2762.0,2781.0,2809.0,2840.0,2875.0,2902.0,2936.0,2960.0,2984.0,3021.0,3055.0,3084.0,3113.0,3148.0,3169.0,3201.0,3225.0,3253.0,3285.0,3311.0,3339.0,3364.0,3394.0,3431.0,3477.0,3508.0,3534.0,3564.0,3583.0,3612.0,3633.0,3661.0,3684.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
