,0,1,2,3,4,5
Accumulated time steps,0.0,35.0,75.0,110.0,162.0,202.0
Episode reward,0.0,205.32921535254883,232.7263838463825,203.5273451727866,329.53676662041977,239.36645944860993
Episode feedback,0.8,0.7878787640036738,0.7435897245233405,0.558823512975779,0.43137254056132274,0.4615384497041424
total seconds,0.0,11.212986946105957,20.666154861450195,28.765653133392334,40.28426647186279,49.09012317657471
total minutes,0.0,0.1868831157684326,0.34443591435750326,0.47942755222320554,0.6714044411977133,0.8181687196095785
cummulative feedback,0.0,26.0,55.0,74.0,96.0,114.0
e,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
