,0,1,2,3
Accumulated time steps,0.0,38.0,94.0,132.0
Episode reward,0.0,238.1912192667694,374.7328224389699,246.09151685919048
Episode feedback,0.8,0.8333333101851859,0.8727272568595045,0.8378378151935726
total seconds,0.0,11.338775157928467,27.994350910186768,39.49142789840698
total minutes,0.0,0.18897958596547446,0.46657251516977943,0.6581904649734497
cummulative feedback,0.0,30.0,78.0,109.0
e,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045
