,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Accumulated time steps,0.0,57.0,125.0,169.0,287.0,346.0,409.0,471.0,517.0,574.0,626.0,702.0,763.0,818.0,866.0,916.0,976.0,1023.0,1074.0,1123.0,1165.0,1227.0,1281.0,1322.0,1722.0,1809.0,1895.0,1954.0,2051.0,2101.0,2385.0,2480.0,2558.0,2649.0,2734.0,2975.0,3055.0,3856.0,4339.0,4657.0,4866.0,5052.0,5197.0,5284.0,5427.0,5570.0,6125.0,6443.0,6726.0,6936.0,7224.0,8082.0,8731.0
Episode reward,0.0,308.0199468200406,388.4572993576029,235.11212270615243,867.2003034047957,268.69152711677623,333.34915298999783,339.4734342269822,218.75097342842403,285.1253015116318,258.07001170033317,417.57567109013127,310.02488231037233,299.70791455391196,237.47428570612806,251.63158831421507,303.26113228876454,229.33826822407897,274.62740180374715,241.4665908295663,221.87463770237537,350.20927941358866,288.401866118363,211.1488359250076,3014.763891892023,424.45311767435413,546.9466822161136,317.32394982508777,540.8887860110996,248.9535397275405,2155.413216617334,337.33986946509674,414.0546809243083,470.54902675209206,464.08126327175984,1955.2378572211242,354.2226072328503,4177.830910953282,3689.4486530900763,2297.679854583287,1171.6067763282203,927.4440646495642,740.2246802083308,439.9278125753884,723.4108771637003,568.8551467297577,4540.8449323977,2125.5820034841886,1077.7597550142716,1560.9511592830554,1189.960885682701,5852.540937612213,4319.2141524151275
Episode feedback,0.8,0.781818167603306,0.6865671539318335,0.5813953353163875,0.6324786270728323,0.6724137815101072,0.5322580559313217,0.47540982827197004,0.5333333214814818,0.5535714186862247,0.5490195970780472,0.5199999930666668,0.5166666580555557,0.5185185089163239,0.6170212634676328,0.5102040712203251,0.4915254153978743,0.43478259924385654,0.47999999040000024,0.5624999882812503,0.560975596073766,0.4918032706261759,0.45283018013527965,0.4249999893750003,0.40100250526064535,0.2558139505137913,0.2823529378546713,0.20689654815695607,0.30208333018663197,0.28571427988338205,0.3003533558291401,0.25531914622000906,0.2337662307303087,0.23333333074074078,0.22619047349773247,0.19166666586805556,0.2531645537574107,0.157499999803125,0.11825726116544137,0.13564668726925336,0.07211538426867604,0.08108108064280498,0.08333333275462963,0.1046511615738237,0.0774647881868677,0.08450704165840112,0.06678700348955414,0.05047318596065241,0.03546099278205322,0.06220095664018681,0.024390243817455595,0.031505250838383604,0.009259259244970279
total seconds,0.0,12.574187278747559,28.472139835357666,39.672547817230225,62.716737508773804,77.4678213596344,92.25788998603821,106.72054958343506,118.36849331855774,132.0475344657898,145.34314894676208,162.283127784729,176.5337872505188,189.73254132270813,202.03780913352966,214.40507769584656,228.43789052963257,239.97794771194458,252.31095910072327,264.433251619339,275.3320767879486,289.741619348526,302.5405616760254,313.05405616760254,387.09021401405334,405.3349783420563,424.2080047130585,437.5910875797272,457.7697706222534,469.7623190879822,521.9378573894501,541.4990758895874,558.0937349796295,576.8998279571533,591.8868191242218,636.642041683197,653.539304971695,721.0310246944427,805.8028981685638,862.8248565196991,901.2815406322479,935.7873830795288,963.5173196792603,981.5313768386841,1008.9524536132812,1036.5743291378021,1134.5442683696747,1190.8903954029083,1241.9712097644806,1280.5386028289795,1333.1143696308136,1408.29443025589,1521.2241761684418
total minutes,0.0,0.20956978797912598,0.47453566392262775,0.6612091302871704,1.0452789584795634,1.2911303559939067,1.5376314997673035,1.7786758263905844,1.9728082219759624,2.2007922410964964,2.4223858157793683,2.70471879641215,2.9422297875086465,3.1622090220451353,3.3672968188921613,3.5734179615974426,3.807298175493876,3.999632461865743,4.205182651678721,4.407220860322316,4.58886794646581,4.8290269891421,5.042342694600423,5.217567602793376,6.451503566900889,6.755582972367605,7.070133411884308,7.2931847929954525,7.629496177037557,7.829371984799703,8.698964289824168,9.02498459815979,9.301562249660492,9.614997132619221,9.86478031873703,10.61070069471995,10.892321749528248,12.01718374490738,13.430048302809398,14.380414275328318,15.021359010537465,15.596456384658813,16.058621994654338,16.358856280644734,16.81587422688802,17.276238818963368,18.90907113949458,19.84817325671514,20.699520162741344,21.34231004714966,22.21857282718023,23.471573837598164,25.35373626947403
cummulative feedback,0.0,43.0,89.0,114.0,188.0,227.0,260.0,289.0,313.0,344.0,372.0,411.0,442.0,470.0,499.0,524.0,553.0,573.0,597.0,624.0,647.0,677.0,701.0,718.0,878.0,900.0,924.0,936.0,965.0,979.0,1064.0,1088.0,1106.0,1127.0,1146.0,1192.0,1212.0,1338.0,1395.0,1438.0,1453.0,1468.0,1480.0,1489.0,1500.0,1512.0,1549.0,1565.0,1575.0,1588.0,1595.0,1622.0,1628.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
