,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
Accumulated time steps,0.0,49.0,102.0,158.0,210.0,268.0,331.0,399.0,461.0,526.0,585.0,651.0,710.0,768.0,829.0,900.0,967.0,1031.0,1092.0,1155.0,1212.0,1278.0,1327.0,1376.0,1436.0,1507.0,1570.0,1688.0,1772.0,1847.0,1917.0,1980.0,2045.0,2102.0,2156.0,2217.0,2282.0,2350.0,2418.0,2474.0,2550.0,2626.0,2689.0,2759.0,2824.0,2886.0,2946.0,3009.0,3079.0,3141.0,3207.0,3609.0,3709.0,3781.0,3852.0,3917.0,3987.0,4059.0,4134.0,4205.0,4291.0,4369.0,4450.0,4512.0,4581.0,4671.0,4741.0,4800.0,4853.0,4920.0,4994.0,5063.0,5184.0,5285.0,5379.0,5508.0,5588.0,5646.0,5716.0,5810.0,5876.0,5942.0,6028.0,6096.0,6162.0,6215.0,6300.0,6422.0,6515.0,6748.0,6893.0,7846.0,8153.0,8283.0,8362.0,8437.0,8541.0,8678.0,8752.0,8927.0,9634.0,9734.0,10881.0,10958.0,11947.0,12016.0,13816.0,14130.0
Episode reward,0.0,282.303952932281,313.78230844367374,322.97587056274534,289.08957443301193,341.7908519743204,353.3572319104334,409.2105517533107,348.4071759516561,397.3658830178689,299.52056312775744,420.0834871708967,327.7636127800503,305.2771744651926,359.8282125397768,439.86197496925246,383.366051201748,336.8378159680336,369.4374385811371,333.4199906795833,338.5179756470599,359.17653343999706,246.9403757738353,269.2658778555887,357.96869204081946,405.18156085774945,377.06510895870707,930.9231176126151,472.49239809487574,420.0228174321551,431.9205693741958,350.57514551863267,351.23369358978795,316.2377742795084,298.60867590252104,311.2257105120199,367.152767484542,404.2738667885321,387.7166095098789,296.55747269854555,460.4459072555719,453.20410045558015,340.23598765953636,427.54001341151667,324.48441465848293,377.5979925841043,311.0084512159999,324.5691002931485,423.81124004227837,340.9541249357673,378.5589045174252,2976.117042759469,541.2960361111121,401.2170880044967,400.48659768367435,355.22342083672936,434.7589990624263,450.0148550321996,428.4500474640448,420.29414492850367,471.6553360639575,468.4012775345466,458.54892086548017,323.1401291327121,382.91842522717866,561.6742944246574,375.3240950163859,341.610341084515,294.7183503862386,398.34544061337067,466.76394335754725,377.40850539282945,842.5457038628804,614.4619001244,459.9821435168024,982.3936741957735,451.82178949082186,281.8073976302669,425.9010790526385,549.3312173006545,369.09538924598894,339.4132415020883,510.99462333109744,362.3673064269643,373.40208840124956,286.31050747533146,488.07055987682156,865.3817109598486,512.8580283060962,1963.570448091462,728.3511307124342,5659.959225127619,1972.8634778622556,927.1126848889569,393.27853902949704,443.77403700698034,658.3947316522638,929.321584272888,355.82900166968824,1386.4178213527466,5099.640474847759,490.0685962907632,1004.8733658594869,407.36849553179394,5429.127001375024,363.9418347429376,3890.0409548748626,2169.740375255698
Episode feedback,0.8,0.7021276446355821,0.6730769101331364,0.6727272604958681,0.7254901818531337,0.6666666549707605,0.5161290239334029,0.5671641706393408,0.47540982827197004,0.6249999902343751,0.4999999913793105,0.569230760473373,0.43103447532699185,0.40350876485072346,0.5666666572222224,0.4285714224489797,0.46969696258034904,0.38095237490551787,0.41666665972222233,0.35483870395421446,0.4107142783801022,0.292307687810651,0.43749999088541686,0.3749999921875002,0.32203389284688316,0.37142856612244907,0.32258063995837677,0.31623931353641616,0.3734939714036871,0.36486485993425866,0.347826081915564,0.29032257596253913,0.21874999658203131,0.16071428284438782,0.2075471658953365,0.2833333286111112,0.2968749953613282,0.17910447493873918,0.2537313394965472,0.1454545428099174,0.26666666311111115,0.13333333155555557,0.17741935197710723,0.18840579437093052,0.1718749973144532,0.29508196237570555,0.16949152255099115,0.14516128798126957,0.26086956143667306,0.09836065412523519,0.138461536331361,0.15960099710822695,0.19191918998061425,0.2112676026582028,0.17142856897959188,0.10937499829101566,0.10144927389203952,0.14084506843880185,0.05405405332359388,0.11428571265306126,0.05882352871972319,0.18181817945690676,0.14999999812500003,0.08196721177102932,0.13235293923010383,0.11235954929933091,0.13043478071833653,0.03448275802615935,0.05769230658284026,0.10606060445362721,0.13698629949333838,0.14705882136678206,0.06666666611111112,0.0799999992,0.053763440282113543,0.0703124994506836,0.06329113843935268,0.07017543736534321,0.11594202730518802,0.09677419250780439,0.07692307573964499,0.12307692118343198,0.07058823446366783,0.044776118734684796,0.06153846059171599,0.09615384430473377,0.03571428528911565,0.03305785096646404,0.04347826039697543,0.025862068854042807,0.006944444396219137,0.03361344534284302,0.029411764609765474,0.007751937924403582,0.02564102531229455,0.02702702666179694,0.01941747553963616,0.01470588224480969,0.0,0.01724137921125644,0.016997167114734892,0.0,0.013698630043160069,0.013157894563711914,0.006072874487780491,0.014705882136678205,0.0,0.0
total seconds,0.0,12.609572172164917,24.866932153701782,36.86702752113342,48.131760358810425,60.46134090423584,73.00809669494629,86.8861792087555,99.4164788722992,112.83232498168945,124.83034634590149,138.2354781627655,149.97883486747742,161.56869387626648,174.12619471549988,188.30320072174072,201.72235894203186,214.32458901405334,226.56242036819458,238.98190093040466,250.4200403690338,263.0745666027069,273.0144910812378,282.9380097389221,294.71024894714355,308.4576437473297,320.72484254837036,342.8140745162964,358.9270853996277,373.3755271434784,386.9806694984436,399.1527907848358,411.4570653438568,422.30546140670776,432.6679780483246,444.6932258605957,457.43476581573486,470.1985306739807,483.2772207260132,493.87280201911926,508.3503189086914,522.5348560810089,534.3548243045807,547.4383869171143,559.6217138767242,571.5952093601227,582.8815584182739,594.7399542331696,608.0530843734741,619.6384027004242,632.1396589279175,697.0088369846344,713.3855066299438,726.8094522953033,740.0749914646149,752.2520475387573,765.2346022129059,778.6101679801941,792.1448163986206,805.2176558971405,820.7304198741913,835.1781389713287,850.156925201416,861.7325222492218,874.5169200897217,890.8691883087158,903.9105107784271,914.8318543434143,924.8454506397247,937.3716549873352,951.1777813434601,964.009251832962,985.4260149002075,1003.5759928226471,1020.2887361049652,1044.9114737510681,1060.6851844787598,1071.6671965122223,1084.7247123718262,1101.653480052948,1113.8774673938751,1126.3146543502808,1142.0070588588715,1154.3268296718597,1166.5817232131958,1176.5636115074158,1191.958904504776,1213.5038814544678,1230.0281908512115,1269.7748301029205,1294.5522270202637,1440.456585407257,1487.3213443756104,1507.6493153572083,1520.4333176612854,1532.7071290016174,1549.2807033061981,1570.5950462818146,1582.701937675476,1609.870521068573,1711.4281294345856,1725.1725738048553,1873.31693816185,1886.0190703868866,2017.599536895752,2028.4238393306732,2295.114342212677,2342.21261882782
total minutes,0.0,0.2101595362027486,0.41444886922836305,0.614450458685557,0.8021960059801737,1.0076890150705973,1.216801611582438,1.4481029868125916,1.6569413145383198,1.8805387496948243,2.0805057724316915,2.3039246360460917,2.49964724779129,2.6928115646044413,2.9021032452583313,3.138386678695679,3.362039315700531,3.572076483567556,3.7760403394699096,3.983031682173411,4.173667339483897,4.384576110045115,4.55024151802063,4.715633495648702,4.911837482452393,5.1409607291221615,5.345414042472839,5.71356790860494,5.9821180899937945,6.222925452391307,6.44967782497406,6.652546513080597,6.857617755730947,7.038424356778463,7.211132967472077,7.411553764343262,7.623912763595581,7.836642177899678,8.054620345433554,8.23121336698532,8.472505315144856,8.708914268016816,8.905913738409678,9.123973115285237,9.327028564612071,9.526586822668712,9.714692640304566,9.912332570552826,10.134218072891235,10.327306711673737,10.535660982131958,11.616813949743907,11.889758443832397,12.11349087158839,12.334583191076915,12.537534125645955,12.753910036881765,12.976836133003236,13.202413606643677,13.420294264952341,13.678840331236522,13.919635649522146,14.169282086690266,14.362208704153696,14.575282001495362,14.847819805145264,15.065175179640452,15.247197572390238,15.414090843995412,15.622860916455586,15.852963022391002,16.0668208638827,16.42376691500346,16.72626654704412,17.004812268416085,17.41519122918447,17.67808640797933,17.86111994187037,18.0787452061971,18.3608913342158,18.564624456564584,18.771910905838013,19.03345098098119,19.238780494530996,19.44302872021993,19.609393525123597,19.865981741746268,20.225064690907796,20.500469847520193,21.162913835048677,21.575870450337728,24.00760975678762,24.78868907292684,25.127488589286806,25.340555294354758,25.545118816693623,25.8213450551033,26.17658410469691,26.3783656279246,26.831175351142882,28.523802157243093,28.752876230080922,31.221948969364167,31.433651173114775,33.62665894826253,33.807063988844554,38.251905703544615,39.03687698046367
cummulative feedback,0.0,33.0,68.0,105.0,142.0,180.0,212.0,250.0,279.0,319.0,348.0,385.0,410.0,433.0,467.0,497.0,528.0,552.0,577.0,599.0,622.0,641.0,662.0,680.0,699.0,725.0,745.0,782.0,813.0,840.0,864.0,882.0,896.0,905.0,916.0,933.0,952.0,964.0,981.0,989.0,1009.0,1019.0,1030.0,1043.0,1054.0,1072.0,1082.0,1091.0,1109.0,1115.0,1124.0,1188.0,1207.0,1222.0,1234.0,1241.0,1248.0,1258.0,1262.0,1270.0,1275.0,1289.0,1301.0,1306.0,1315.0,1325.0,1334.0,1336.0,1339.0,1346.0,1356.0,1366.0,1374.0,1382.0,1387.0,1396.0,1401.0,1405.0,1413.0,1422.0,1427.0,1435.0,1441.0,1444.0,1448.0,1453.0,1456.0,1460.0,1464.0,1470.0,1471.0,1503.0,1512.0,1513.0,1515.0,1517.0,1519.0,1521.0,1521.0,1524.0,1536.0,1536.0,1538.0,1539.0,1545.0,1546.0,1546.0,1546.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
