,0,1,2,3,4,5,6,7,8,9,10
Accumulated time steps,0.0,48.0,94.0,144.0,187.0,233.0,278.0,321.0,371.0,414.0,460.0
Episode reward,0.0,278.66540678447853,256.3916974146425,261.16287081881296,209.14868889584397,228.67281909785592,236.91292386394446,213.81235346014913,276.1135416702268,214.6740754615838,233.70184833187523
Episode feedback,0.8,0.41304346928166374,0.5555555432098769,0.4897959083715121,0.6904761740362816,0.7555555387654325,0.5227272608471077,0.5714285578231296,0.6734693740108292,0.5714285578231296,0.4888888780246916
total seconds,0.0,10.206601858139038,20.000021934509277,30.527174472808838,40.111377000808716,50.25099802017212,59.98425483703613,69.13365459442139,80.9386305809021,90.14376401901245,100.00041699409485
total minutes,0.0,0.17011003096898397,0.33333369890848796,0.5087862412134806,0.6685229500134786,0.8375166336695353,0.9997375806172689,1.1522275765736898,1.3489771763483682,1.5023960669835408,1.6666736165682474
cummulative feedback,0.0,19.0,44.0,68.0,97.0,131.0,154.0,178.0,211.0,235.0,257.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
