,0,1,2,3,4,5,6
Accumulated time steps,0.0,52.0,88.0,130.0,191.0,248.0,301.0
Episode reward,0.0,308.95362898172095,175.37222705461633,216.34767988679846,310.17210659323916,340.32700359930146,304.15351194718664
Episode feedback,0.8,0.3999999920000002,0.7999999771428579,0.585365839381321,0.633333322777778,0.5178571336096941,0.5961538346893493
total seconds,0.0,10.768576622009277,18.816662788391113,27.761935234069824,40.57106971740723,52.30258369445801,63.442747592926025
total minutes,0.0,0.17947627703348795,0.3136110464731852,0.4626989205678304,0.6761844952901205,0.8717097282409668,1.057379126548767
cummulative feedback,0.0,20.0,48.0,72.0,110.0,139.0,170.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
