,0,1,2,3,4,5,6,7,8,9,10,11
Accumulated time steps,0.0,58.0,202.0,454.0,505.0,598.0,662.0,683.0,724.0,756.0,917.0,1024.0
Episode reward,0.0,386.7561683587491,865.6231764541666,961.6144967938304,289.0337231817283,681.5430526959731,335.21286970427815,146.44956595227865,148.4822529783685,161.81535537402092,1220.6424726076661,540.410227926713
Episode feedback,0.8,0.3928571358418369,0.42657342359039563,0.6175298780178092,0.5999999880000003,0.5978260804584122,0.58730157797934,0.6499999675000016,0.6749999831250004,0.8387096503642048,0.5062499968359375,0.566037730509078
total seconds,0.0,15.446547269821167,60.57903456687927,144.80855464935303,164.76104855537415,192.7719931602478,210.19233632087708,216.79526662826538,229.7072949409485,239.81023573875427,277.13533186912537,301.248006105423
total minutes,0.0,0.25744245449701947,1.0096505761146546,2.4134759108225503,2.7460174759229026,3.2128665526707967,3.5032056053479512,3.613254443804423,3.828454915682475,3.9968372623125714,4.6189221978187565,5.020800101757049
cummulative feedback,0.0,22.0,83.0,238.0,268.0,323.0,360.0,373.0,400.0,426.0,507.0,567.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tau,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
