,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
Accumulated time steps,0.0,167.0,305.0,395.0,480.0,572.0,661.0,755.0,854.0,947.0,1037.0,1123.0,1206.0,1294.0,1377.0,1482.0,1580.0,1663.0,1746.0,1835.0,1917.0,1999.0,2082.0,2160.0,2243.0,2332.0,2425.0,2516.0,2605.0,2698.0,2789.0,2881.0,2969.0,3055.0,3143.0,3223.0,3298.0,3380.0,3467.0,3561.0,3662.0,3762.0,3851.0,3931.0,4015.0,4103.0,4182.0,4257.0,4330.0,4406.0,4493.0,4591.0,4698.0,4788.0,4882.0,4974.0,5074.0,5168.0,5258.0,5343.0,5435.0,5529.0,5627.0,5707.0,5796.0,5894.0,5985.0,6076.0,6159.0,6249.0,6334.0,6417.0,6496.0,6583.0,6681.0,6779.0,6868.0,6963.0,7069.0,7161.0,7240.0,7324.0,7407.0,7493.0,7583.0,7672.0,7754.0,7835.0,10985.0,11112.0,13391.0,16608.0,16989.0,26532.0,28776.0,31191.0
Episode reward,0.0,231.78044508360347,184.55648412432177,103.44697880120073,100.80112441938513,116.61353899866369,107.6420419878906,114.7505870606016,117.08253550512009,111.33101860076829,105.46372341667261,104.84201288931106,116.99967057255436,102.53030737021611,101.0605678633223,127.83183814460904,110.55195484358376,95.94598024516661,99.84248568507503,106.9701377751991,97.94482459280414,98.0695562687155,100.72088558518213,92.29606683690248,100.9980806168148,106.8864829008715,114.67220232153248,106.0458459492704,104.35915028931517,113.82278641405856,108.9242365214373,107.84037276337855,108.95476117377467,106.2225341527942,102.02517807712883,91.89209616197162,93.12680229424681,99.26843057214761,104.09058937941388,111.28489822040142,124.50276785475042,116.8358262566859,106.1302591084806,99.83767896884507,103.79162435261885,100.16435965282555,93.0431075782898,85.76312184286158,88.14051617239909,93.31177597099955,107.33537000495731,114.47756057614268,127.95329246280828,103.91653509200275,115.72527816358391,113.09265456681597,117.42678165295942,116.44602963923009,108.16155203761794,102.91020325384723,113.19927546965785,113.45474932798172,119.56321844557408,91.71108909519292,113.26145550191504,117.73028357109618,110.78145783464242,109.22623881072485,98.28446634424282,107.14554444485692,100.35761298245475,98.89547448179297,91.49089447576793,105.94591829580267,119.6581127749331,120.33178914309528,104.73578869206827,118.74995529393364,119.5372710628131,110.33809936505801,89.41874206474552,103.90158108626612,99.35604223097396,105.33881006305572,111.3617796329569,99.74089770238504,94.61447478539239,93.59983603689844,139.19097021871818,154.16555526022813,350.79276924178384,193.27546295321633,445.767925230538,335.6957683568462,223.26108224714045,443.97573529627647
Episode feedback,0.8,0.3515151493847567,0.4306569311630881,0.7752808901653833,0.7976190381235829,0.7032966955681682,0.7045454465392563,0.7204300997803216,0.7142857069970846,0.7391304267485823,0.7078651605857847,0.7058823446366783,0.5731707247174302,0.7586206809353945,0.7317073081499109,0.5961538404215977,0.6701030858752259,0.6463414555324213,0.6463414555324213,0.6249999928977273,0.7037036950160038,0.691358016156074,0.7682926735574065,0.6883116793725756,0.6829268209399169,0.6363636291322315,0.6086956455576561,0.655555548271605,0.6136363566632232,0.5326086898629491,0.5222222164197532,0.5714285651491366,0.5057471206235963,0.6117646986851212,0.49425286788215095,0.5696202459541742,0.5945945865595327,0.5802469064167048,0.6162790626014063,0.44086021031333106,0.4599999954000001,0.45454544995408636,0.47727272184917363,0.4430379690754688,0.44578312715923946,0.5057471206235963,0.4871794809335964,0.4864864799123449,0.43055554957561737,0.4399999941333334,0.3837209257706869,0.463917520990541,0.3584905626557494,0.42696628733745745,0.27956988946699046,0.472527467334863,0.43434342995612696,0.45161289836975377,0.3932584225476582,0.45238094699546494,0.4065934021253472,0.3440860178055267,0.3195876255712616,0.40506328601185715,0.32954545080061987,0.30927834732702736,0.4777777724691359,0.3333333296296297,0.402439019482451,0.2808988732483273,0.27380952054988666,0.34146341046995843,0.4871794809335964,0.360465112087615,0.28865979083855886,0.29896906908279314,0.3749999957386364,0.26595744397917614,0.2952380924263039,0.37362636952058936,0.3076923037475346,0.2650602377703586,0.29268292325996437,0.2823529378546713,0.35955055775785894,0.24999999715909094,0.19753086175887827,0.32499999593750006,0.18791946182604388,0.19841269683799448,0.11151079096578852,0.06481481451474623,0.07105263139196676,0.01660516602102368,0.02057613160256736,0.004830917862727251
total seconds,0.0,83.1834135055542,153.0414695739746,207.44150805473328,254.13686347007751,323.2111716270447,386.26821756362915,450.7436978816986,508.91843700408936,559.580242395401,609.8791062831879,654.7915790081024,699.6125910282135,746.012365102768,790.9647400379181,846.0101616382599,899.9607698917389,944.1471285820007,989.2836246490479,1036.154347896576,1081.9906432628632,1124.0995118618011,1161.53568649292,1194.515297651291,1230.8036942481995,1268.0261933803558,1307.3956563472748,1346.5276145935059,1384.461987733841,1423.7061648368835,1462.1824774742126,1503.7892203330994,1542.1206736564636,1581.9303603172302,1620.9349813461304,1656.3776941299438,1690.456524848938,1726.74161362648,1765.978875875473,1805.0648851394653,1850.0861186981201,1895.2009677886963,1933.6006286144257,1968.01407289505,2004.7189300060272,2044.3396246433258,2078.970996618271,2112.3876881599426,2143.901323080063,2176.4812943935394,2215.016515493393,2257.2878408432007,2303.253294467926,2343.413126707077,2382.867795944214,2422.472024679184,2463.4282212257385,2503.03613448143,2542.2101895809174,2579.844811439514,2618.3715720176697,2656.3767528533936,2696.036959886551,2728.7807574272156,2764.934340953827,2806.8453075885773,2850.105218887329,2887.4378089904785,2923.339935064316,2962.3474893569946,2996.5908048152924,3030.944155216217,3063.662029504776,3099.2578909397125,3141.526570558548,3183.850655555725,3221.2624731063843,3261.3476481437683,3306.7743468284607,3345.347140312195,3378.8405814170837,3413.964944124222,3448.2630655765533,3485.5822565555573,3523.6393184661865,3561.1848413944244,3595.7519912719727,3630.8867230415344,4885.725394487381,4935.7239027023315,5845.486510753632,7091.645085573196,7237.076820135117,10843.228357315063,11700.552770614624,12656.188719034195
total minutes,0.0,1.38639022509257,2.5506911595662434,3.4573584675788878,4.2356143911679585,5.386852860450745,6.437803626060486,7.512394964694977,8.481973950068156,9.326337373256683,10.164651771386465,10.913192983468374,11.660209850470226,12.433539418379466,13.182745667298635,14.100169360637665,14.999346164862315,15.73578547636668,16.488060410817464,17.2692391316096,18.033177387714385,18.73499186436335,19.35892810821533,19.90858829418818,20.513394904136657,21.133769889672596,21.789927605787913,22.442126909891766,23.07436646223068,23.728436080614724,24.369707957903543,25.063153672218323,25.702011227607727,26.36550600528717,27.015583022435507,27.606294902165732,28.174275414148966,28.779026893774667,29.432981264591216,30.084414752324424,30.83476864496867,31.58668279647827,32.22667714357376,32.800234548250835,33.41198216676712,34.07232707738876,34.64951661030452,35.206461469332375,35.731688718001045,36.27468823989232,36.91694192488988,37.621464014053345,38.387554907798766,39.05688544511795,39.714463265736896,40.374533744653064,41.057137020428975,41.71726890802383,42.37016982634862,42.9974135239919,43.6395262002945,44.27294588088989,44.93394933144251,45.479679290453596,46.082239015897116,46.780755126476286,47.501753648122154,48.12396348317464,48.72233225107193,49.37245815594991,49.94318008025487,50.51573592027028,51.0610338250796,51.65429818232854,52.3587761759758,53.06417759259542,53.687707885106406,54.355794135729475,55.11290578047434,55.755785671869916,56.31400969028473,56.8994157354037,57.47105109294255,58.09303760925929,58.72732197443644,59.353080689907074,59.929199854532875,60.51477871735891,81.42875657478969,82.26206504503885,97.4247751792272,118.19408475955328,120.61794700225194,180.72047262191774,195.00921284357707,210.9364786505699
cummulative feedback,0.0,58.0,117.0,186.0,253.0,317.0,379.0,446.0,516.0,584.0,647.0,707.0,754.0,820.0,880.0,942.0,1007.0,1060.0,1113.0,1168.0,1225.0,1281.0,1344.0,1397.0,1453.0,1509.0,1565.0,1624.0,1678.0,1727.0,1774.0,1826.0,1870.0,1922.0,1965.0,2010.0,2054.0,2101.0,2154.0,2195.0,2241.0,2286.0,2328.0,2363.0,2400.0,2444.0,2482.0,2518.0,2549.0,2582.0,2615.0,2660.0,2698.0,2736.0,2762.0,2805.0,2848.0,2890.0,2925.0,2963.0,3000.0,3032.0,3063.0,3095.0,3124.0,3154.0,3197.0,3227.0,3260.0,3285.0,3308.0,3336.0,3374.0,3405.0,3433.0,3462.0,3495.0,3520.0,3551.0,3585.0,3609.0,3631.0,3655.0,3679.0,3711.0,3733.0,3749.0,3775.0,3803.0,3828.0,3859.0,3873.0,3900.0,3909.0,3914.0,3916.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016
