Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.01,15000,False,4e-06
1,355,0,0,0.8050847434884612,0.01,15000,False,4e-06
6,764,0,228,0.7624999904687502,0.01,15000,False,4e-06
11,1169,1,477,0.7333333235555557,0.01,15000,False,4e-06
16,1536,0,688,0.6811594104179796,0.01,15000,False,4e-06
21,1934,0,901,0.7111111032098767,0.01,15000,False,4e-06
26,2288,0,1110,0.5909090819559231,0.01,15000,False,4e-06
31,2631,0,1297,0.6119402893740256,0.01,15000,False,4e-06
36,2976,0,1494,0.5074626789930944,0.01,15000,False,4e-06
41,3319,0,1681,0.6142857055102042,0.01,15000,False,4e-06
46,3664,1,1868,0.6249999913194446,0.01,15000,False,4e-06
51,4022,0,2055,0.5797101365259401,0.01,15000,False,4e-06
56,4385,0,2241,0.6562499897460939,0.01,15000,False,4e-06
61,4728,1,2420,0.6944444347993829,0.01,15000,False,4e-06
66,5128,1,2640,0.6410256328073637,0.01,15000,False,4e-06
71,5537,0,2875,0.6582278397692679,0.01,15000,False,4e-06
76,5899,1,3070,0.7230769119526629,0.01,15000,False,4e-06
81,6255,1,3263,0.6031745936004033,0.01,15000,False,4e-06
86,6602,1,3446,0.7014925268433951,0.01,15000,False,4e-06
91,6966,1,3636,0.7878787759412307,0.01,15000,False,4e-06
96,7329,0,3808,0.6883116793725756,0.01,15000,False,4e-06
101,7671,0,4003,0.6307692210650889,0.01,15000,False,4e-06
106,8023,0,4181,0.5999999914285715,0.01,15000,False,4e-06
111,8427,1,4392,0.6093749904785158,0.01,15000,False,4e-06
116,8786,1,4592,0.6716417810202719,0.01,15000,False,4e-06
121,9152,1,4777,0.7014925268433951,0.01,15000,False,4e-06
126,9539,1,4990,0.584615375621302,0.01,15000,False,4e-06
131,9894,1,5184,0.6984126873267827,0.01,15000,False,4e-06
136,10239,1,5367,0.6527777687114199,0.01,15000,False,4e-06
141,10598,1,5548,0.7051281960881001,0.01,15000,False,4e-06
146,10934,0,5723,0.5753424578720211,0.01,15000,False,4e-06
151,11300,0,5892,0.6438356076186903,0.01,15000,False,4e-06
156,11656,1,6078,0.6718749895019533,0.01,15000,False,4e-06
161,12039,0,6279,0.6056337942868479,0.01,15000,False,4e-06
166,12422,0,6486,0.6279069694429422,0.01,15000,False,4e-06
171,12757,0,6678,0.6349206248425298,0.01,15000,False,4e-06
176,13104,1,6857,0.7285714181632654,0.01,15000,False,4e-06
181,13461,1,7037,0.676056328506249,0.01,15000,False,4e-06
186,13802,1,7207,0.7096774079084289,0.01,15000,False,4e-06
191,14159,1,7386,0.6060605968778697,0.01,15000,False,4e-06
196,14519,1,7566,0.6478873148184886,0.01,15000,False,4e-06
201,14876,1,7757,0.6969696864095503,0.01,15000,False,4e-06
206,15228,1,7924,0.58730157797934,0.01,15000,False,4e-06
211,15610,1,8125,0.6619718216623688,0.01,15000,False,4e-06
216,15980,1,8314,0.7199999904000002,0.01,15000,False,4e-06
221,16361,1,8496,0.5479451979733535,0.01,15000,False,4e-06
226,16724,1,8675,0.6190476116780046,0.01,15000,False,4e-06
231,17115,0,8871,0.689189179875822,0.01,15000,False,4e-06
236,17464,0,9043,0.7538461422485209,0.01,15000,False,4e-06
