Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.01,500,False,4e-06
1,501,0,0,0.797999998404,0.01,500,False,4e-06
6,1726,0,839,0.7599999939200001,0.01,500,False,4e-06
11,2244,0,1140,0.6734693808829655,0.01,500,False,4e-06
16,2657,1,1385,0.6835442951450089,0.01,500,False,4e-06
21,3025,0,1572,0.597014916462464,0.01,500,False,4e-06
26,3374,0,1759,0.720588224697232,0.01,500,False,4e-06
31,3703,0,1942,0.7049180212308521,0.01,500,False,4e-06
36,4893,0,2440,0.793999998412,0.01,500,False,4e-06
41,5400,0,2747,0.7567567465303142,0.01,500,False,4e-06
46,5724,0,2908,0.6406249899902345,0.01,500,False,4e-06
51,6037,0,3079,0.714285702947846,0.01,500,False,4e-06
56,6349,0,3235,0.5624999912109376,0.01,500,False,4e-06
61,6667,0,3388,0.5999999907692309,0.01,500,False,4e-06
66,6985,0,3544,0.6323529318771628,0.01,500,False,4e-06
71,7295,0,3683,0.6363636267217633,0.01,500,False,4e-06
76,7589,0,3833,0.5172413703923902,0.01,500,False,4e-06
81,7906,0,3989,0.5396825311161503,0.01,500,False,4e-06
86,8213,1,4135,0.4838709599375652,0.01,500,False,4e-06
91,8520,0,4271,0.5806451519250783,0.01,500,False,4e-06
96,8824,1,4418,0.7540983482934698,0.01,500,False,4e-06
101,9146,0,4582,0.5967741839229971,0.01,500,False,4e-06
106,9457,0,4724,0.5254237199080726,0.01,500,False,4e-06
111,9774,1,4876,0.5156249919433595,0.01,500,False,4e-06
116,10097,0,5029,0.5303030222681361,0.01,500,False,4e-06
121,10417,0,5184,0.6249999902343751,0.01,500,False,4e-06
126,10735,1,5339,0.6451612799167535,0.01,500,False,4e-06
131,11050,1,5488,0.47692306958579894,0.01,500,False,4e-06
136,11367,0,5647,0.5833333236111113,0.01,500,False,4e-06
141,11685,1,5810,0.58730157797934,0.01,500,False,4e-06
146,11993,0,5954,0.5322580559313217,0.01,500,False,4e-06
151,12311,1,6115,0.4603174530108341,0.01,500,False,4e-06
156,12625,0,6272,0.5322580559313217,0.01,500,False,4e-06
161,12940,0,6426,0.5396825311161503,0.01,500,False,4e-06
166,13255,1,6562,0.4687499926757814,0.01,500,False,4e-06
171,13577,0,6714,0.6119402893740256,0.01,500,False,4e-06
176,13893,1,6843,0.6129032159209159,0.01,500,False,4e-06
181,14201,1,6981,0.5079364998740238,0.01,500,False,4e-06
186,14516,0,7116,0.499999991935484,0.01,500,False,4e-06
191,14827,1,7278,0.5555555467372135,0.01,500,False,4e-06
196,15137,1,7406,0.6451612799167535,0.01,500,False,4e-06
201,15445,0,7543,0.6206896444708683,0.01,500,False,4e-06
206,15750,0,7676,0.5254237199080726,0.01,500,False,4e-06
211,16059,0,7809,0.6461538362130179,0.01,500,False,4e-06
216,16365,0,7938,0.5245901553345876,0.01,500,False,4e-06
221,16677,0,8071,0.6093749904785158,0.01,500,False,4e-06
226,16989,0,8192,0.46774192793964636,0.01,500,False,4e-06
231,17302,1,8321,0.578124990966797,0.01,500,False,4e-06
236,17617,1,8469,0.5322580559313217,0.01,500,False,4e-06
