Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.01,500,False,4e-06
1,442,0,0,0.802721086615145,0.01,500,False,4e-06
6,1291,0,618,0.763157884695291,0.01,500,False,4e-06
11,1651,0,808,0.5937499907226564,0.01,500,False,4e-06
16,2131,1,1041,0.7560975563652588,0.01,500,False,4e-06
21,2477,1,1221,0.6911764604238756,0.01,500,False,4e-06
26,3264,0,1754,0.5432098698369152,0.01,500,False,4e-06
31,3602,1,1943,0.7076922968047339,0.01,500,False,4e-06
36,3946,1,2114,0.5593220244182708,0.01,500,False,4e-06
41,4342,0,2237,0.7575757529843894,0.01,500,False,4e-06
46,4648,0,2393,0.5535714186862247,0.01,500,False,4e-06
51,5135,0,2677,0.5783132460444187,0.01,500,False,4e-06
56,5434,0,2806,0.6206896444708683,0.01,500,False,4e-06
61,5771,1,2947,0.5833333252314816,0.01,500,False,4e-06
66,6091,1,3094,0.45588234623702434,0.01,500,False,4e-06
71,6460,0,3295,0.41379309631391215,0.01,500,False,4e-06
76,6771,1,3409,0.4545454476584023,0.01,500,False,4e-06
81,7148,1,3641,0.6229508094598228,0.01,500,False,4e-06
86,7416,1,3747,0.5357142761479594,0.01,500,False,4e-06
91,7709,1,3861,0.633333322777778,0.01,500,False,4e-06
96,8147,1,4108,0.38709676795005216,0.01,500,False,4e-06
101,8435,1,4237,0.5409835976887934,0.01,500,False,4e-06
106,8746,0,4385,0.6206896444708683,0.01,500,False,4e-06
111,9037,1,4516,0.5409835976887934,0.01,500,False,4e-06
116,9775,0,4979,0.6562499897460939,0.01,500,False,4e-06
121,10084,1,5120,0.695652163831128,0.01,500,False,4e-06
126,10384,0,5261,0.5614034989227457,0.01,500,False,4e-06
131,10676,1,5394,0.48275861236623085,0.01,500,False,4e-06
136,10956,1,5503,0.6415094218583128,0.01,500,False,4e-06
141,11242,0,5595,0.5283018768244929,0.01,500,False,4e-06
146,11542,1,5709,0.4909090819834713,0.01,500,False,4e-06
151,12012,1,5975,0.3653846083579883,0.01,500,False,4e-06
156,12334,1,6143,0.6818181714876035,0.01,500,False,4e-06
161,12610,1,6257,0.5454545355371903,0.01,500,False,4e-06
166,13346,1,6386,0.73999999852,0.01,500,False,4e-06
171,13649,0,6539,0.5468749914550782,0.01,500,False,4e-06
176,13959,1,6675,0.5964912176054172,0.01,500,False,4e-06
181,14261,1,6814,0.5423728721631716,0.01,500,False,4e-06
186,14551,1,6934,0.43636362842975224,0.01,500,False,4e-06
191,14837,1,7052,0.4727272641322316,0.01,500,False,4e-06
196,15128,1,7173,0.47619046863189735,0.01,500,False,4e-06
201,15428,1,7292,0.4062499936523439,0.01,500,False,4e-06
206,15702,1,7402,0.44444443621399193,0.01,500,False,4e-06
211,15992,1,7512,0.48333332527777795,0.01,500,False,4e-06
216,16293,1,7616,0.43548386394380867,0.01,500,False,4e-06
221,16576,1,7717,0.3962264076183697,0.01,500,False,4e-06
226,16856,1,7821,0.44642856345663284,0.01,500,False,4e-06
231,17155,1,7951,0.5166666580555557,0.01,500,False,4e-06
236,17438,1,8066,0.4915254153978743,0.01,500,False,4e-06
241,17741,1,8182,0.49999999107142873,0.01,500,False,4e-06
246,18033,1,8303,0.5862068864447089,0.01,500,False,4e-06
251,18339,1,8414,0.5396825311161503,0.01,500,False,4e-06
256,18633,1,8496,0.403225799947971,0.01,500,False,4e-06
261,19033,1,8687,0.5517241284185496,0.01,500,False,4e-06
266,19329,1,8803,0.5967741839229971,0.01,500,False,4e-06
271,19623,1,8928,0.39999999333333347,0.01,500,False,4e-06
276,19894,1,9041,0.5999999880000003,0.01,500,False,4e-06
