,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0,951.0,956.0,961.0
Accumulated time steps,0.0,431.0,1569.0,1972.0,2305.0,2609.0,2925.0,3298.0,3590.0,3904.0,4210.0,4521.0,4811.0,5170.0,5471.0,5767.0,6067.0,6368.0,6659.0,6954.0,7250.0,7542.0,7826.0,8127.0,8432.0,8730.0,9047.0,9339.0,9633.0,9923.0,10214.0,10501.0,10789.0,11083.0,11612.0,11908.0,12208.0,12506.0,12811.0,13109.0,13405.0,13703.0,13974.0,14278.0,14576.0,14972.0,15270.0,15559.0,16108.0,16418.0,16717.0,17009.0,17295.0,17572.0,17840.0,18141.0,18443.0,18766.0,19070.0,19362.0,19638.0,19926.0,20313.0,20606.0,20907.0,21292.0,21582.0,21852.0,22153.0,22509.0,22820.0,23088.0,23511.0,23805.0,24108.0,24466.0,24811.0,25100.0,25399.0,25684.0,25994.0,26283.0,26609.0,26908.0,27205.0,27500.0,27792.0,28089.0,28402.0,28697.0,28976.0,29255.0,29622.0,30064.0,30364.0,30653.0,30937.0,31215.0,31518.0,31804.0,32154.0,32431.0,32726.0,33017.0,33309.0,33621.0,33911.0,34206.0,34481.0,34771.0,35062.0,35345.0,35636.0,35918.0,36208.0,36494.0,36802.0,37095.0,37391.0,37665.0,37946.0,38235.0,38541.0,38823.0,39121.0,39414.0,39706.0,39998.0,40281.0,40572.0,40855.0,41139.0,41527.0,41837.0,42134.0,42519.0,42817.0,43212.0,43539.0,43843.0,44150.0,44422.0,44700.0,44989.0,45290.0,45607.0,45917.0,46202.0,46499.0,46801.0,47096.0,47457.0,47747.0,48038.0,48322.0,48634.0,48935.0,49224.0,49501.0,49794.0,50087.0,50368.0,50670.0,50974.0,51269.0,51552.0,51836.0,52132.0,52422.0,52721.0,53023.0,53354.0,53650.0,53944.0,54223.0,54519.0,54807.0,55556.0,55849.0,56149.0,56449.0,56746.0,57041.0,57379.0,57653.0,57952.0,58259.0,58545.0,58832.0,59125.0,59416.0,59705.0,60000.0,60303.0
Episode reward,0.0,387.4008901603752,1704.8946637819074,134.01048787951086,132.71427287701226,136.64951483197785,177.4099178064075,131.58891121876565,147.94323238806004,200.4836039327404,175.21091680326828,142.10263633780283,175.64645017984836,174.06443791254597,187.11674583545025,165.01011458032315,154.31470158747382,158.46647632429216,164.016597540429,149.1301928214559,182.26179671235758,145.05827406553726,125.1837047821978,191.96432836153178,179.6413308538384,133.5893278383982,192.19063665374233,131.3653165719258,164.11190798714924,122.22062079084732,164.1957773362164,164.41327550850679,171.217954511961,174.05592396038244,978.7501485472918,163.63968921616387,178.11329237574026,171.07486784396733,175.92159119835037,130.5904602244039,161.98515904152566,158.0580916772621,124.53166342933275,192.823177108087,172.68887324175543,168.6567563886752,124.11179603971976,125.11894208674313,161.13884897029916,136.84377142024698,147.32078966936805,162.61406688414135,140.14808204738273,174.79910708761417,165.68686824469523,156.73768415648658,177.70829311243918,167.17708909464875,179.3739162184549,164.84474897485777,159.18719233173815,131.43292840929064,119.71683253482348,174.5258295423923,165.92514575993061,294.49454466314046,176.11274877800366,115.57224672692736,173.61366742073355,164.20139974342393,165.11016207158661,131.24871261435004,282.8623889749748,132.40393372220854,186.03664156772138,188.70364827724816,386.5480394912566,192.6015468253033,160.75064478688597,128.43763847184348,182.86396940615987,126.12619262563823,139.97182755408664,160.53163135461347,154.76213465525268,168.46232663888625,139.17230037129747,160.09078473017252,183.3135334320632,147.95138088265355,136.17693991374654,136.8251138762101,475.3875808375466,145.54451980310702,185.7000364322635,169.28523278367155,176.31508004734076,153.1196339248036,193.61128735845426,144.2338709503904,380.8563068999566,167.9522502391501,191.91372746466376,129.77677661865545,201.93810138205205,167.9873163743748,162.55176786096897,126.17874666754797,137.12929687402882,127.26171705686104,158.25908866801572,186.99155670901695,140.88816715872736,118.83884124597199,185.09620078015251,131.30868464650123,176.7324149884193,190.8734599172259,134.81421202225206,128.79684665727714,115.09188890921965,172.0477191272809,192.61227024156057,129.55349511786386,184.0885940636196,128.1619591927512,175.03364706210016,140.67771844114253,129.05481967785857,128.5002156811237,143.5082420271299,164.88975666656566,159.13240568010133,194.95506858453479,121.82720673458763,171.71936427640154,143.98341400929655,868.6100331949846,174.2759964659268,185.07235218286067,174.43230907457533,132.46627626042925,154.2471462001406,134.33548507332722,134.86205350768174,127.5642007196359,187.09597114735644,119.90574450741315,191.83680197013246,198.4501985966252,144.44761533573856,194.73264978749387,128.44955460240732,111.44813876126332,150.81441151314743,180.60445052372748,189.6237068898309,175.81817559565926,126.11156570306147,137.75313233819514,141.3506017172999,155.09161097344716,280.18359129313484,185.53586164922874,157.84760816919305,155.0517826809594,144.05664361558092,138.27359726624167,128.34944044732754,170.32667484820573,135.3372463642672,180.0669537849311,173.56996774777213,130.45658575026783,123.44656642453177,184.19394029854442,158.04367701419946,179.26158410189032,136.14501898549383,124.29030194001095,183.4683123738987,175.60505827994234,170.76294370916494,137.18635008038083,118.89558981235339,186.82741474962782,182.04961971193123,170.30093720547524,121.75840815337214,136.08857593328685,165.4885889796814,121.74814525469706,120.41948697727491,189.6674600751694
Episode feedback,0.8,0.7906976725797729,0.7999999984,0.4821428485331634,0.618181806942149,0.6666666555555558,0.578124990966797,0.7321428440688779,0.44067795863257697,0.7826086843100191,0.6874999892578127,0.46666665888888903,0.5901639247514111,0.5806451519250783,0.6461538362130179,0.5254237199080726,0.3793103382877528,0.4642857059948981,0.5833333236111113,0.5660377251690996,0.47619046863189735,0.6610169379488655,0.56363635338843,0.46268656025840954,0.49999999218750013,0.49999999107142873,0.35384614840236694,0.46296295438957497,0.5862068864447089,0.48076922152366885,0.40350876485072346,0.4576271108876761,0.6885245788766463,0.5245901553345876,0.5818181791735537,0.38333332694444455,0.4843749924316408,0.40983605885514657,0.3278688470841173,0.5185185089163239,0.5438596395814098,0.6610169379488655,0.42307691494082855,0.4545454476584023,0.4576271108876761,0.40983605885514657,0.55555554526749,0.4423076838017753,0.5172413703923902,0.48275861236623085,0.4576271108876761,0.4999999916666668,0.4561403428747308,0.40983605885514657,0.36206895927467314,0.43103447532699185,0.4218749934082032,0.5172413703923902,0.5161290239334029,0.5806451519250783,0.47368420221606666,0.32727272132231416,0.40384614607988184,0.5833333236111113,0.48333332527777795,0.5961538404215977,0.35483870395421446,0.3846153772189351,0.40983605885514657,0.43103447532699185,0.5423728721631716,0.3636363570247935,0.5714285640074213,0.6428571313775513,0.5396825311161503,0.44615383928994096,0.5384615332840237,0.43076922414201196,0.3965517173008325,0.3018867867568531,0.2968749953613282,0.41176469780853536,0.3571428507653063,0.3965517173008325,0.3928571358418369,0.36206895927467314,0.32203389284688316,0.33928570822704096,0.38709676795005216,0.29629629080932796,0.32727272132231416,0.5438596395814098,0.4604316513638011,0.47368420221606666,0.34920634366339137,0.40983605885514657,0.5081967129803818,0.4642857059948981,0.33846153325443795,0.29310344322235443,0.4722222178497943,0.28813558833668496,0.36923076355029594,0.3207547109291564,0.39705881769031154,0.41379309631391215,0.2982456088027086,0.26415093841224646,0.33928570822704096,0.4074073998628259,0.3859649055093876,0.384615378698225,0.2982456088027086,0.43137254056132274,0.26984126555807514,0.25925925445816195,0.46666665888888903,0.35384614840236694,0.43859648353339503,0.35185184533607694,0.4285714198250731,0.2419354799687826,0.4285714217687076,0.3999999927272729,0.276923072662722,0.3090909034710745,0.3559321973570814,0.29310344322235443,0.18518518175583,0.37037036351166,0.2280701714373654,0.48275861236623085,0.36206895927467314,0.2537313394965472,0.34615383949704154,0.316666661388889,0.40350876485072346,0.4464285687712585,0.38095237490551787,0.3749999941406251,0.34426228943832315,0.37037036351166,0.3571428507653063,0.33928570822704096,0.33333332748538025,0.33333332716049396,0.30303029843893486,0.4199999916000002,0.261538457514793,0.35384614840236694,0.2758620642092748,0.4393939327364556,0.32727272132231416,0.37254901230296056,0.35185184533607694,0.35483870395421446,0.27419354396462026,0.34426228943832315,0.3207547109291564,0.30357142315051033,0.4561403428747308,0.32142856568877565,0.46153845562130186,0.3174603124212649,0.3684210461680518,0.32142856568877565,0.47368420221606666,0.2982456088027086,0.25454544991735545,0.29032257596253913,0.285714280612245,0.2968749953613282,0.28813558833668496,0.2363636320661158,0.4615384526627221,0.3174603124212649,0.3749999933035716,0.35483870395421446,0.3818181748760332,0.22641509006763982,0.2786885200214997,0.33870967195629564,0.41666665972222233,0.24999999553571436,0.1568627420222992,0.3174603124212649,0.2419354799687826,0.3050847405917841,0.19230768860946754,0.21818181421487612,0.32203389284688316,0.30769230177514806,0.3529411695501732,0.33846153325443795
total seconds,0.0,17.09157085418701,61.00193548202515,75.89250659942627,88.20997762680054,101.56958532333374,113.2543694972992,127.97851395606995,138.55628323554993,150.87847542762756,163.7780499458313,173.29860138893127,184.17091274261475,197.28304886817932,207.6024181842804,216.67196249961853,228.52647829055786,238.60144805908203,248.640860080719,259.2827088832855,270.76834177970886,280.4179153442383,290.7356708049774,301.2670271396637,310.429500579834,320.52021861076355,330.7041153907776,341.01081013679504,351.3718683719635,359.82846570014954,368.84771251678467,378.0106074810028,386.62167525291443,395.658002614975,412.713210105896,423.0526340007782,432.74633383750916,442.79222416877747,451.91801261901855,461.0348219871521,471.77090215682983,480.9591088294983,489.5531702041626,499.3299124240875,507.425665140152,521.0760552883148,531.0098435878754,538.7168433666229,557.9572706222534,567.8462402820587,576.2225952148438,585.9483923912048,594.6058840751648,603.6146883964539,611.9964230060577,621.5648484230042,630.7084486484528,641.6360499858856,651.1596956253052,660.4068968296051,669.0481758117676,676.601235628128,688.6262040138245,697.7197558879852,705.7306945323944,717.4567506313324,727.2845475673676,735.1916286945343,744.3365828990936,756.3177440166473,765.6052713394165,773.4385757446289,787.194543838501,795.9262430667877,804.3729612827301,814.6313583850861,824.4071488380432,832.1138322353363,840.7176966667175,847.7129604816437,856.6341853141785,864.2529585361481,873.6407747268677,880.9788177013397,889.8257491588593,899.3980476856232,906.4683225154877,914.9800460338593,923.6817977428436,931.6252899169922,939.450138092041,947.2318336963654,957.3874344825745,971.4051752090454,979.396187543869,987.805773973465,995.9022169113159,1003.3510320186615,1011.0500862598419,1017.8094744682312,1027.1552894115448,1034.8610224723816,1043.3904902935028,1050.832059621811,1059.6107215881348,1067.2512514591217,1074.3307580947876,1082.7468466758728,1090.7189841270447,1098.816017627716,1105.175276517868,1113.6557483673096,1121.222461938858,1128.4903428554535,1136.557829618454,1142.8781490325928,1152.718225479126,1159.5381834506989,1167.416687488556,1174.6643824577332,1181.98228931427,1189.2326691150665,1198.2596213817596,1205.4393801689148,1213.1944370269775,1219.821341753006,1226.5733380317688,1233.414978504181,1240.0321633815765,1247.1341035366058,1254.5829157829285,1262.049248456955,1272.673495054245,1281.1641483306885,1288.7022485733032,1297.6751399040222,1306.3635528087616,1317.5629045963287,1325.5778748989105,1333.6669917106628,1341.4312546253204,1350.6409664154053,1357.965559720993,1365.980586528778,1373.4891290664673,1381.5869777202606,1388.7094223499298,1397.7088990211487,1407.4717168807983,1415.1705486774445,1422.9383256435394,1432.6623866558075,1439.9700660705566,1448.0147585868835,1455.0644941329956,1463.2990913391113,1470.4526996612549,1477.3741466999054,1484.5498306751251,1491.2151958942413,1498.1996095180511,1504.7444236278534,1512.3534219264984,1519.9178907871246,1526.9175155162811,1533.8078014850616,1540.9594585895538,1548.3563160896301,1555.9002313613892,1562.799739599228,1570.1251270771027,1578.399624824524,1585.216721534729,1592.600413799286,1599.928419828415,1606.836707353592,1614.8094882965088,1632.9343547821045,1639.9234147071838,1646.4653761386871,1654.041395664215,1661.9783329963684,1669.1570291519165,1677.5933191776276,1683.9985554218292,1691.3014783859253,1698.6012997627258,1704.6965017318726,1711.9050073623657,1718.7485592365265,1726.3422737121582,1731.9244930744171,1738.330768108368,1745.5434606075287
total minutes,0.0,0.2848595142364502,1.016698924700419,1.2648751099904378,1.4701662937800088,1.6928264220555624,1.8875728249549866,2.132975232601166,2.3092713872591655,2.514641257127126,2.729634165763855,2.8883100231488545,3.0695152123769125,3.2880508144696554,3.46004030307134,3.611199374993642,3.808774638175964,3.9766908009847004,4.1440143346786495,4.321378481388092,4.512805696328481,4.673631922403971,4.84559451341629,5.021117118994395,5.1738250096639,5.342003643512726,5.51173525651296,5.683513502279918,5.856197806199392,5.997141095002492,6.1474618752797445,6.300176791350046,6.443694587548574,6.594300043582916,6.878553501764933,7.050877233346303,7.212438897291819,7.379870402812958,7.531966876983643,7.683913699785868,7.862848369280497,8.015985147158306,8.15921950340271,8.322165207068126,8.457094419002534,8.684600921471914,8.850164059797923,8.978614056110382,9.299287843704224,9.464104004700978,9.603709920247395,9.765806539853413,9.910098067919414,10.060244806607564,10.199940383434296,10.359414140383402,10.511807477474212,10.693934166431427,10.852661593755085,11.006781613826751,11.150802930196127,11.276687260468801,11.477103400230408,11.628662598133086,11.762178242206573,11.957612510522207,12.121409126122792,12.253193811575573,12.405609714984895,12.60529573361079,12.760087855656941,12.89064292907715,13.119909063975017,13.265437384446463,13.406216021378835,13.5771893064181,13.740119147300721,13.868563870588938,14.011961611111959,14.128549341360728,14.277236421902975,14.404215975602467,14.560679578781128,14.682980295022329,14.830429152647655,14.989967461427053,15.107805375258128,15.249667433897654,15.394696629047393,15.527088165283203,15.657502301534016,15.787197228272756,15.95645724137624,16.19008625348409,16.323269792397817,16.463429566224416,16.598370281855264,16.722517200311025,16.850834770997366,16.963491241137188,17.119254823525747,17.247683707873026,17.389841504891713,17.513867660363516,17.66017869313558,17.78752085765203,17.905512634913126,18.045780777931213,18.178649735450744,18.313600293795268,18.41958794196447,18.56092913945516,18.6870410323143,18.808172380924226,18.9426304936409,19.047969150543214,19.2119704246521,19.32563639084498,19.45694479147593,19.577739707628886,19.6997048219045,19.82054448525111,19.970993689695995,20.09065633614858,20.21990728378296,20.330355695883433,20.442888967196147,20.556916308403014,20.667202723026275,20.785568392276765,20.909715263048806,21.034154140949248,21.21122491757075,21.352735805511475,21.478370809555052,21.62791899840037,21.772725880146027,21.959381743272147,22.09296458164851,22.227783195177715,22.357187577088673,22.510682773590087,22.632759328683218,22.76634310881297,22.891485484441123,23.02644962867101,23.145157039165497,23.295148317019144,23.457861948013306,23.58617581129074,23.715638760725657,23.87770644426346,23.999501101175944,24.133579309781393,24.251074902216594,24.38831818898519,24.507544994354248,24.622902444998424,24.742497177918754,24.853586598237356,24.969993491967518,25.07907372713089,25.20589036544164,25.331964846452077,25.448625258604686,25.56346335808436,25.68265764315923,25.805938601493835,25.93167052268982,26.0466623266538,26.168752117951712,26.306660413742065,26.420278692245482,26.543340229988097,26.665473663806914,26.780611789226533,26.91349147160848,27.215572579701742,27.3320569117864,27.441089602311454,27.567356594403584,27.699638883272808,27.81928381919861,27.95988865296046,28.06664259036382,28.188357973098753,28.310021662712096,28.411608362197875,28.531750122706097,28.645809320608773,28.77237122853597,28.865408217906953,28.9721794684728,29.09239101012548
cummulative feedback,0.0,340.0,740.0,767.0,801.0,841.0,878.0,919.0,945.0,999.0,1043.0,1071.0,1107.0,1143.0,1185.0,1216.0,1238.0,1264.0,1299.0,1329.0,1359.0,1398.0,1429.0,1460.0,1492.0,1520.0,1543.0,1568.0,1602.0,1627.0,1650.0,1677.0,1719.0,1751.0,1879.0,1902.0,1933.0,1958.0,1978.0,2006.0,2037.0,2076.0,2098.0,2128.0,2155.0,2180.0,2210.0,2233.0,2263.0,2291.0,2318.0,2348.0,2374.0,2399.0,2420.0,2445.0,2472.0,2502.0,2534.0,2570.0,2597.0,2615.0,2636.0,2671.0,2700.0,2762.0,2784.0,2804.0,2829.0,2854.0,2886.0,2906.0,2950.0,2986.0,3020.0,3049.0,3105.0,3133.0,3156.0,3172.0,3191.0,3212.0,3232.0,3255.0,3277.0,3298.0,3317.0,3336.0,3360.0,3376.0,3394.0,3425.0,3489.0,3516.0,3538.0,3563.0,3594.0,3620.0,3642.0,3659.0,3710.0,3727.0,3751.0,3768.0,3795.0,3819.0,3836.0,3850.0,3869.0,3891.0,3913.0,3938.0,3955.0,3977.0,3994.0,4008.0,4036.0,4059.0,4084.0,4103.0,4124.0,4139.0,4166.0,4188.0,4206.0,4223.0,4244.0,4261.0,4271.0,4291.0,4304.0,4332.0,4353.0,4370.0,4388.0,4407.0,4430.0,4505.0,4529.0,4553.0,4574.0,4594.0,4614.0,4633.0,4652.0,4670.0,4690.0,4711.0,4728.0,4751.0,4767.0,4796.0,4814.0,4833.0,4852.0,4874.0,4891.0,4912.0,4929.0,4946.0,4972.0,4990.0,5026.0,5046.0,5067.0,5085.0,5112.0,5129.0,5143.0,5161.0,5177.0,5196.0,5213.0,5226.0,5250.0,5270.0,5291.0,5313.0,5334.0,5346.0,5363.0,5384.0,5409.0,5423.0,5431.0,5451.0,5466.0,5484.0,5494.0,5506.0,5525.0,5541.0,5559.0,5581.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
