,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0
Accumulated time steps,0.0,501.0,1056.0,1586.0,2099.0,2704.0,3069.0,3453.0,3786.0,4257.0,4592.0,4890.0,5277.0,5585.0,5889.0,6172.0,6467.0,6838.0,7190.0,7479.0,7775.0,8059.0,8345.0,8633.0,8921.0,9219.0,9510.0,9818.0,10552.0,10864.0,11163.0,11448.0,11806.0,12090.0,12425.0,12726.0,13024.0,13322.0,13597.0,13901.0,14173.0,14470.0,14754.0,15058.0,15393.0,15673.0,15977.0,16271.0,16565.0,16863.0,17143.0,17443.0,17734.0,18037.0,18334.0,18631.0,18925.0,19233.0,19514.0,19801.0,20083.0,20381.0,20685.0,20960.0,21250.0,21528.0,21803.0,22087.0,22370.0,22654.0,22936.0,23234.0,23516.0,23835.0,24121.0,24401.0,24680.0,24971.0,25310.0,25594.0,25889.0,26249.0,26547.0,26831.0,27125.0,27864.0,28157.0,28443.0,28751.0,29028.0,29310.0,30044.0,30334.0,30670.0,30961.0,31239.0,31534.0,31858.0,32229.0,32539.0,32827.0,33572.0,34152.0,34453.0,34746.0,35044.0,35419.0,35723.0,36001.0,36293.0,36657.0,37205.0,37501.0,37788.0,38087.0,38390.0,38694.0,38969.0,39241.0,39522.0,39813.0,40088.0,40388.0,40814.0,41105.0,41455.0,41742.0,42029.0,42325.0,42659.0,42960.0,43262.0,43542.0,43838.0,44135.0,44424.0,44716.0,45018.0,45312.0,45586.0,45859.0,46149.0,46451.0,46733.0,47005.0,47273.0,47561.0,47865.0,48148.0,48431.0,48722.0,49109.0,49398.0,49704.0,49997.0,50372.0,50706.0,50998.0,51276.0,51563.0,51857.0,52134.0,52429.0,52710.0,52990.0,53265.0,53550.0,53829.0,54111.0,54380.0,54679.0,54968.0,55251.0,55520.0,55812.0,56105.0,56382.0,56689.0,56985.0,57273.0,57552.0,57823.0,58136.0,58430.0,58718.0,59091.0,59381.0,59666.0,59950.0,60230.0,60501.0
Episode reward,0.0,1916.8380533040047,264.4854923533271,159.01449272762,136.73729545535176,164.54280249840306,130.76420288697253,130.28686941491014,198.84196146170677,630.2139560914317,223.9667603726242,112.42972156289935,282.7680690340444,179.5549091406997,184.60407875744386,116.8451468552015,177.06982404025456,159.24686191745124,295.54753098424686,108.02282248637596,184.60222881961067,166.39108552073566,177.13677368627472,162.3433685710967,166.15468448332769,187.69509583095913,161.5196374880984,190.85249790499276,139.17855646674087,151.15348242478993,127.09883008170641,131.36354462180856,144.34495910357353,170.4419707020094,176.90792360871993,135.274745356569,187.1684620983948,178.95387100099848,163.9280362194191,187.50922969714324,129.24144477538914,121.69558106222443,130.13147434592844,139.18150841958288,175.963534800267,130.93027608275798,195.4158856399973,167.3260646374294,124.68257227289354,133.32343806550773,162.4349469025862,176.99463986807928,159.21477847626238,157.43419227437465,163.4310552344754,176.8164239131386,171.79135891787692,167.05921139097552,181.63911589118166,156.65138079995546,163.28756023425126,138.28121206004005,160.97582128802486,133.35925450694435,158.79631124290626,171.79344222599659,114.72368905527013,159.56631649214364,154.89258757958555,123.62844410726646,121.28427491182076,250.26283576526745,151.9794035590414,216.83112674624027,123.20595367328102,165.89159213966224,174.12019215182585,188.24952658528838,172.52739157756062,116.29776637725172,158.08952949465913,174.1227833151514,169.39186525849303,132.40474406441461,187.85122210744913,181.28634290750486,130.40254326924077,134.33068054404225,180.4714182716017,133.73125276534472,127.30088415280814,124.57467607134083,174.8966645146733,355.8024307781344,159.33753932316682,167.38941915674906,182.46441934350437,114.50627077887641,176.93406627899148,167.33393527061435,124.08693064141457,182.34393159524464,139.2626202870702,184.77464942623092,174.24830552418905,160.74844647925323,140.63203852001016,170.308872728977,182.1588374496511,157.96467195229837,173.57762103944424,187.54922119531503,137.30748621249296,162.38809457807824,146.4971233531789,172.79342176887224,178.97641389471428,129.94256054727555,128.23255414185684,173.01455735268516,143.5564020196572,133.27034059506272,171.22186256916746,119.93975793469787,189.36912735733173,116.94807714459273,193.20137215369817,176.302416688424,228.05484144978143,189.20812689815557,188.46905207365612,169.87318308842603,165.9049945490573,119.75860115628547,174.47422797543297,213.7575952623979,161.2567690521313,174.77361640945637,128.56771104243765,156.90658346109552,186.13369228398682,169.1799923538622,173.81090518628784,163.9389258498006,144.853598027491,172.6322171730829,169.7901300197342,168.4987845346873,120.29011391812642,121.64867653840108,157.54483843624254,620.2501613125709,184.3110817109694,187.23122888108634,186.20389727494668,502.1049772710645,165.26050468586132,133.59347107585526,142.03817874121233,121.24056184916513,184.67765604873216,114.75413216759517,174.17957931694113,115.95411683265581,162.4125325529278,123.92292662418978,143.10453417492812,154.4141555557006,189.8784779264335,115.43782621501114,176.0994426101918,178.01400775910142,159.7915498868607,136.50372560126496,139.55249340363014,181.17747514713648,137.31290315110328,185.260789914419,187.85558104256555,176.2150478935707,130.88492350363938,124.93054925425481,157.98475646763075,186.36396527243215,140.32975640200493,142.77443503348283,177.93749254928397,142.18992756009058,185.2693680980668,129.21027534755015,37.668358081932446
Episode feedback,0.8,0.82999999834,0.852941170198962,0.6081080998904311,0.6271186334386673,0.6575342375680242,0.57142856122449,0.6140350769467531,0.6388888800154322,0.7397260240195159,0.7291666590711806,0.5999999880000003,0.6486486428049671,0.7096774079084289,0.650793640463593,0.41176469780853536,0.38709676795005216,0.5087719208987382,0.698275856049346,0.5833333211805558,0.6212121117998165,0.5593220244182708,0.5245901553345876,0.4561403428747308,0.3389830451019823,0.5156249919433595,0.42105262419205924,0.3593749943847657,0.6290322479188347,0.584615375621302,0.5614034989227457,0.4821428485331634,0.43103447532699185,0.5166666580555557,0.5161290239334029,0.4642857059948981,0.24999999609375007,0.44999999250000017,0.41379309631391215,0.3650793592844546,0.35185184533607694,0.39215685505574793,0.31481480898491093,0.42857142091836753,0.45901638591776417,0.55555554526749,0.34285713795918377,0.44444443738977085,0.34615383949704154,0.5471698009967962,0.2622950776672938,0.1803278658962645,0.29310344322235443,0.29310344322235443,0.22413792717003575,0.3968253905265811,0.2786885200214997,0.21666666305555562,0.2999999950000001,0.33928570822704096,0.32203389284688316,0.42105262419205924,0.3965517173008325,0.38888888168724295,0.28070174946137283,0.48333332527777795,0.5599999888000002,0.3684210461680518,0.33928570822704096,0.3962264076183697,0.45283018013527965,0.5974025896441222,0.34545453917355384,0.4318181769111571,0.44444443621399193,0.31034482223543414,0.34426228943832315,0.3749999941406251,0.25423728382648675,0.33999999320000013,0.33928570822704096,0.40983605885514657,0.3499999941666668,0.46296295438957497,0.399999993846154,0.41269840614764436,0.4074073998628259,0.48148147256515794,0.38709676795005216,0.46296295438957497,0.3018867867568531,0.5925925816186559,0.5409835976887934,0.45794392095379516,0.49122806155740245,0.43103447532699185,0.33870967195629564,0.2653061170345691,0.42622950120935243,0.3968253905265811,0.43137254056132274,0.44444443738977085,0.5254237199080726,0.4843749924316408,0.4426229435635583,0.3859649055093876,0.5254237199080726,0.3333333277777779,0.44444443738977085,0.6034482654577885,0.3559321973570814,0.31249999511718757,0.5357142761479594,0.44999999250000017,0.4237288063774779,0.316666661388889,0.403225799947971,0.2727272677685951,0.3962264076183697,0.32203389284688316,0.4821428485331634,0.4727272641322316,0.316666661388889,0.29411764129181095,0.38709676795005216,0.40384614607988184,0.43749999316406263,0.3114754047299114,0.5606060521120295,0.46153845443786995,0.5396825311161503,0.41379309631391215,0.3793103382877528,0.33333332679738575,0.45901638591776417,0.33333332828282836,0.33333332748538025,0.3333333277777779,0.33962263510145974,0.23214285299744905,0.20967741597294492,0.3050847405917841,0.38983050186727963,0.24137930618311543,0.2982456088027086,0.32203389284688316,0.20338982706118938,0.2786885200214997,0.3137254840445984,0.24999999519230778,0.4642857059948981,0.4740259709478833,0.34920634366339137,0.3593749943847657,0.25806451196670144,0.449275359063222,0.2586206851961951,0.42105262419205924,0.34482758026159344,0.37254901230296056,0.25806451196670144,0.35999999280000017,0.23728813157138762,0.2799999944000001,0.26315789012003704,0.30769230177514806,0.285714280612245,0.19642856792091845,0.23809523431594867,0.25999999480000013,0.2666666622222223,0.29508196237570555,0.2678571380739797,0.3818181748760332,0.2909090856198348,0.2539682499370119,0.2678571380739797,0.30645160796045795,0.41538460899408297,0.316666661388889,0.3773584834460664,0.34615383949704154,0.3749999933035716,0.3650793592844546,0.22413792717003575,0.40350876485072346,0.21311475060467622,0.24999999553571436,0.20967741597294492,0.26415093841224646,0.30303029384756686
total seconds,0.0,20.777543306350708,44.214858055114746,65.32406973838806,84.76886034011841,108.37106108665466,122.97477412223816,137.2172486782074,149.57469391822815,166.63149785995483,178.98747968673706,189.67441630363464,202.83417868614197,212.91057181358337,225.50802969932556,235.97907876968384,244.7344193458557,257.820574760437,270.4011695384979,280.28717494010925,290.56245851516724,299.6392204761505,309.2490427494049,319.672137260437,328.1029827594757,338.3221139907837,346.6787190437317,355.7499363422394,379.65384244918823,391.4938476085663,403.36220479011536,413.8903136253357,425.6928069591522,435.5631513595581,445.8801703453064,454.1721770763397,463.18188881874084,473.56310057640076,481.8717451095581,490.4123754501343,498.3085470199585,505.89601492881775,513.6290402412415,521.9421408176422,531.3555328845978,539.9124736785889,548.5492463111877,557.4260711669922,565.3169875144958,574.9081797599792,582.7763533592224,591.680911064148,597.5545401573181,605.23113322258,612.5032832622528,619.903883934021,626.6263041496277,633.0590126514435,640.8273327350616,647.7215518951416,654.9436247348785,661.3264760971069,669.0656418800354,676.1227629184723,682.8072352409363,689.0374598503113,695.7743337154388,702.1809587478638,710.0673644542694,718.0951671600342,725.526364326477,734.8044662475586,743.2015380859375,752.1368770599365,761.4183962345123,768.4795157909393,775.7196247577667,783.7801585197449,792.6356465816498,800.0925340652466,808.0205190181732,818.0602645874023,826.0834481716156,834.271632194519,841.1049811840057,863.3185997009277,873.2327373027802,880.3904163837433,890.1521644592285,897.6522121429443,904.722177028656,924.6311266422272,935.431316614151,944.4494631290436,952.4358847141266,959.8196709156036,966.8969769477844,975.5164933204651,985.6680421829224,993.9148199558258,1002.6832723617554,1026.1364924907684,1041.631100177765,1050.6915645599365,1061.0936801433563,1069.333711385727,1080.1193108558655,1088.859727859497,1096.0452291965485,1105.2349872589111,1116.5087780952454,1129.5878019332886,1138.7385339736938,1146.9978041648865,1154.1665604114532,1162.0930933952332,1170.720366716385,1177.6868300437927,1185.637155532837,1192.6576931476593,1200.1176409721375,1207.7176442146301,1215.432296037674,1227.2607867717743,1234.475753068924,1243.8070092201233,1251.3778920173645,1258.9523351192474,1267.223976135254,1277.6420574188232,1285.844246149063,1294.1425285339355,1301.6017665863037,1307.95135140419,1314.89541554451,1322.223675251007,1329.7149777412415,1337.9812588691711,1344.3653149604797,1350.8773310184479,1356.6449074745178,1363.8403823375702,1371.8479597568512,1378.7563517093658,1385.0238041877747,1390.5401446819305,1399.02565574646,1406.5713078975677,1413.4536657333374,1419.5630750656128,1427.0530452728271,1435.7150382995605,1443.1231985092163,1451.8759319782257,1458.9206380844116,1469.4354507923126,1478.5125558376312,1486.2646028995514,1493.664027929306,1500.6473309993744,1507.0536577701569,1514.222913980484,1519.995430469513,1526.5582790374756,1532.7931997776031,1538.8428344726562,1545.8432474136353,1552.2194466590881,1557.9697518348694,1563.8576171398163,1570.850967168808,1576.282722234726,1582.31787443161,1588.830887556076,1594.9111456871033,1600.1324076652527,1605.7588815689087,1613.7735679149628,1620.6980738639832,1626.382628440857,1632.4127769470215,1638.2175989151,1644.1905324459076,1650.0190906524658,1656.322566986084,1665.284173965454,1672.2662274837494,1679.79265999794,1686.1890006065369,1692.5133230686188,1698.25847864151
total minutes,0.0,0.3462923884391785,0.7369143009185791,1.088734495639801,1.4128143390019734,1.8061843514442444,2.0495795687039693,2.28695414463679,2.4929115653038023,2.7771916309992473,2.9831246614456175,3.161240271727244,3.3805696447690328,3.5485095302263896,3.758467161655426,3.932984646161397,4.078906989097595,4.2970095793406164,4.506686158974966,4.671452915668487,4.842707641919454,4.993987007935842,5.154150712490082,5.327868954340617,5.468383045991262,5.638701899846395,5.777978650728861,5.929165605703989,6.327564040819804,6.524897460142771,6.722703413168589,6.8981718937555945,7.0948801159858705,7.259385855992635,7.431336172421774,7.569536284605662,7.719698146979014,7.892718342940013,8.031195751825969,8.17353959083557,8.305142450332642,8.431600248813629,8.56048400402069,8.699035680294037,8.85592554807663,8.998541227976482,9.142487438519796,9.29043451944987,9.421949791908265,9.581802995999654,9.712939222653707,9.861348517735799,9.959242335955302,10.087185553709666,10.20838805437088,10.33173139890035,10.443771735827129,10.550983544190725,10.68045554558436,10.79535919825236,10.915727078914642,11.022107934951782,11.151094031333923,11.268712715307872,11.380120587348937,11.483957664171855,11.596238895257313,11.703015979131063,11.834456074237824,11.96825278600057,12.092106072107951,12.246741104125977,12.386692301432292,12.535614617665608,12.690306603908539,12.807991929848988,12.928660412629446,13.063002641995748,13.210594109694163,13.334875567754109,13.467008650302887,13.634337743123373,13.768057469526926,13.904527203241985,14.018416353066762,14.388643328348795,14.553878955046336,14.673173606395721,14.835869407653808,14.960870202382406,15.0787029504776,15.410518777370452,15.590521943569183,15.740824385484059,15.87393141190211,15.996994515260061,16.11494961579641,16.25860822200775,16.427800703048707,16.565246999263763,16.711387872695923,17.10227487484614,17.36051833629608,17.51152607599894,17.68489466905594,17.82222852309545,18.001988514264426,18.147662130991616,18.26742048660914,18.420583120981853,18.608479634920755,18.826463365554808,18.978975566228232,19.116630069414775,19.236109340190886,19.368218223253887,19.512006111939748,19.62811383406321,19.760619258880617,19.877628219127654,20.00196068286896,20.12862740357717,20.257204933961233,20.454346446196237,20.574595884482065,20.73011682033539,20.85629820028941,20.982538918654125,21.12039960225423,21.29403429031372,21.43073743581772,21.56904214223226,21.693362776438395,21.799189190069836,21.9149235924085,22.037061254183453,22.16191629568736,22.299687647819518,22.406088582674663,22.5146221836408,22.61074845790863,22.7306730389595,22.864132662614185,22.97927252848943,23.083730069796243,23.175669078032175,23.317094262441,23.44285513162613,23.557561095555624,23.65938458442688,23.784217421213786,23.928583971659343,24.05205330848694,24.197932199637094,24.315343968073527,24.490590846538545,24.641875930627187,24.771076714992525,24.894400465488435,25.010788849989574,25.11756096283595,25.2370485663414,25.333257174491884,25.442637983957926,25.546553329626718,25.647380574544272,25.764054123560587,25.870324110984804,25.966162530581155,26.06429361899694,26.180849452813465,26.2713787039121,26.37196457386017,26.480514792601266,26.58185242811839,26.668873461087546,26.76264802614848,26.896226131916045,27.01163456439972,27.106377140680948,27.20687961578369,27.303626648585002,27.403175540765126,27.500318177541097,27.605376116434734,27.75473623275757,27.87110379139582,27.996544333299003,28.103150010108948,28.20855538447698,28.3043079773585
cummulative feedback,0.0,415.0,531.0,576.0,613.0,661.0,693.0,728.0,774.0,936.0,1006.0,1036.0,1108.0,1152.0,1193.0,1214.0,1238.0,1267.0,1348.0,1376.0,1417.0,1450.0,1482.0,1508.0,1528.0,1561.0,1585.0,1608.0,1647.0,1685.0,1717.0,1744.0,1769.0,1800.0,1832.0,1858.0,1874.0,1901.0,1925.0,1948.0,1967.0,1987.0,2004.0,2028.0,2056.0,2086.0,2110.0,2138.0,2156.0,2185.0,2201.0,2212.0,2229.0,2246.0,2259.0,2284.0,2301.0,2314.0,2332.0,2351.0,2370.0,2394.0,2417.0,2438.0,2454.0,2483.0,2511.0,2532.0,2551.0,2572.0,2596.0,2642.0,2661.0,2699.0,2723.0,2741.0,2762.0,2786.0,2801.0,2818.0,2837.0,2862.0,2883.0,2908.0,2934.0,2960.0,2982.0,3008.0,3032.0,3057.0,3073.0,3105.0,3138.0,3187.0,3215.0,3240.0,3261.0,3274.0,3300.0,3325.0,3347.0,3375.0,3406.0,3437.0,3464.0,3486.0,3517.0,3537.0,3565.0,3600.0,3621.0,3641.0,3671.0,3698.0,3723.0,3742.0,3767.0,3782.0,3803.0,3822.0,3849.0,3875.0,3894.0,3909.0,3933.0,3954.0,3982.0,4001.0,4038.0,4068.0,4102.0,4126.0,4148.0,4165.0,4193.0,4215.0,4234.0,4254.0,4272.0,4285.0,4298.0,4316.0,4339.0,4353.0,4370.0,4389.0,4401.0,4418.0,4434.0,4447.0,4473.0,4546.0,4568.0,4591.0,4607.0,4669.0,4684.0,4708.0,4728.0,4747.0,4763.0,4781.0,4795.0,4809.0,4824.0,4840.0,4856.0,4867.0,4882.0,4895.0,4911.0,4929.0,4944.0,4965.0,4981.0,4997.0,5012.0,5031.0,5058.0,5077.0,5097.0,5115.0,5136.0,5159.0,5172.0,5195.0,5208.0,5222.0,5235.0,5249.0,5259.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
