,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0
Accumulated time steps,0.0,501.0,912.0,1548.0,1938.0,2333.0,2648.0,2935.0,3325.0,3772.0,4071.0,4487.0,4781.0,5088.0,5364.0,5665.0,6062.0,6383.0,6681.0,6990.0,7273.0,7716.0,8049.0,8371.0,8687.0,8993.0,9276.0,9572.0,9870.0,10164.0,10526.0,10816.0,11114.0,11390.0,11681.0,11963.0,12264.0,12550.0,12842.0,13148.0,13432.0,13732.0,14029.0,14316.0,14607.0,14904.0,15200.0,15491.0,15789.0,16083.0,16369.0,16671.0,16967.0,17256.0,17557.0,17920.0,18209.0,18506.0,18854.0,19160.0,19453.0,19815.0,20116.0,20417.0,20753.0,21030.0,21382.0,21673.0,22013.0,22308.0,22604.0,22897.0,23187.0,23473.0,24143.0,24447.0,24744.0,25035.0,25328.0,25618.0,25901.0,26201.0,26537.0,26833.0,27135.0,27477.0,27760.0,28048.0,28338.0,28665.0,28971.0,29256.0,29549.0,29831.0,30101.0,30394.0,30671.0,31009.0,31286.0,31578.0,31872.0,32149.0,32433.0,32717.0,33000.0,33302.0,33588.0,33873.0,34168.0,34451.0,34722.0,35008.0,35293.0,35620.0,35911.0,36353.0,36635.0,37079.0,37384.0,37678.0,37960.0,38234.0,38522.0,38816.0,39097.0,39423.0,39712.0,40052.0,40357.0,40650.0,40937.0,41232.0,41582.0,41876.0,42180.0,42466.0,42746.0,43034.0,43334.0,43619.0,43926.0,44257.0,44604.0,44898.0,45193.0,45482.0,45801.0,46096.0,46425.0,46746.0,47042.0,47346.0,47692.0,47993.0,48772.0,49080.0,49426.0,49707.0,50050.0,50327.0,50623.0,50920.0,51214.0,51947.0,52247.0,52534.0,52818.0,53104.0,53454.0,53740.0,54022.0,54305.0,54581.0,54862.0,55136.0,55427.0,55709.0,56153.0,56440.0,57391.0,58153.0,58764.0,59117.0,59423.0,59917.0,60246.0,60501.0
Episode reward,0.0,356.5707267835202,149.891395178946,517.7559847771481,198.1580793921632,186.85252748355816,174.94978837756605,139.9877506001783,159.36712503116232,692.6513106431161,127.93081274928312,125.84914754168531,189.43051388954157,124.97814098318285,123.1059331391519,198.65201197026332,131.76092279474707,144.24486404196807,194.87119928130627,174.57859809163676,127.7450719819237,770.5284855044067,125.34281149134966,197.6033352674641,185.58160718027477,125.44107436405119,123.0401712044164,178.5380630382949,175.93024885271763,170.65873869900113,121.803976888737,158.5308172703529,186.4521219041885,118.88174880336223,127.76287220416718,164.10263735901356,188.37493793575646,136.466777340425,191.73079849350583,164.20338101530533,163.137666655792,186.87003218146944,158.84725954097289,115.96246742106669,130.42803483790897,182.7868621293039,158.38529215217727,173.37043251086072,184.00531239135512,173.62304825985854,123.88149010498873,171.2330162521603,191.8945483884718,160.14467677636463,162.54895623450238,116.39136614671636,182.9092342897021,154.77418713860564,301.07433915550604,153.644877604536,158.13634636090106,166.91721680871484,129.97797989873666,151.62629186413676,304.01492132191146,122.38601957801586,332.1661126181789,190.1125855133277,168.22393818397606,189.5381729185613,172.70312548789536,128.69697982071537,145.08719789375044,147.8489529464192,175.17336452045748,147.85372419854616,129.3665054744046,133.28154045610776,129.07434919659033,176.35782322686097,128.75623675694032,191.65147006546664,142.78356296918662,166.52160870082167,181.46851125647547,128.0377829067799,176.62215210928593,171.7093482550217,166.2672136692498,153.78009840987286,189.17692721509536,133.1283018964051,166.88256876471766,171.09425450787515,156.04899056859432,173.65721989500543,151.59572620969075,189.13514399134132,171.8842902419345,178.23498700760294,161.0789797929038,160.69561516173331,122.7639141446715,125.08446244186588,158.57078708628345,191.99073800086225,159.53985032144035,165.9083343464978,180.30226498435067,179.29611275840193,137.2789251900016,155.28500709092327,168.13145438248674,163.80507380514004,175.87773240928738,170.17484736071216,174.35075726752754,434.836964065465,188.65649362902448,130.9632213087037,148.6896169958755,171.72272219743414,162.24272502719083,175.04857887868687,126.2101163036647,312.49881612227836,125.39004371777366,138.33380795512792,182.84494489516365,184.3074839552434,163.86390650888924,143.29619889161444,127.56158402725792,181.19078376423863,161.4919183602473,128.22532217806548,171.46342268294126,141.3149737214269,163.77895962067177,172.75392062278124,177.02073534919816,186.68388824551684,170.48597962807318,173.11311561316055,159.84808404119994,117.53324773012673,192.00102874800479,165.1766456737097,193.6898511048343,138.71509343368697,170.75225056314352,187.59561794394534,134.24881742425308,149.55210241330988,126.98276515090261,127.01048913576525,173.62112296370645,169.02383613161928,189.09714119683613,129.89320571212406,172.87734887785558,188.19792973335421,133.76738504163342,136.2919553388574,146.49502879509504,144.34446397051693,129.16171986703307,133.96170036963525,201.43118600523434,168.20802141694918,120.15958047951064,149.5552725818249,119.79736415061093,137.719697180463,141.38759565581242,176.24715607938057,130.21782919082648,120.59712286283327,153.21591358504725,664.560864429846,145.44871296224596,134.4754781634321,156.45751357243975,136.55856313024725,1004.6995520260024,168.65699092913238,21.240563259873383
Episode feedback,0.8,0.795999998408,0.7590361354332996,0.7918088710177171,0.7637795215450431,0.6268656622855872,0.569230760473373,0.5172413703923902,0.593220328928469,0.6842105230420549,0.6551724024970276,0.6296296179698219,0.6811594104179796,0.5925925816186559,0.415094331790673,0.7164178997549567,0.5454545355371903,0.593220328928469,0.5072463694601975,0.39999999333333347,0.41818181057851256,0.691542285116705,0.6037735735137062,0.522388051904656,0.49999999242424253,0.48148147256515794,0.5471698009967962,0.41935483194588985,0.43548386394380867,0.6101694811835682,0.5490195970780472,0.35087718682671604,0.453124992919922,0.3773584834460664,0.4423076838017753,0.5593220244182708,0.36923076355029594,0.4642857059948981,0.453124992919922,0.44642856345663284,0.3928571358418369,0.4285714217687076,0.49122806155740245,0.3529411695501732,0.277777772633745,0.403225799947971,0.3965517173008325,0.38709676795005216,0.41935483194588985,0.45901638591776417,0.6037735735137062,0.3559321973570814,0.31249999511718757,0.4561403428747308,0.34482758026159344,0.4599999908000002,0.4838709599375652,0.32727272132231416,0.5818181765289256,0.3818181748760332,0.35087718682671604,0.5762711766733699,0.6296296179698219,0.4999999907407409,0.6346153785133137,0.39215685505574793,0.5566037683339268,0.5468749914550782,0.44067795863257697,0.43076922414201196,0.4999999916666668,0.3999999927272729,0.2999999950000001,0.25454544991735545,0.6229508094598228,0.3684210461680518,0.5090908998347109,0.5925925816186559,0.5094339526521896,0.5333333244444446,0.3773584834460664,0.31249999511718757,0.43103447532699185,0.43103447532699185,0.35483870395421446,0.3773584834460664,0.40983605885514657,0.38709676795005216,0.43859648353339503,0.5535714186862247,0.3749999941406251,0.35185184533607694,0.36206895927467314,0.29310344322235443,0.24999999553571436,0.18333333027777785,0.47368420221606666,0.4843749924316408,0.4237288063774779,0.3114754047299114,0.32203389284688316,0.49122806155740245,0.47058822606689754,0.4423076838017753,0.2727272677685951,0.32307691810650896,0.28070174946137283,0.20689654815695607,0.44999999250000017,0.3333333277777779,0.16071428284438782,0.4727272641322316,0.47457626314277523,0.42105262419205924,0.39999999333333347,0.2999999950000001,0.2999999950000001,0.4952830165316839,0.33333332828282836,0.4727272641322316,0.3636363570247935,0.5172413703923902,0.43103447532699185,0.316666661388889,0.3962264076183697,0.5384615332840237,0.3773584834460664,0.3571428507653063,0.29508196237570555,0.41269840614764436,0.3559321973570814,0.2758620642092748,0.24528301423994314,0.3749999941406251,0.41379309631391215,0.22641509006763982,0.3050847405917841,0.16981131755072987,0.3793103382877528,0.32203389284688316,0.3174603124212649,0.30158729680020163,0.37288134961218056,0.34426228943832315,0.3859649055093876,0.2549019557862362,0.2812499956054688,0.20689654815695607,0.49230768473372793,0.34545453917355384,0.38983050186727963,0.2857142811791384,0.31481480898491093,0.35185184533607694,0.3818181748760332,0.4821428485331634,0.3114754047299114,0.3559321973570814,0.33333332828282836,0.44444443621399193,0.3559321973570814,0.44444443738977085,0.33333332748538025,0.42857142091836753,0.43548386394380867,0.4561403428747308,0.42857142091836753,0.34545453917355384,0.2424242387511479,0.3793103382877528,0.48076922152366885,0.35185184533607694,0.39215685505574793,0.25454544991735545,0.285714280612245,0.29508196237570555,0.26415093841224646,0.41176469780853536,0.4107142783801022,0.43382352781682526,0.316666661388889,0.2909090856198348,0.360655731792529,0.41818181057851256,0.3822222205234568,0.28813558833668496,0.4545454338842984
total seconds,0.0,20.279345512390137,37.65070843696594,60.924763679504395,75.59394979476929,91.1124701499939,102.53005886077881,112.32364535331726,126.04293036460876,141.70401096343994,153.4997582435608,170.1971344947815,180.62899374961853,191.6216173171997,200.51290035247803,210.22425079345703,223.27375602722168,234.01554155349731,244.46612215042114,254.95047163963318,263.04108119010925,278.6927785873413,291.060524225235,302.05167412757874,311.5651457309723,320.9417955875397,330.22443771362305,340.305223941803,349.06806802749634,357.4655051231384,369.40009474754333,378.5065128803253,387.8838155269623,395.74249744415283,403.4719989299774,410.7736713886261,418.5389037132263,427.10338735580444,435.83922839164734,444.6067895889282,452.05088806152344,461.8237609863281,470.5223948955536,478.51146936416626,486.3570713996887,494.2611825466156,503.2652039527893,510.8041968345642,519.1431286334991,527.1227059364319,534.6576194763184,542.2271955013275,549.693531036377,557.4015974998474,566.0792300701141,579.091854095459,589.2258310317993,597.8030953407288,607.78635597229,617.0502030849457,625.653422832489,637.7305583953857,647.5086698532104,657.2224674224854,668.1938531398773,675.318517446518,685.4951148033142,693.7704584598541,704.7573509216309,712.3837566375732,721.9586374759674,729.9389400482178,738.1917872428894,744.8134109973907,766.4127345085144,776.0707821846008,785.2287046909332,794.8635122776031,801.4007034301758,809.8682408332825,817.4135828018188,824.6819794178009,834.3107905387878,842.005021572113,849.2138822078705,858.5994648933411,866.5156757831573,873.6937248706818,880.6711633205414,890.3752882480621,899.2893557548523,907.5647284984589,914.6579296588898,921.3214118480682,929.1473634243011,936.1568667888641,943.3953182697296,953.8785765171051,962.29540848732,969.9992134571075,977.159236907959,984.5213706493378,992.1358888149261,999.089784860611,1005.7774670124054,1013.9267475605011,1020.4031326770782,1027.4665505886078,1034.8562066555023,1041.0769991874695,1046.8414862155914,1055.696590423584,1061.7838888168335,1069.6724803447723,1076.6709308624268,1089.6825714111328,1097.7994327545166,1109.8637709617615,1118.9029750823975,1127.4203555583954,1135.2363820075989,1142.6079936027527,1150.6419169902802,1157.526546239853,1163.5738990306854,1172.7633147239685,1179.9510791301727,1188.4939892292023,1194.6559958457947,1202.8729910850525,1210.2078170776367,1217.1575846672058,1225.2925889492035,1232.4828197956085,1240.1464219093323,1245.9089589118958,1253.6302704811096,1259.7639904022217,1266.4612147808075,1272.765941143036,1282.42875623703,1290.5664627552032,1300.040395975113,1307.4039187431335,1315.1497738361359,1321.9605128765106,1329.8667845726013,1336.2499372959137,1346.2566599845886,1354.930495262146,1362.5594987869263,1369.1322667598724,1378.0924999713898,1384.9326286315918,1404.2700653076172,1412.923160791397,1422.2442228794098,1432.6307971477509,1441.6891226768494,1449.1026210784912,1456.5090961456299,1464.1233575344086,1471.8157563209534,1489.1325562000275,1497.1218392848969,1505.8423476219177,1513.2996780872345,1520.1733946800232,1528.6280510425568,1535.6486039161682,1542.276593208313,1549.337212562561,1556.2834186553955,1563.077743768692,1568.5804119110107,1574.5775320529938,1580.3965380191803,1591.2890405654907,1598.662082195282,1622.6384975910187,1643.3672914505005,1660.537523508072,1669.6581971645355,1677.1208856105804,1687.2719748020172,1694.5613510608673,1700.6384236812592
total minutes,0.0,0.33798909187316895,0.6275118072827657,1.01541272799174,1.2598991632461547,1.518541169166565,1.7088343143463134,1.872060755888621,2.1007155060768126,2.3617335160573325,2.5583293040593467,2.836618908246358,3.0104832291603087,3.1936936219533285,3.3418816725413003,3.503737513224284,3.7212292671203615,3.900259025891622,4.074435369173686,4.249174527327219,4.384018019835154,4.644879643122355,4.85100873708725,5.034194568792979,5.192752428849539,5.349029926458995,5.503740628560384,5.671753732363383,5.817801133791606,5.957758418718973,6.156668245792389,6.308441881338755,6.464730258782705,6.595708290735881,6.724533315499624,6.8462278564771015,6.975648395220438,7.118389789263407,7.263987139860789,7.41011315981547,7.534181467692057,7.697062683105469,7.842039914925893,7.975191156069438,8.105951189994812,8.237686375776926,8.387753399213155,8.51340328057607,8.652385477224986,8.785378432273864,8.910960324605306,9.037119925022125,9.161558850606282,9.290026624997457,9.434653834501903,9.651530901590982,9.820430517196655,9.96338492234548,10.129772599538168,10.284170051415762,10.42755704720815,10.628842639923096,10.791811164220174,10.953707790374756,11.136564218997956,11.255308624108633,11.424918580055238,11.562840974330902,11.745955848693848,11.87306261062622,12.03264395793279,12.16564900080363,12.303196454048157,12.413556849956512,12.773545575141906,12.934513036410014,13.087145078182221,13.24772520462672,13.35667839050293,13.497804013888041,13.623559713363647,13.744699656963348,13.90517984231313,14.033417026201883,14.153564703464507,14.309991081555685,14.44192792971929,14.56156208117803,14.677852722009023,14.839588137467702,14.988155929247538,15.126078808307648,15.244298827648162,15.355356864134471,15.485789390405019,15.602614446481068,15.723255304495494,15.897976275285085,16.038256808122,16.16665355761846,16.285987281799315,16.408689510822295,16.535598146915437,16.651496414343516,16.76295778354009,16.898779126008353,17.006718877951304,17.12444250981013,17.24760344425837,17.351283319791158,17.447358103593192,17.5949431737264,17.696398146947224,17.82787467241287,17.94451551437378,18.161376190185546,18.296657212575276,18.49772951602936,18.648382918039957,18.790339259306588,18.920606366793315,19.04346656004588,19.177365283171337,19.29210910399755,19.39289831717809,19.546055245399476,19.66585131883621,19.808233153820037,19.910933264096577,20.047883184750876,20.17013028462728,20.28595974445343,20.42154314915339,20.54138032992681,20.669107031822204,20.76514931519826,20.89383784135183,20.996066506703695,21.10768691301346,21.212765685717265,21.3738126039505,21.509441045920052,21.667339932918548,21.790065312385558,21.91916289726893,22.03267521460851,22.164446409543356,22.27083228826523,22.437610999743143,22.582174921035765,22.709324979782103,22.818871112664542,22.968208332856495,23.082210477193197,23.404501088460286,23.548719346523285,23.704070381323497,23.877179952462516,24.028152044614156,24.151710351308186,24.275151602427165,24.40205595890681,24.530262605349222,24.818875936667123,24.95203065474828,25.097372460365296,25.22166130145391,25.336223244667053,25.47713418404261,25.594143398602803,25.704609886805216,25.822286876042686,25.938056977589927,26.051295729478202,26.143006865183512,26.242958867549895,26.33994230031967,26.521484009424846,26.644368036588034,27.04397495985031,27.38945485750834,27.675625391801198,27.827636619408924,27.95201476017634,28.121199580033622,28.24268918434779,28.343973728020988
cummulative feedback,0.0,398.0,461.0,693.0,790.0,832.0,869.0,899.0,934.0,1077.0,1115.0,1149.0,1196.0,1228.0,1250.0,1298.0,1328.0,1363.0,1398.0,1422.0,1445.0,1584.0,1616.0,1651.0,1684.0,1710.0,1739.0,1765.0,1792.0,1828.0,1856.0,1876.0,1905.0,1925.0,1948.0,1981.0,2005.0,2031.0,2060.0,2085.0,2107.0,2134.0,2162.0,2180.0,2195.0,2220.0,2243.0,2267.0,2293.0,2321.0,2353.0,2374.0,2394.0,2420.0,2440.0,2463.0,2493.0,2511.0,2575.0,2596.0,2616.0,2650.0,2684.0,2711.0,2777.0,2797.0,2856.0,2891.0,2917.0,2945.0,2975.0,2997.0,3015.0,3029.0,3067.0,3088.0,3116.0,3148.0,3175.0,3207.0,3227.0,3247.0,3272.0,3297.0,3319.0,3339.0,3364.0,3388.0,3413.0,3444.0,3468.0,3487.0,3508.0,3525.0,3539.0,3550.0,3577.0,3608.0,3633.0,3652.0,3671.0,3699.0,3723.0,3746.0,3761.0,3782.0,3798.0,3810.0,3837.0,3857.0,3866.0,3892.0,3920.0,3944.0,3968.0,3986.0,4004.0,4109.0,4131.0,4157.0,4177.0,4207.0,4232.0,4251.0,4272.0,4328.0,4348.0,4368.0,4386.0,4412.0,4433.0,4449.0,4462.0,4486.0,4510.0,4522.0,4540.0,4549.0,4571.0,4590.0,4610.0,4629.0,4651.0,4672.0,4694.0,4707.0,4725.0,4737.0,4769.0,4788.0,4811.0,4829.0,4846.0,4865.0,4886.0,4913.0,4932.0,4953.0,4975.0,4999.0,5020.0,5048.0,5067.0,5091.0,5118.0,5144.0,5168.0,5187.0,5203.0,5225.0,5250.0,5269.0,5289.0,5303.0,5319.0,5337.0,5351.0,5372.0,5395.0,5513.0,5532.0,5548.0,5570.0,5593.0,5679.0,5696.0,5706.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
