,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0
Accumulated time steps,0.0,501.0,1388.0,1849.0,2374.0,2725.0,3055.0,3373.0,3721.0,4020.0,4397.0,4692.0,4982.0,5293.0,5603.0,6565.0,6892.0,7332.0,7637.0,7973.0,8251.0,8531.0,8887.0,9183.0,9575.0,9849.0,10147.0,10446.0,10732.0,11023.0,11323.0,11612.0,11916.0,12294.0,12587.0,12890.0,13192.0,13678.0,13973.0,14272.0,14629.0,14913.0,15197.0,15500.0,15793.0,16072.0,16355.0,16652.0,16940.0,17209.0,17500.0,17778.0,18054.0,18336.0,18614.0,18905.0,19189.0,19493.0,19781.0,20063.0,20429.0,20705.0,20982.0,21286.0,21574.0,21849.0,22134.0,22409.0,22685.0,22964.0,23275.0,23556.0,23833.0,24578.0,24859.0,25205.0,25543.0,25829.0,26493.0,26781.0,27055.0,27348.0,27617.0,27901.0,28276.0,28562.0,28857.0,29148.0,29437.0,29727.0,30013.0,30297.0,30595.0,30888.0,31193.0,31491.0,31778.0,32060.0,32352.0,32651.0,32979.0,33293.0,33579.0,33883.0,34433.0,34725.0,35087.0,35427.0,35705.0,36015.0,36325.0,36604.0,36895.0,37188.0,37525.0,37850.0,38165.0,38467.0,38771.0,39060.0,39682.0,39982.0,40387.0,40672.0,41006.0,41363.0,41895.0,42198.0,42736.0,43042.0,43339.0,43697.0,43988.0,44285.0,44602.0,45234.0,45535.0,45874.0,46399.0,46668.0,46976.0,47256.0,47556.0,47847.0,48127.0,48527.0,48848.0,49168.0,49510.0,49808.0,50122.0,50455.0,50746.0,51019.0,51345.0,51653.0,51944.0,52224.0,52508.0,52797.0,53084.0,53360.0,53864.0,54235.0,54534.0,54811.0,55108.0,55391.0,55726.0,55995.0,56280.0,56635.0,56923.0,57208.0,57505.0,57799.0,58081.0,58370.0,58654.0,58927.0,59560.0,59851.0,60199.0,60499.0
Episode reward,0.0,383.24979542014574,166.3505214058268,205.67387316649325,121.76171232355836,187.63362351404317,176.35208786200457,184.65439740576164,127.08327291988411,131.33883499868972,135.9685516494546,142.0568149527172,145.5678189741509,165.31936522233477,181.38133519555527,1448.812136683318,253.24921485788445,297.9663631010408,189.17326952068834,140.4838213478484,128.9155570815264,160.7265077082213,148.3179309887047,179.8700047470683,430.37710765338545,134.92696652725942,179.1026593641535,150.91918059288426,179.3082032535524,174.76187823500064,190.2544346228949,159.61291272081488,177.0845936695317,128.2286296251091,166.70348457397304,191.34791634733085,197.32308990464634,1064.2621442731356,130.21930951579935,145.62117939053613,121.92168873241465,178.2955748843762,121.29579276637158,184.69240191319912,135.24853201140857,119.06620707673889,137.857809416287,182.3483061835586,133.81905479213265,122.53720032503023,170.04408511890392,140.9448685678832,170.5736142911402,168.54271413137394,168.87453468748265,156.26232302375632,163.0373750991317,185.33716940036896,161.8059842012725,184.1778837266353,175.09001838962365,155.13080477200165,174.13682363770434,202.3364626061362,114.935488860836,142.66665415341453,170.39437215868435,129.35662111546415,129.29167211839345,123.36195128017162,187.68362015211557,173.76527890923472,128.20955852637553,195.3046642152399,169.83117208268655,167.221251192978,122.11644580746227,134.53081278999724,194.0092949804313,138.94268903209732,131.5679867629329,166.6760208922488,128.30830825182605,163.3786092934759,157.13273049209974,172.33544781503124,170.58226243241188,135.1335532460673,179.03921050361174,168.44986865652987,121.26890403240621,157.98372013284808,184.1983832998145,172.86150535741214,159.54918558209715,169.0218273166164,158.89765418933953,163.7398712136134,184.00456098542594,127.21176977786263,251.6154547927556,172.25224692896728,111.7552576092965,164.6331012621987,203.49471702023487,180.98592464044333,159.38851876272236,177.38761350232411,154.95605260086703,178.52865051040527,175.77759705406802,129.74328116249666,137.3343669461551,136.04600878559742,123.45129362893108,140.75389415353732,129.75432510723203,135.1612461540048,171.58058197169666,168.6159531877347,190.78572095549887,171.47320710287607,161.71742160010368,183.59549151066,136.04921811734508,140.3457628265038,126.34509032653241,164.35045821975186,174.88247681250039,130.61529565684782,141.5771585053269,135.61285693155818,178.59638645635644,163.60121777972384,256.67666072036207,134.41655971556793,197.83593154772396,173.21424753318612,178.23658339216803,139.85676366526033,187.41685706438082,120.64145171287754,167.3540439656584,139.09375180444212,151.79736082712856,125.70223860939625,179.31105612853625,135.27598041735934,191.86888621816868,160.77430251536157,173.62612942505717,232.12397230358567,136.88116865898365,125.57326005202223,218.23024832157577,185.70090194890003,186.79984334358144,127.3201813171035,174.55231692148908,148.438790567244,144.60241408844294,170.14374827292448,120.5668731194693,340.9746247173254,166.28902583515276,183.5037207041098,177.3396820878259,160.22795721176718,159.01281776279302,117.8596368293689,131.66949866977978,102.67935650889633,177.29014435233842,145.54740126170083,195.15584597348288,169.3924083967718,134.1945822443857,156.37193716714833,167.80219296942494,125.84131348332821,178.9341517819929,163.9391544733,263.00099702998284,158.60962318890367
Episode feedback,0.8,0.795999998408,0.6853932507259185,0.6923076834319528,0.6153846035502961,0.5072463694601975,0.47826086263390055,0.7121212013314969,0.6727272604958681,0.5892857037627554,0.43333332611111125,0.5762711766733699,0.45901638591776417,0.3389830451019823,0.578124990966797,0.719540228230942,0.6794871707758056,0.6475409782988445,0.6666666565656567,0.6999999883333335,0.5660377251690996,0.5789473582640815,0.4642857059948981,0.6769230665088759,0.7106918194296112,0.42857142091836753,0.5483870879292405,0.3636363570247935,0.6557376941682346,0.4915254153978743,0.4062499936523439,0.3749999933035716,0.3666666605555557,0.35185184533607694,0.29310344322235443,0.32812499487304697,0.44776118734684794,0.6206896527942926,0.44444443621399193,0.5762711766733699,0.5471698009967962,0.5409835976887934,0.5849056493414029,0.30645160796045795,0.6363636247933887,0.40384614607988184,0.41818181057851256,0.46774192793964636,0.37037036351166,0.21153845747041428,0.46666665888888903,0.42105262419205924,0.47457626314277523,0.36206895927467314,0.3559321973570814,0.35087718682671604,0.31034482223543414,0.3174603124212649,0.33333332748538025,0.33870967195629564,0.5245901553345876,0.6071428463010207,0.46666665888888903,0.40298506861216316,0.5769230658284026,0.3275862012485138,0.5172413703923902,0.31481480898491093,0.3846153772189351,0.2549019557862362,0.1718749973144532,0.2666666622222223,0.43396225596297633,0.6268656622855872,0.41379309631391215,0.4237288063774779,0.4615384526627221,0.49122806155740245,0.5555555467372135,0.42857142091836753,0.5818181712396696,0.48333332527777795,0.3773584834460664,0.3559321973570814,0.3749999933035716,0.47540982827197004,0.3666666605555557,0.3090909034710745,0.24590163531308795,0.3050847405917841,0.3269230706360948,0.3684210461680518,0.23809523431594867,0.45901638591776417,0.3571428507653063,0.38333332694444455,0.30357142315051033,0.40350876485072346,0.32258063995837677,0.35849055927376305,0.4468085058850159,0.3770491741467349,0.28571427988338205,0.5593220244182708,0.4929577395358065,0.4218749934082032,0.40350876485072346,0.3906249938964845,0.3928571358418369,0.4838709599375652,0.29032257596253913,0.3962264076183697,0.30357142315051033,0.4561403428747308,0.29411764129181095,0.32142856568877565,0.4545454462809919,0.3275862012485138,0.4918032706261759,0.38333332694444455,0.28787878351698815,0.316666661388889,0.4561403428747308,0.38095237490551787,0.40350876485072346,0.4482758543400715,0.49122806155740245,0.48275861236623085,0.44444443738977085,0.44444443621399193,0.5333333244444446,0.5090908998347109,0.2857142811791384,0.39344261650094076,0.30434782277882805,0.3818181748760332,0.37313432278903996,0.37288134961218056,0.39344261650094076,0.4915254153978743,0.35483870395421446,0.3529411695501732,0.3684210461680518,0.3636363570247935,0.3773584834460664,0.5283018768244929,0.3650793592844546,0.3571428507653063,0.43076922414201196,0.46551723335315115,0.3333333277777779,0.3516483477840841,0.35185184533607694,0.5660377251690996,0.40624999576822923,0.4090909028925621,0.3333333280423281,0.2692307640532545,0.3770491741467349,0.42592591803840896,0.4074073998628259,0.32203389284688316,0.2909090856198348,0.3777777749794239,0.48333332527777795,0.34426228943832315,0.28813558833668496,0.1929824527546938,0.26315789012003704,0.3469387684298211,0.33333332716049396,0.3617021199637847,0.1803278658962645,0.1886792417230332,0.4062499936523439,0.23728813157138762,0.2909090856198348,0.2727272677685951,0.3157894681440444,0.3962264076183697,0.3709677359521333,0.3333333277777779,0.3931623898020309,0.23214285299744905
total seconds,0.0,20.81527805328369,56.80499029159546,74.89287829399109,96.09303832054138,109.49430346488953,121.5231020450592,132.19280409812927,144.35408186912537,153.17293691635132,165.79467296600342,176.6817831993103,186.3621792793274,196.86531925201416,205.7822823524475,239.82229375839233,252.25302004814148,270.5617141723633,280.2821683883667,292.99286007881165,304.04425263404846,313.3196623325348,326.63931941986084,336.8744430541992,351.2010405063629,358.78461480140686,368.8643548488617,378.7530643939972,387.0386598110199,395.0630531311035,402.2170217037201,410.1612389087677,418.64379262924194,428.53307032585144,436.30398511886597,444.50422525405884,455.0251986980438,469.513454914093,479.5617423057556,491.28407311439514,503.32344913482666,512.8007409572601,520.7845594882965,529.1934838294983,537.9900739192963,545.6952464580536,552.9150025844574,562.0842230319977,569.7977519035339,575.7995731830597,585.0342786312103,592.9639565944672,603.5722997188568,611.1248841285706,618.5251955986023,626.8985488414764,634.0572361946106,641.6321406364441,648.5782470703125,656.0318217277527,666.6378376483917,676.8907382488251,685.7538120746613,694.0261220932007,701.70933842659,708.5411787033081,716.9302530288696,724.3570082187653,730.3970003128052,737.5498044490814,745.9431636333466,752.7845196723938,760.1123232841492,784.4456450939178,794.8790645599365,805.8331496715546,817.2133762836456,825.3335602283478,844.1621050834656,853.449622631073,861.8479964733124,869.5439004898071,877.4482371807098,884.1271281242371,894.5389120578766,902.4996881484985,912.222056388855,919.2428822517395,927.0328087806702,934.65149974823,943.1428334712982,950.8877146244049,958.0436499118805,965.781359910965,974.127334356308,983.6973941326141,990.6242475509644,998.5835564136505,1006.3126547336578,1014.1942586898804,1022.317218542099,1031.3050961494446,1040.4683179855347,1049.3870167732239,1064.4980449676514,1074.1815402507782,1084.2133951187134,1093.9897696971893,1103.680918455124,1112.29727768898,1121.3742463588715,1128.6078157424927,1136.1730597019196,1144.1063973903656,1155.213077545166,1164.1869812011719,1172.93625664711,1181.0276067256927,1189.8810586929321,1199.1403937339783,1216.570979833603,1225.1899576187134,1238.1862020492554,1246.1601037979126,1257.5126082897186,1267.4388227462769,1282.1592531204224,1291.384047985077,1306.4434599876404,1314.7924950122833,1323.7605123519897,1336.6480741500854,1343.662265777588,1352.3617227077484,1362.0996007919312,1380.2919719219208,1388.428931236267,1398.0544021129608,1411.6723713874817,1418.9706451892853,1427.622142314911,1435.4664487838745,1443.9005031585693,1452.380103111267,1458.4602875709534,1470.2235164642334,1479.288491487503,1488.0249967575073,1496.864138841629,1505.4597494602203,1514.1143860816956,1521.8593153953552,1529.7089440822601,1536.7961735725403,1545.8089354038239,1553.7236261367798,1560.5842337608337,1567.0194942951202,1574.2376027107239,1581.2116611003876,1589.3897433280945,1596.043619632721,1611.0479259490967,1620.7241775989532,1629.151873588562,1635.4714484214783,1644.0567440986633,1651.7151548862457,1659.315670967102,1666.4736766815186,1673.3837316036224,1682.9788155555725,1689.497570514679,1697.9103891849518,1705.3223538398743,1711.4419176578522,1718.034808397293,1724.7885646820068,1731.1566708087921,1739.1978380680084,1755.5834028720856,1763.2156267166138,1771.775640487671,1780.3246669769287
total minutes,0.0,0.3469213008880615,0.9467498381932576,1.248214638233185,1.6015506386756897,1.8249050577481587,2.0253850340843202,2.203213401635488,2.405901364485423,2.5528822819391888,2.76324454943339,2.944696386655172,3.106036321322123,3.281088654200236,3.429704705874125,3.997038229306539,4.204217000802358,4.509361902872722,4.671369473139445,4.883214334646861,5.067404210567474,5.221994372208913,5.44398865699768,5.61457405090332,5.853350675106048,5.979743580023448,6.147739247481028,6.312551073233286,6.450644330183665,6.584384218851725,6.7036170283953345,6.836020648479462,6.977396543820699,7.142217838764191,7.271733085314433,7.408403754234314,7.583753311634064,7.825224248568217,7.992695705095927,8.188067885239919,8.38872415224711,8.546679015954336,8.679742658138276,8.819891397158305,8.966501231988271,9.094920774300894,9.21525004307429,9.368070383866629,9.496629198392233,9.596659553050994,9.750571310520172,9.882732609907785,10.059538328647614,10.185414735476176,10.308753259976704,10.448309147357941,10.56762060324351,10.693869010607402,10.809637451171875,10.933863695462545,11.110630627473196,11.281512304147084,11.429230201244355,11.567102034886679,11.695155640443167,11.809019645055136,11.94883755048116,12.072616803646088,12.173283338546753,12.292496740818024,12.432386060555777,12.546408661206563,12.668538721402486,13.074094084898631,13.247984409332275,13.430552494525909,13.62022293806076,13.755559337139129,14.06936841805776,14.22416037718455,14.364133274555206,14.492398341496786,14.624137286345164,14.735452135403952,14.908981867631276,15.041661469141642,15.203700939814249,15.320714704195659,15.450546813011169,15.577524995803833,15.719047224521637,15.848128577073416,15.967394165198009,16.09635599851608,16.235455572605133,16.394956568876903,16.510404125849405,16.64305927356084,16.771877578894298,16.90323764483134,17.038620309034982,17.18841826915741,17.341138633092246,17.489783612887063,17.74163408279419,17.903025670846304,18.070223251978557,18.23316282828649,18.394681974252066,18.538287961483,18.68957077264786,18.810130262374877,18.93621766169866,19.068439956506094,19.253551292419434,19.403116353352864,19.548937610785167,19.68379344542821,19.831350978215536,19.98567322889964,20.276182997226716,20.419832626978557,20.636436700820923,20.769335063298545,20.95854347149531,21.123980379104616,21.36932088534037,21.52306746641795,21.774057666460674,21.913208250204722,22.062675205866494,22.277467902501424,22.39437109629313,22.539362045129142,22.701660013198854,23.00486619869868,23.140482187271118,23.30090670188268,23.52787285645803,23.649510753154754,23.79370237191518,23.924440813064574,24.065008385976157,24.206335051854452,24.30767145951589,24.50372527440389,24.654808191458383,24.80041661262512,24.947735647360485,25.090995824337007,25.235239768028258,25.364321923255922,25.49514906803767,25.61326955954234,25.7634822567304,25.89539376894633,26.00973722934723,26.116991571585338,26.237293378512064,26.35352768500646,26.489829055468242,26.600726993878684,26.85079876581828,27.01206962664922,27.152531226476032,27.257857473691306,27.40094573497772,27.528585914770762,27.655261182785033,27.77456127802531,27.889728860060373,28.049646925926208,28.158292841911315,28.298506486415864,28.42203923066457,28.5240319609642,28.633913473288217,28.746476078033446,28.852611180146535,28.986630634466806,29.259723381201425,29.386927111943564,29.529594008127848,29.67207778294881
cummulative feedback,0.0,398.0,459.0,513.0,545.0,580.0,613.0,660.0,697.0,730.0,756.0,790.0,818.0,838.0,875.0,1188.0,1241.0,1320.0,1364.0,1406.0,1436.0,1469.0,1495.0,1539.0,1652.0,1676.0,1710.0,1730.0,1770.0,1799.0,1825.0,1846.0,1868.0,1887.0,1904.0,1925.0,1955.0,2117.0,2141.0,2175.0,2204.0,2237.0,2268.0,2287.0,2322.0,2343.0,2366.0,2395.0,2415.0,2426.0,2454.0,2478.0,2506.0,2527.0,2548.0,2568.0,2586.0,2606.0,2625.0,2646.0,2678.0,2712.0,2740.0,2767.0,2797.0,2816.0,2846.0,2863.0,2883.0,2896.0,2907.0,2923.0,2946.0,2988.0,3012.0,3037.0,3061.0,3089.0,3124.0,3148.0,3180.0,3209.0,3229.0,3250.0,3271.0,3300.0,3322.0,3339.0,3354.0,3372.0,3389.0,3410.0,3425.0,3453.0,3473.0,3496.0,3513.0,3536.0,3556.0,3575.0,3617.0,3640.0,3654.0,3687.0,3722.0,3749.0,3772.0,3797.0,3819.0,3849.0,3867.0,3888.0,3905.0,3931.0,3946.0,3964.0,3989.0,4008.0,4038.0,4061.0,4080.0,4099.0,4125.0,4149.0,4172.0,4198.0,4226.0,4254.0,4282.0,4306.0,4338.0,4366.0,4384.0,4408.0,4436.0,4457.0,4482.0,4504.0,4528.0,4557.0,4579.0,4597.0,4618.0,4638.0,4658.0,4686.0,4709.0,4729.0,4757.0,4784.0,4804.0,4836.0,4855.0,4885.0,4924.0,4951.0,4972.0,4986.0,5009.0,5032.0,5054.0,5073.0,5089.0,5140.0,5169.0,5190.0,5207.0,5218.0,5233.0,5250.0,5268.0,5285.0,5296.0,5306.0,5332.0,5346.0,5362.0,5377.0,5395.0,5416.0,5439.0,5459.0,5505.0,5518.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
