,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0,951.0,956.0
Accumulated time steps,0.0,350.0,996.0,1364.0,2070.0,2581.0,2932.0,3256.0,3897.0,4197.0,4507.0,4816.0,5109.0,5420.0,5768.0,6069.0,6371.0,6673.0,7071.0,7401.0,7692.0,7975.0,8257.0,8561.0,8923.0,9226.0,9513.0,9812.0,10105.0,10393.0,10685.0,11111.0,11409.0,11720.0,12032.0,12341.0,12639.0,12924.0,13490.0,13769.0,14045.0,14350.0,14641.0,14946.0,15265.0,15622.0,15902.0,16190.0,16560.0,16848.0,17155.0,17443.0,17744.0,18040.0,18322.0,18726.0,19025.0,19327.0,19633.0,19917.0,20210.0,20489.0,20859.0,21147.0,21452.0,21741.0,22036.0,22331.0,22636.0,22930.0,23220.0,23507.0,23799.0,24104.0,24442.0,24776.0,25063.0,25348.0,25647.0,25936.0,26242.0,26523.0,26800.0,27089.0,27417.0,27702.0,28069.0,28341.0,28648.0,28945.0,29392.0,29694.0,29985.0,30258.0,30530.0,30814.0,31107.0,31395.0,31681.0,31979.0,32254.0,32615.0,32901.0,33183.0,33464.0,33753.0,34052.0,34329.0,34596.0,34891.0,35180.0,35475.0,35761.0,36050.0,36340.0,36622.0,37086.0,37428.0,37713.0,38006.0,38290.0,38576.0,38854.0,39144.0,39414.0,39694.0,40041.0,40354.0,40660.0,40965.0,41267.0,41562.0,41856.0,42148.0,42444.0,42729.0,43067.0,43373.0,43673.0,43958.0,44250.0,44542.0,44834.0,45130.0,45448.0,45725.0,46026.0,46335.0,46618.0,46905.0,47179.0,47472.0,47749.0,48045.0,48322.0,48620.0,48897.0,49186.0,49460.0,49806.0,50086.0,50373.0,50667.0,50969.0,51460.0,51742.0,52026.0,52335.0,52642.0,52925.0,53225.0,53529.0,53806.0,54089.0,54384.0,54662.0,54958.0,55250.0,55546.0,55840.0,56129.0,56401.0,56692.0,56978.0,57275.0,57573.0,58254.0,58789.0,59082.0,59402.0,59685.0,59994.0,60278.0
Episode reward,0.0,529.5911682850852,434.1067659799648,154.4262941453031,246.29744638789143,184.95845885686143,196.02328120450548,183.87047306834862,178.29272784667342,145.29031479564335,136.1556808554759,156.8568888223566,119.96730230555036,179.4259342627259,142.664330267381,133.43478776871927,128.89457619956082,157.32600135271667,145.35615030578347,190.086838327793,166.4001956507762,135.4070133977487,123.61114199386964,171.7551490826837,430.03548780194603,171.5178036399195,154.39274199629773,122.93181688788485,141.09560927591247,130.6677106791959,163.4136990808831,140.25426727587364,170.76147063788594,171.92717646588824,116.54712593199345,166.76749168075784,168.59396398584707,122.80947650662851,161.45691678198733,191.73375863927123,167.95983221134563,160.7207995544443,168.09771278160858,189.50503256025627,190.07954675361796,172.03153390411651,129.02417508589627,126.40273583689138,138.7233456964705,135.4127213441278,186.5403850100113,132.43938195938523,172.15218108970714,182.9505271666301,113.10556982892207,164.1543714657716,163.92538758408696,174.35082061179514,164.58831222311022,124.3534107553994,129.96778794249764,187.47232468940172,170.22452976505645,163.19392836216554,181.47505192548905,183.83477632872192,162.75106925762282,127.23384866585212,174.79488811586887,172.4205228281298,163.80558232619916,161.63309955999515,140.13808247069034,166.86305761685983,191.44288058412747,170.5614669944937,143.3299325576405,165.7459992325568,192.321216138695,135.40841778814428,128.96159309252167,145.87336095729958,122.89346899023022,143.38661976841672,341.8083700837461,127.5556535963914,126.98341176893402,170.0689705423182,178.30217395543823,188.69361139760503,126.73185159303715,200.79453270278802,176.4061811277037,136.5821621133888,133.8474671875572,117.39008244468765,156.58457275027712,147.98119290740624,124.06410408855145,157.6080888573803,130.12151584656942,170.0452578426883,123.82592733102439,125.33426413556228,118.55155671939607,156.41883581206187,191.0408915538497,115.15790687286311,114.76997822746354,189.3843886142426,152.56974467668118,165.41604242628452,164.75207337085078,168.76795192768603,142.30221019958196,128.80513933886783,125.90978739525403,191.0847285464516,118.36379719567391,174.95562115524933,143.33303973276395,174.85483645233822,138.6193108514135,175.9073691417976,124.27476116204016,151.24549250479282,128.47179803179495,262.89111703674195,159.8936250647223,195.17624500377298,187.18865089176012,184.7744384804256,176.56002898969078,177.22766470274155,248.1067403134718,131.24924884172617,165.8379142787305,130.36468592732194,148.43697474570575,185.0723446970698,114.90592055751276,191.13278112074426,184.68716049855783,160.58670392724687,147.27843576787916,165.03167516543252,159.5057678933672,181.27864950832964,162.9825841611423,161.72760209900014,121.05540059095857,165.83138522831044,161.5521314636922,126.05226190824935,121.49488723475048,128.62282808486856,158.7165286538973,162.93870521979665,143.09296423523625,131.35117815488726,128.1886849554781,181.15256716973633,176.02342705224234,187.14444172273633,165.0732658740684,176.7945087633151,159.83703778977562,161.40090096134927,165.96356511777472,118.7554958893506,172.5629474178104,164.0464376057379,172.72768247988103,117.25330642975901,170.14148100437288,162.1875399164284,191.1715207163607,175.64969465235166,182.63350699443993,132.27732410491382,127.42120339690983,120.03038263686273,166.43773896909065,123.17186016463718,178.41550713803008,177.52946068517565,163.65607409688585,191.16845043445596,173.7291738930558,192.8588790302785,180.48895340500792,188.66539067406137,126.20051665054763
Episode feedback,0.8,0.7851002842833803,0.7333333295726496,0.6865671539318335,0.7857142776967931,0.4857142787755103,0.4805194742789679,0.5671641706393408,0.6029411676038063,0.703124989013672,0.6034482654577885,0.5862068864447089,0.5740740634430729,0.6249999902343751,0.46666665888888903,0.44642856345663284,0.5090908998347109,0.6034482654577885,0.6034482654577885,0.33846153325443795,0.43333332611111125,0.3928571358418369,0.415094331790673,0.43333332611111125,0.5691056864300351,0.42622950120935243,0.3749999933035716,0.46296295438957497,0.40350876485072346,0.5272727176859506,0.37288134961218056,0.42105262419205924,0.6393442518140287,0.46666665888888903,0.5199999896000003,0.316666661388889,0.360655731792529,0.4423076838017753,0.40677965412237876,0.3437499946289064,0.40983605885514657,0.28070174946137283,0.48275861236623085,0.30158729680020163,0.26562499584960947,0.46666665888888903,0.5272727176859506,0.37037036351166,0.36206895927467314,0.5263157802400741,0.32307691810650896,0.5357142761479594,0.45901638591776417,0.3650793592844546,0.33999999320000013,0.5689655074316292,0.5254237199080726,0.33870967195629564,0.47457626314277523,0.40384614607988184,0.3999999927272729,0.26984126555807514,0.45901638591776417,0.40350876485072346,0.43333332611111125,0.3709677359521333,0.43103447532699185,0.43396225596297633,0.34426228943832315,0.316666661388889,0.34482758026159344,0.32142856568877565,0.3965517173008325,0.3275862012485138,0.384615378698225,0.3050847405917841,0.5892857037627554,0.34482758026159344,0.49230768473372793,0.42857142091836753,0.37037036351166,0.28070174946137283,0.3137254840445984,0.43859648353339503,0.44827585691636945,0.34545453917355384,0.25925925445816195,0.36206895927467314,0.34426228943832315,0.44444443738977085,0.43396225596297633,0.5303030222681361,0.5245901553345876,0.32142856568877565,0.33928570822704096,0.39215685505574793,0.2727272677685951,0.17857142538265314,0.415094331790673,0.285714280612245,0.35849055927376305,0.3499999941666668,0.29629629080932796,0.25925925445816195,0.37254901230296056,0.42857142091836753,0.3749999941406251,0.3137254840445984,0.37999999240000015,0.3174603124212649,0.2678571380739797,0.2758620642092748,0.2586206851961951,0.20338982706118938,0.3275862012485138,0.35849055927376305,0.4905660284798863,0.41935483194588985,0.40384614607988184,0.5079364998740238,0.43333332611111125,0.20338982706118938,0.21052631209602962,0.29508196237570555,0.24528301423994314,0.32727272132231416,0.415094331790673,0.4399999941333334,0.26315789012003704,0.2968749953613282,0.4062499936523439,0.32258063995837677,0.3333333277777779,0.16393442354205864,0.5249999934375001,0.2363636320661158,0.44067795863257697,0.48148147256515794,0.31034482223543414,0.33870967195629564,0.16326530279050402,0.2343749963378907,0.2419354799687826,0.3571428507653063,0.21818181421487612,0.20338982706118938,0.3157894681440444,0.2968749953613282,0.2982456088027086,0.2982456088027086,0.39215685505574793,0.11666666472222226,0.1929824527546938,0.33962263510145974,0.19607842752787397,0.31481480898491093,0.2678571380739797,0.19999999666666674,0.21052631209602962,0.3859649055093876,0.33333332716049396,0.20634920307382218,0.14999999750000004,0.31249999511718757,0.15517241111771707,0.3333333277777779,0.34482758026159344,0.30645160796045795,0.35087718682671604,0.3653846083579883,0.16666666388888896,0.28813558833668496,0.2622950776672938,0.29999999400000016,0.2666666622222223,0.30357142315051033,0.32812499487304697,0.19999999666666674,0.24590163531308795,0.19999999636363644,0.2075471658953365,0.1764705847750866,0.17241379013079672,0.13461538202662726,0.21311475060467622,0.1803278658962645,0.35087718682671604,0.403225799947971,0.3559321973570814,0.21874999658203131,0.360655731792529,0.34920634366339137,0.34615383949704154
total seconds,0.0,13.713024377822876,38.00669455528259,53.53864598274231,80.74072098731995,99.90215229988098,112.97195601463318,123.57663941383362,149.55254673957825,161.19153690338135,171.89993929862976,181.78282070159912,190.32181119918823,199.7299485206604,211.69428992271423,220.36425948143005,229.12962245941162,238.96557807922363,252.91963696479797,263.98968172073364,273.49045729637146,282.0343379974365,289.6937303543091,300.2518985271454,310.79421496391296,320.5595407485962,329.0594344139099,336.9643700122833,344.5791115760803,351.7475640773773,359.80980491638184,373.3987286090851,383.92706990242004,394.0873694419861,403.69682002067566,411.43434166908264,419.4392304420471,427.9302167892456,445.3660535812378,452.23874521255493,459.96099400520325,469.1188917160034,477.00731658935547,484.60262537002563,494.03745102882385,506.02610325813293,513.6296169757843,522.3952152729034,532.4577558040619,541.392557144165,549.7188153266907,558.0499489307404,565.957644701004,573.016382932663,579.7626578807831,591.4773526191711,601.256541967392,609.4264636039734,617.8240613937378,626.1685979366302,633.6204917430878,642.6530025005341,654.618890285492,664.3524570465088,671.8923075199127,679.6411678791046,687.2694368362427,695.8051316738129,703.5212600231171,711.0195877552032,717.7599604129791,724.9661526679993,732.2873330116272,739.3447046279907,748.3156261444092,758.3912250995636,765.955953836441,772.5949532985687,780.3372502326965,787.6698024272919,795.4614021778107,801.6861374378204,808.5130956172943,815.615339756012,826.4330208301544,834.3013114929199,844.4981191158295,851.5457801818848,859.7132296562195,867.1197278499603,880.2286107540131,889.5453104972839,898.2069063186646,905.7284624576569,912.4962129592896,919.997330904007,927.0096142292023,933.5214126110077,940.7208230495453,947.7185201644897,954.7230250835419,965.9870200157166,973.069614648819,980.0277886390686,987.7948603630066,995.0480723381042,1003.051276922226,1010.3334686756134,1016.8121101856232,1023.5041518211365,1029.2338383197784,1035.1519212722778,1041.8843626976013,1048.5478568077087,1055.6020653247833,1062.3245193958282,1073.9782409667969,1083.0697014331818,1091.3012845516205,1100.4477844238281,1108.3820548057556,1114.687813282013,1121.2762081623077,1126.847323179245,1132.931238412857,1139.3534395694733,1147.7906684875488,1157.1989352703094,1165.6745142936707,1172.5506222248077,1180.243503332138,1187.178942680359,1194.0298192501068,1200.2781767845154,1207.4770884513855,1214.5775575637817,1223.598299741745,1231.7168154716492,1239.3429305553436,1246.8834030628204,1253.3417966365814,1261.916965007782,1269.10520029068,1275.6347970962524,1284.0303723812103,1291.0335562229156,1297.3512024879456,1304.5128872394562,1312.0480723381042,1318.3381657600403,1323.975426197052,1330.8826370239258,1337.0443749427795,1343.829865694046,1349.0510914325714,1354.7639744281769,1360.5063457489014,1366.2348408699036,1372.6612486839294,1380.769172668457,1387.4655022621155,1394.3482615947723,1401.2300760746002,1409.2590556144714,1421.6234111785889,1428.0602989196777,1434.385823249817,1441.848120212555,1449.0067212581635,1455.207346200943,1462.4396080970764,1469.4762761592865,1475.6915726661682,1481.2056000232697,1486.3074123859406,1492.602599143982,1498.5446255207062,1507.140566110611,1513.6755847930908,1520.4262611865997,1526.6107385158539,1532.9438705444336,1537.8492832183838,1543.9871864318848,1550.0094001293182,1556.211672782898,1570.565661907196,1585.1237466335297,1593.0967421531677,1600.3505194187164,1606.642451763153,1614.4779381752014,1621.3732872009277
total minutes,0.0,0.22855040629704793,0.6334449092547099,0.8923107663790385,1.3456786831219991,1.665035871664683,1.8828659335772195,2.059610656897227,2.4925424456596375,2.6865256150563557,2.864998988310496,3.029713678359985,3.1720301866531373,3.32883247534434,3.5282381653785704,3.6727376580238342,3.8188270409901937,3.982759634653727,4.215327282746633,4.399828028678894,4.558174288272857,4.700572299957275,4.828228839238485,5.004198308785757,5.179903582731883,5.342659012476603,5.484323906898498,5.616072833538055,5.742985192934672,5.862459401289622,5.996830081939697,6.223312143484751,6.398784498373668,6.568122824033101,6.728280333677928,6.857239027818044,6.990653840700785,7.13217027982076,7.422767559687297,7.537312420209249,7.666016566753387,7.818648195266723,7.950121943155924,8.076710422833761,8.233957517147065,8.43376838763555,8.560493616263072,8.706586921215058,8.874295930067698,9.023209285736083,9.161980255444844,9.300832482179006,9.4326274116834,9.550273048877717,9.662710964679718,9.857955876986185,10.020942366123199,10.15710772673289,10.29706768989563,10.436143298943838,10.560341529051463,10.710883375008901,10.910314838091532,11.072540950775146,11.198205125331878,11.327352797985077,11.454490613937377,11.596752194563548,11.725354333718618,11.85032646258672,11.962666006882985,12.082769211133321,12.20478888352712,12.322411743799845,12.47192710240682,12.639853751659393,12.765932563940684,12.876582554976146,13.005620837211609,13.127830040454864,13.257690036296845,13.361435623963674,13.475218260288239,13.593588995933533,13.773883680502573,13.905021858215331,14.074968651930492,14.192429669698079,14.328553827603658,14.451995464166005,14.670476845900218,14.825755174954732,14.970115105311075,15.09547437429428,15.20827021598816,15.333288848400116,15.450160237153371,15.558690210183462,15.678680384159088,15.795308669408163,15.912050418059032,16.09978366692861,16.21782691081365,16.33379647731781,16.463247672716776,16.584134538968403,16.7175212820371,16.838891144593557,16.946868503093718,17.058402530352275,17.15389730532964,17.25253202120463,17.364739378293354,17.47579761346181,17.593367755413055,17.705408656597136,17.899637349446614,18.05116169055303,18.188354742527007,18.340796407063802,18.473034246762595,18.578130221366884,18.687936802705128,18.780788719654083,18.88218730688095,18.989223992824556,19.12984447479248,19.286648921171825,19.42790857156118,19.542510370413464,19.670725055535634,19.786315711339316,19.90049698750178,20.004636279741923,20.124618140856423,20.242959292729697,20.39330499569575,20.52861359119415,20.655715509255728,20.78139005104701,20.889029943943022,21.031949416796365,21.151753338178,21.260579951604207,21.400506206353505,21.517225937048593,21.62252004146576,21.741881453990935,21.867467872301738,21.972302762667336,22.0662571032842,22.181377283732097,22.284072915712994,22.3971644282341,22.484184857209524,22.57939957380295,22.67510576248169,22.77058068116506,22.87768747806549,23.012819544474283,23.124425037701926,23.239137693246207,23.35383460124334,23.487650926907857,23.693723519643147,23.80100498199463,23.906430387496947,24.030802003542583,24.15011202096939,24.253455770015716,24.373993468284606,24.49127126932144,24.594859544436137,24.686760000387828,24.771790206432343,24.876709985733033,24.975743758678437,25.11900943517685,25.22792641321818,25.34043768644333,25.443512308597565,25.549064509073894,25.630821386973064,25.733119773864747,25.833490002155305,25.9368612130483,26.176094365119933,26.41872911055883,26.551612369219463,26.672508656978607,26.777374196052552,26.90796563625336,27.022888120015462
cummulative feedback,0.0,274.0,417.0,463.0,540.0,574.0,611.0,649.0,690.0,735.0,770.0,804.0,835.0,875.0,903.0,928.0,956.0,991.0,1026.0,1048.0,1074.0,1096.0,1118.0,1144.0,1214.0,1240.0,1261.0,1286.0,1309.0,1338.0,1360.0,1384.0,1423.0,1451.0,1477.0,1496.0,1518.0,1541.0,1565.0,1587.0,1612.0,1628.0,1656.0,1675.0,1692.0,1720.0,1749.0,1769.0,1790.0,1820.0,1841.0,1871.0,1899.0,1922.0,1939.0,1972.0,2003.0,2024.0,2052.0,2073.0,2095.0,2112.0,2140.0,2163.0,2189.0,2212.0,2237.0,2260.0,2281.0,2300.0,2320.0,2338.0,2361.0,2380.0,2405.0,2423.0,2456.0,2476.0,2508.0,2532.0,2552.0,2568.0,2584.0,2609.0,2648.0,2667.0,2681.0,2702.0,2723.0,2751.0,2774.0,2809.0,2841.0,2859.0,2878.0,2898.0,2913.0,2923.0,2945.0,2961.0,2980.0,3001.0,3017.0,3031.0,3050.0,3074.0,3098.0,3114.0,3133.0,3153.0,3168.0,3184.0,3199.0,3211.0,3230.0,3249.0,3275.0,3301.0,3322.0,3354.0,3380.0,3392.0,3404.0,3422.0,3435.0,3453.0,3475.0,3508.0,3523.0,3542.0,3568.0,3588.0,3608.0,3618.0,3660.0,3673.0,3699.0,3725.0,3743.0,3764.0,3772.0,3787.0,3802.0,3822.0,3834.0,3846.0,3864.0,3883.0,3900.0,3917.0,3937.0,3944.0,3955.0,3973.0,3983.0,4000.0,4015.0,4027.0,4039.0,4061.0,4079.0,4092.0,4101.0,4121.0,4130.0,4150.0,4170.0,4189.0,4209.0,4228.0,4238.0,4255.0,4271.0,4286.0,4302.0,4319.0,4340.0,4352.0,4367.0,4378.0,4389.0,4398.0,4408.0,4415.0,4428.0,4439.0,4459.0,4484.0,4505.0,4519.0,4541.0,4563.0,4581.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
