Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,500,False,1e-07
1,501,0,0,0.903999998192,0.1,500,False,1e-07
6,3001,0,1786,0.907999998184,0.1,500,False,1e-07
11,5501,0,3533,0.905999998188,0.1,500,False,1e-07
16,8001,0,5326,0.87999999824,0.1,500,False,1e-07
21,10501,0,7123,0.905999998188,0.1,500,False,1e-07
26,13001,0,8824,0.9139999981720001,0.1,500,False,1e-07
31,14466,0,9950,0.8542713524910988,0.1,500,False,1e-07
36,15242,0,10464,0.7784810077311328,0.1,500,False,1e-07
41,15989,1,10929,0.6583333278472223,0.1,500,False,1e-07
46,16585,0,11265,0.7142857082833134,0.1,500,False,1e-07
51,17149,1,11590,0.6542056013625644,0.1,500,False,1e-07
56,17696,1,11876,0.6972477000252505,0.1,500,False,1e-07
61,18247,0,12151,0.6725663657295012,0.1,500,False,1e-07
66,18797,1,12417,0.6517857084661991,0.1,500,False,1e-07
71,19331,1,12680,0.6296296237997258,0.1,500,False,1e-07
76,19861,1,12931,0.7075471631363476,0.1,500,False,1e-07
81,20384,1,13211,0.5588235239331028,0.1,500,False,1e-07
86,20925,1,13479,0.6697247644979379,0.1,500,False,1e-07
91,21463,1,13749,0.6226415035599858,0.1,500,False,1e-07
96,21985,1,13997,0.6132075413848346,0.1,500,False,1e-07
101,22518,0,14262,0.6388888829732511,0.1,500,False,1e-07
106,23048,1,14526,0.5504587105462504,0.1,500,False,1e-07
111,23590,1,14758,0.5688073342311254,0.1,500,False,1e-07
116,24142,1,15010,0.5909090855371901,0.1,500,False,1e-07
121,24669,0,15250,0.7102803671936414,0.1,500,False,1e-07
126,25201,0,15502,0.660377352260591,0.1,500,False,1e-07
131,25717,1,15733,0.6078431312956556,0.1,500,False,1e-07
136,26250,0,15962,0.485436888490904,0.1,500,False,1e-07
141,26776,1,16195,0.5428571376870749,0.1,500,False,1e-07
146,27307,1,16425,0.48571428108843545,0.1,500,False,1e-07
151,27841,0,16670,0.5740740687585735,0.1,500,False,1e-07
156,28379,0,16919,0.471698108757565,0.1,500,False,1e-07
161,28893,1,17149,0.5799999942,0.1,500,False,1e-07
166,29415,0,17389,0.5142857093877552,0.1,500,False,1e-07
