Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,500,False,1e-07
1,501,0,0,0.903999998192,0.1,500,False,1e-07
6,2183,1,833,0.8260869385633275,0.1,500,False,1e-07
11,3395,0,1447,0.8235293996539794,0.1,500,False,1e-07
16,4219,1,1708,0.48999999902,0.1,500,False,1e-07
21,6719,0,2464,0.477999999044,0.1,500,False,1e-07
26,7491,0,2882,0.8723404162516977,0.1,500,False,1e-07
31,9114,1,3547,0.377999999244,0.1,500,False,1e-07
36,10437,1,4180,0.7959183511037071,0.1,500,False,1e-07
41,11696,0,4763,0.70886075052075,0.1,500,False,1e-07
46,12505,0,5083,0.841269827916352,0.1,500,False,1e-07
51,13794,1,5503,0.5199999930666668,0.1,500,False,1e-07
56,15858,0,6000,0.305999999388,0.1,500,False,1e-07
61,16363,0,6359,0.6315789307479229,0.1,500,False,1e-07
66,17571,1,6799,0.8799999824000004,0.1,500,False,1e-07
71,18460,1,7063,0.6914893543458579,0.1,500,False,1e-07
76,19244,0,7297,0.167999999664,0.1,500,False,1e-07
81,20940,0,7877,0.41999999916,0.1,500,False,1e-07
86,22085,1,8307,0.7037036906721539,0.1,500,False,1e-07
91,23307,1,8651,0.691358016156074,0.1,500,False,1e-07
96,24111,0,8941,0.6607142739158166,0.1,500,False,1e-07
101,24877,0,9221,0.6428571275510208,0.1,500,False,1e-07
106,25277,0,9462,0.6231883967653856,0.1,500,False,1e-07
111,26155,1,9779,0.8833333186111114,0.1,500,False,1e-07
116,26586,0,10004,0.6210526250415513,0.1,500,False,1e-07
121,27855,0,10319,0.373999999252,0.1,500,False,1e-07
126,28731,1,10629,0.6521739073724008,0.1,500,False,1e-07
131,30048,1,11139,0.8799999824000004,0.1,500,False,1e-07
136,30861,0,11428,0.6354166600477431,0.1,500,False,1e-07
141,31659,1,11721,0.56410255687048,0.1,500,False,1e-07
146,32459,0,12045,0.7999999822222227,0.1,500,False,1e-07
151,32759,1,12240,0.769230749506904,0.1,500,False,1e-07
156,34010,0,12590,0.5263157802400741,0.1,500,False,1e-07
161,35655,1,13203,0.8539325746749149,0.1,500,False,1e-07
166,36386,1,13546,0.8571428396501461,0.1,500,False,1e-07
