Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,500,False,1e-07
1,451,0,0,0.8888888869135803,0.1,500,False,1e-07
6,1130,0,462,0.8058252348949007,0.1,500,False,1e-07
11,1498,0,690,0.8222222130864199,0.1,500,False,1e-07
16,2697,0,1181,0.46999999906,0.1,500,False,1e-07
21,4014,0,2069,0.8195488660184296,0.1,500,False,1e-07
26,5684,0,2766,0.765999998468,0.1,500,False,1e-07
31,7034,1,3392,0.515999998968,0.1,500,False,1e-07
36,7366,0,3640,0.863636344008265,0.1,500,False,1e-07
41,9162,1,4698,0.8986486425766984,0.1,500,False,1e-07
46,10360,0,5277,0.51999999896,0.1,500,False,1e-07
51,11559,0,6178,0.8928571269132657,0.1,500,False,1e-07
56,12792,0,6762,0.587999998824,0.1,500,False,1e-07
61,13359,0,7193,0.8461538298816571,0.1,500,False,1e-07
66,14123,0,7765,0.9012345567748821,0.1,500,False,1e-07
71,15342,0,8600,0.9189189065010959,0.1,500,False,1e-07
76,16597,0,9453,0.7941176353806231,0.1,500,False,1e-07
81,17436,0,10103,0.9137930876932226,0.1,500,False,1e-07
86,18437,0,10865,0.8571428396501461,0.1,500,False,1e-07
91,18746,0,11081,0.7192982329947679,0.1,500,False,1e-07
96,19493,0,11601,0.8205128099934256,0.1,500,False,1e-07
101,20458,0,12213,0.8461538331360949,0.1,500,False,1e-07
106,21249,0,12648,0.8656716288705727,0.1,500,False,1e-07
111,22020,1,13167,0.8068181726497935,0.1,500,False,1e-07
116,22922,0,13786,0.8545454467768596,0.1,500,False,1e-07
121,24178,0,14513,0.8518518360768179,0.1,500,False,1e-07
126,25057,0,14837,0.561999998876,0.1,500,False,1e-07
131,25599,0,15214,0.8299999917,0.1,500,False,1e-07
136,26368,1,15660,0.8507462559590111,0.1,500,False,1e-07
141,26705,0,15873,0.8969072072483794,0.1,500,False,1e-07
146,27703,0,16586,0.8762886507599108,0.1,500,False,1e-07
151,28435,0,16784,0.797999998404,0.1,500,False,1e-07
156,28830,0,17049,0.8354430273994554,0.1,500,False,1e-07
161,29654,0,17500,0.8035714213966838,0.1,500,False,1e-07
166,30072,0,17815,0.8909090747107441,0.1,500,False,1e-07
171,31414,0,18577,0.8461538396449705,0.1,500,False,1e-07
176,32677,0,19189,0.56999999886,0.1,500,False,1e-07
181,33474,0,19791,0.7936507810531622,0.1,500,False,1e-07
186,35171,0,20510,0.471999999056,0.1,500,False,1e-07
191,35950,0,21111,0.7435897245233405,0.1,500,False,1e-07
196,36728,0,21559,0.781818167603306,0.1,500,False,1e-07
201,37919,0,22481,0.8703703542524008,0.1,500,False,1e-07
206,39179,0,23314,0.8421052483841185,0.1,500,False,1e-07
211,40408,0,23893,0.825999998348,0.1,500,False,1e-07
216,41245,0,24406,0.8688524518946521,0.1,500,False,1e-07
221,42889,0,25285,0.791999998416,0.1,500,False,1e-07
226,43678,0,25529,0.6359999987280001,0.1,500,False,1e-07
231,44595,0,26220,0.9078947248961221,0.1,500,False,1e-07
236,45481,0,26558,0.765999998468,0.1,500,False,1e-07
241,45842,0,26775,0.8191489274558625,0.1,500,False,1e-07
246,46581,0,27178,0.8636363505509644,0.1,500,False,1e-07
251,48234,1,27908,0.531999998936,0.1,500,False,1e-07
256,48724,0,28271,0.8591549174766914,0.1,500,False,1e-07
261,49999,0,28896,0.805999998388,0.1,500,False,1e-07
266,51233,0,29395,0.775999998448,0.1,500,False,1e-07
271,51952,0,29927,0.8627450811226455,0.1,500,False,1e-07
276,52245,0,30115,0.8799999882666668,0.1,500,False,1e-07
281,52720,0,30395,0.8645161234547347,0.1,500,False,1e-07
286,53232,0,30723,0.8264462741616011,0.1,500,False,1e-07
291,54046,0,30981,0.583999998832,0.1,500,False,1e-07
296,55530,0,31730,0.8668639027607576,0.1,500,False,1e-07
301,56410,0,32336,0.8235294036908882,0.1,500,False,1e-07
306,56863,0,32636,0.8269230689718936,0.1,500,False,1e-07
311,57656,0,33205,0.8070175297014469,0.1,500,False,1e-07
316,58704,0,33985,0.8928571322278913,0.1,500,False,1e-07
321,59663,0,34742,0.8979591653477722,0.1,500,False,1e-07
326,60212,0,35065,0.7975460073770184,0.1,500,False,1e-07
331,60992,0,35308,0.587999998824,0.1,500,False,1e-07
336,61798,0,35877,0.8648648570732896,0.1,500,False,1e-07
341,63010,0,36810,0.865168529604848,0.1,500,False,1e-07
346,63832,0,37399,0.8461538368554523,0.1,500,False,1e-07
351,64661,0,37985,0.8484848356290177,0.1,500,False,1e-07
356,66035,0,38862,0.8793103372473247,0.1,500,False,1e-07
361,66600,0,39288,0.8085106210955187,0.1,500,False,1e-07
366,67780,0,40106,0.8249999793750006,0.1,500,False,1e-07
371,68792,0,40519,0.595999998808,0.1,500,False,1e-07
376,69614,1,40783,0.677999998644,0.1,500,False,1e-07
381,70682,0,41567,0.8490565877536493,0.1,500,False,1e-07
386,71518,0,42117,0.8793103296670634,0.1,500,False,1e-07
391,73179,0,42989,0.833999998332,0.1,500,False,1e-07
396,74029,0,43298,0.807999998384,0.1,500,False,1e-07
401,75249,0,44263,0.8437499868164064,0.1,500,False,1e-07
406,75688,0,44549,0.827586199762188,0.1,500,False,1e-07
411,76611,0,45108,0.836734685339442,0.1,500,False,1e-07
416,77000,0,45376,0.8405796979626131,0.1,500,False,1e-07
421,77890,0,46027,0.836734685339442,0.1,500,False,1e-07
426,79247,0,46895,0.8723404193451034,0.1,500,False,1e-07
431,80245,0,47529,0.8384615320118344,0.1,500,False,1e-07
436,80597,0,47766,0.8571428435374152,0.1,500,False,1e-07
441,81828,0,48312,0.70999999858,0.1,500,False,1e-07
446,83102,0,49221,0.8245613890427826,0.1,500,False,1e-07
451,84000,0,49883,0.8461538368554523,0.1,500,False,1e-07
456,84549,0,50195,0.8663101557951328,0.1,500,False,1e-07
461,85390,1,50476,0.711999998576,0.1,500,False,1e-07
466,85736,1,50730,0.8666666474074078,0.1,500,False,1e-07
471,86091,0,50988,0.9193548238813738,0.1,500,False,1e-07
476,86890,0,51561,0.8999999775000006,0.1,500,False,1e-07
481,88151,0,52333,0.8749999931640625,0.1,500,False,1e-07
486,89038,0,52908,0.8382352879541524,0.1,500,False,1e-07
491,90276,0,53753,0.8032786753560873,0.1,500,False,1e-07
496,91635,0,54444,0.841999998316,0.1,500,False,1e-07
501,92442,0,54989,0.7454545319008268,0.1,500,False,1e-07
506,92909,0,55354,0.7608695486767489,0.1,500,False,1e-07
511,93739,0,55911,0.8852458871271166,0.1,500,False,1e-07
516,94209,0,56245,0.9571428434693879,0.1,500,False,1e-07
521,94943,0,56763,0.8723404069714807,0.1,500,False,1e-07
526,95693,0,57338,0.91428570122449,0.1,500,False,1e-07
531,96013,0,57589,0.7368420858725767,0.1,500,False,1e-07
536,97248,0,58372,0.8749999863281253,0.1,500,False,1e-07
541,98032,0,58957,0.8409090813533059,0.1,500,False,1e-07
546,99674,0,59711,0.715999998568,0.1,500,False,1e-07
551,100049,1,59980,0.8813559172651539,0.1,500,False,1e-07
556,101944,0,60900,0.81999999836,0.1,500,False,1e-07
561,102815,0,61468,0.8652482208138425,0.1,500,False,1e-07
566,103348,0,61808,0.8412698345930966,0.1,500,False,1e-07
571,104138,0,62240,0.8620689556084028,0.1,500,False,1e-07
576,104528,1,62530,0.9122806857494616,0.1,500,False,1e-07
581,105734,0,63374,0.830188663581346,0.1,500,False,1e-07
586,106530,1,63614,0.71999999856,0.1,500,False,1e-07
591,107306,0,64201,0.8039215528642834,0.1,500,False,1e-07
596,108106,0,64660,0.8695652098298677,0.1,500,False,1e-07
601,108842,0,65116,0.7884615232988169,0.1,500,False,1e-07
606,110042,0,65561,0.8179999983640001,0.1,500,False,1e-07
611,110819,0,66047,0.837837826515705,0.1,500,False,1e-07
616,111700,0,66491,0.8516128977315297,0.1,500,False,1e-07
621,112608,0,67120,0.8072289059370011,0.1,500,False,1e-07
626,113777,0,67626,0.803999998392,0.1,500,False,1e-07
631,114597,0,68224,0.8688524447729108,0.1,500,False,1e-07
636,115510,0,68748,0.8169013969450508,0.1,500,False,1e-07
641,116759,0,69606,0.8198198124340558,0.1,500,False,1e-07
646,117080,0,69843,0.882352923875433,0.1,500,False,1e-07
651,118314,0,70539,0.9230769088757399,0.1,500,False,1e-07
656,118662,0,70776,0.8627450811226455,0.1,500,False,1e-07
661,120312,0,71697,0.745999998508,0.1,500,False,1e-07
666,121254,1,72072,0.807999998384,0.1,500,False,1e-07
671,121727,0,72409,0.8421052483841185,0.1,500,False,1e-07
676,122964,0,73145,0.8659793725156766,0.1,500,False,1e-07
681,124238,1,73963,0.8113207470630118,0.1,500,False,1e-07
686,125481,0,74473,0.767999998464,0.1,500,False,1e-07
691,126281,0,74950,0.9154929448522121,0.1,500,False,1e-07
696,127541,0,75370,0.525999998948,0.1,500,False,1e-07
701,127899,0,75626,0.8461538331360949,0.1,500,False,1e-07
706,128264,0,75862,0.8701298588294823,0.1,500,False,1e-07
711,128746,0,76202,0.7777777681755831,0.1,500,False,1e-07
716,129672,1,76819,0.8870967670395422,0.1,500,False,1e-07
721,130976,0,77550,0.791666658420139,0.1,500,False,1e-07
726,131421,0,77864,0.9056603602705593,0.1,500,False,1e-07
731,132191,0,78307,0.8135593082447575,0.1,500,False,1e-07
736,132937,0,78878,0.906249985839844,0.1,500,False,1e-07
741,133430,0,79267,0.8297872163875061,0.1,500,False,1e-07
746,134629,0,79717,0.711999998576,0.1,500,False,1e-07
751,135084,0,80010,0.8510638207333636,0.1,500,False,1e-07
756,136410,0,80843,0.869822480060222,0.1,500,False,1e-07
761,138035,0,81728,0.763999998472,0.1,500,False,1e-07
766,138446,0,82026,0.7586206765755056,0.1,500,False,1e-07
771,140504,0,83167,0.815999998368,0.1,500,False,1e-07
776,141328,1,83778,0.9139784847959302,0.1,500,False,1e-07
781,142117,0,84330,0.8941176365397926,0.1,500,False,1e-07
786,143338,0,84850,0.543999998912,0.1,500,False,1e-07
791,144217,0,85172,0.373999999252,0.1,500,False,1e-07
796,144988,0,85561,0.8591549174766914,0.1,500,False,1e-07
801,145714,0,86064,0.8194444387538581,0.1,500,False,1e-07
806,147002,0,86718,0.861999998276,0.1,500,False,1e-07
811,147417,0,86998,0.8571428448979594,0.1,500,False,1e-07
816,147944,0,87383,0.8656716288705727,0.1,500,False,1e-07
821,149569,0,88226,0.8593749865722659,0.1,500,False,1e-07
826,150414,0,88529,0.711999998576,0.1,500,False,1e-07
831,151224,0,88990,0.8653846070636095,0.1,500,False,1e-07
836,152191,1,89373,0.531999998936,0.1,500,False,1e-07
841,153430,0,90322,0.7528089803055171,0.1,500,False,1e-07
846,154646,0,91170,0.8505747028669575,0.1,500,False,1e-07
851,155872,0,91951,0.8533333219555558,0.1,500,False,1e-07
856,157015,0,92769,0.8399999888000002,0.1,500,False,1e-07
861,157453,0,93080,0.7924528152367394,0.1,500,False,1e-07
866,158365,0,93718,0.8354430273994554,0.1,500,False,1e-07
871,158849,0,93960,0.8789473637950139,0.1,500,False,1e-07
876,159657,0,94559,0.9803921376393699,0.1,500,False,1e-07
881,161764,0,95757,0.835999998328,0.1,500,False,1e-07
886,162140,0,95985,0.7575757499234773,0.1,500,False,1e-07
891,162952,0,96549,0.831168820374431,0.1,500,False,1e-07
896,163764,1,97175,0.8461538298816571,0.1,500,False,1e-07
901,164117,0,97431,0.799999987692308,0.1,500,False,1e-07
906,165405,0,98059,0.83999999832,0.1,500,False,1e-07
911,166233,0,98542,0.791666658420139,0.1,500,False,1e-07
916,167092,0,98847,0.62999999874,0.1,500,False,1e-07
921,168272,0,99387,0.487999999024,0.1,500,False,1e-07
926,169123,0,99995,0.849462356457394,0.1,500,False,1e-07
931,169537,1,100268,0.87368420132964,0.1,500,False,1e-07
936,170366,0,100843,0.7850467216350774,0.1,500,False,1e-07
941,171170,0,101246,0.8734177104630669,0.1,500,False,1e-07
946,172049,0,101566,0.701999998596,0.1,500,False,1e-07
951,173345,0,102489,0.830985903788931,0.1,500,False,1e-07
956,174611,0,103012,0.793999998412,0.1,500,False,1e-07
961,175394,0,103468,0.9090908953168046,0.1,500,False,1e-07
966,176763,0,104355,0.7599999924,0.1,500,False,1e-07
971,177710,0,104919,0.8962264066393736,0.1,500,False,1e-07
976,178127,0,105189,0.7843137178008459,0.1,500,False,1e-07
981,179399,0,105734,0.711999998576,0.1,500,False,1e-07
986,179766,0,106007,0.9285714064625856,0.1,500,False,1e-07
991,180579,0,106274,0.793999998412,0.1,500,False,1e-07
996,180873,0,106480,0.8199999836000004,0.1,500,False,1e-07
1001,181354,0,106764,0.8029197021684693,0.1,500,False,1e-07
1006,182377,0,107581,0.9148935975554554,0.1,500,False,1e-07
1011,184461,0,108714,0.621999998756,0.1,500,False,1e-07
1016,184834,0,108892,0.8481012604550553,0.1,500,False,1e-07
1021,186173,0,109883,0.8803418728175908,0.1,500,False,1e-07
1026,187457,0,110722,0.7799999844000004,0.1,500,False,1e-07
1031,188196,0,111292,0.8493150568586979,0.1,500,False,1e-07
1036,189679,0,112089,0.401999999196,0.1,500,False,1e-07
1041,190914,0,112956,0.9444444269547329,0.1,500,False,1e-07
1046,192897,0,114005,0.593999998812,0.1,500,False,1e-07
1051,194121,0,114565,0.813999998372,0.1,500,False,1e-07
1056,195405,0,115195,0.743999998512,0.1,500,False,1e-07
1061,196578,0,116020,0.7735848910644361,0.1,500,False,1e-07
1066,197347,0,116520,0.8615384482840239,0.1,500,False,1e-07
1071,198328,0,117093,0.8275861973840667,0.1,500,False,1e-07
1076,199550,0,117708,0.7882352848442908,0.1,500,False,1e-07
1081,201249,0,118937,0.8139534789075177,0.1,500,False,1e-07
1086,202034,0,119445,0.7666666538888891,0.1,500,False,1e-07
1091,203110,0,120273,0.8461538298816571,0.1,500,False,1e-07
1096,204699,0,121441,0.9199999816000004,0.1,500,False,1e-07
1101,205497,0,122046,0.7820512720249837,0.1,500,False,1e-07
1106,206329,0,122633,0.8828828749289831,0.1,500,False,1e-07
1111,207249,0,123283,0.8782608619281664,0.1,500,False,1e-07
1116,208418,0,123798,0.513999998972,0.1,500,False,1e-07
1121,208887,0,124135,0.8799999882666668,0.1,500,False,1e-07
1126,209330,0,124434,0.7752808901653833,0.1,500,False,1e-07
1131,210570,0,125040,0.7232142792570154,0.1,500,False,1e-07
1136,211387,0,125478,0.8606557306503628,0.1,500,False,1e-07
