Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.1,500,False,3e-06
1,501,0,0,0.633999998732,0.1,500,False,3e-06
6,2124,0,600,0.697999998604,0.1,500,False,3e-06
11,3741,1,1146,0.7741935359001043,0.1,500,False,3e-06
16,6176,0,2121,0.421999999156,0.1,500,False,3e-06
21,7361,1,2569,0.5274725216761261,0.1,500,False,3e-06
26,8608,0,2967,0.62068964803805,0.1,500,False,3e-06
31,9846,0,3307,0.28999999942,0.1,500,False,3e-06
36,10223,0,3451,0.49514562626072206,0.1,500,False,3e-06
41,10973,1,3740,0.5227272608471077,0.1,500,False,3e-06
46,11781,1,3878,0.385999999228,0.1,500,False,3e-06
51,12090,0,4020,0.5348837084910766,0.1,500,False,3e-06
56,12861,1,4169,0.413999999172,0.1,500,False,3e-06
61,13633,1,4434,0.5319148822996834,0.1,500,False,3e-06
66,14097,1,4639,0.5999999947826088,0.1,500,False,3e-06
71,14785,1,4753,0.237999999524,0.1,500,False,3e-06
76,15965,1,4951,0.283999999432,0.1,500,False,3e-06
81,17567,0,5397,0.47999999040000024,0.1,500,False,3e-06
86,17797,0,5506,0.5599999888000002,0.1,500,False,3e-06
91,19399,0,5774,0.297999999404,0.1,500,False,3e-06
96,20597,0,5995,0.367999999264,0.1,500,False,3e-06
101,21329,0,6188,0.3617021199637847,0.1,500,False,3e-06
106,22120,1,6446,0.4651162682531101,0.1,500,False,3e-06
111,23621,1,6881,0.315999999368,0.1,500,False,3e-06
116,24419,1,7153,0.5416666553819447,0.1,500,False,3e-06
121,25222,0,7310,0.395999999208,0.1,500,False,3e-06
126,26031,0,7584,0.5319148879583523,0.1,500,False,3e-06
131,26880,1,7856,0.4594594553201851,0.1,500,False,3e-06
136,27597,0,8116,0.6521738988657848,0.1,500,False,3e-06
141,28504,1,8293,0.21999999956,0.1,500,False,3e-06
146,29023,1,8486,0.45528454914402805,0.1,500,False,3e-06
151,29373,1,8654,0.6170212634676328,0.1,500,False,3e-06
156,29681,1,8792,0.3815789423476455,0.1,500,False,3e-06
161,30041,0,8954,0.32653060558100805,0.1,500,False,3e-06
166,30461,0,9130,0.4886363580836778,0.1,500,False,3e-06
171,30762,1,9233,0.4905660284798863,0.1,500,False,3e-06
176,31693,1,9555,0.538461528106509,0.1,500,False,3e-06
181,32904,0,9859,0.23999999952,0.1,500,False,3e-06
186,34497,1,10217,0.313999999372,0.1,500,False,3e-06
191,35769,1,10601,0.38202246761772507,0.1,500,False,3e-06
196,36706,0,10931,0.3846153809171598,0.1,500,False,3e-06
201,37560,1,11174,0.3626373586523367,0.1,500,False,3e-06
206,38764,0,11446,0.217999999564,0.1,500,False,3e-06
211,39963,1,11919,0.529411759515571,0.1,500,False,3e-06
216,41179,0,12349,0.5045871513340628,0.1,500,False,3e-06
221,41959,0,12618,0.5436893151098124,0.1,500,False,3e-06
226,42848,1,12845,0.47727272365702483,0.1,500,False,3e-06
231,43647,1,13099,0.41414140995816756,0.1,500,False,3e-06
236,44372,1,13360,0.59523808106576,0.1,500,False,3e-06
241,44632,1,13458,0.46551723335315115,0.1,500,False,3e-06
246,45379,1,13719,0.476190464852608,0.1,500,False,3e-06
251,45734,1,13878,0.45833332378472247,0.1,500,False,3e-06
256,46195,0,14060,0.6199999876000003,0.1,500,False,3e-06
261,46550,1,14213,0.43749999088541686,0.1,500,False,3e-06
266,48280,1,14719,0.48876404219795483,0.1,500,False,3e-06
271,49076,0,15040,0.5094339526521896,0.1,500,False,3e-06
276,49972,1,15231,0.225999999548,0.1,500,False,3e-06
281,50733,0,15550,0.5925925852766347,0.1,500,False,3e-06
286,52364,1,15921,0.203999999592,0.1,500,False,3e-06
291,53162,1,16201,0.5348837084910766,0.1,500,False,3e-06
296,53894,0,16330,0.171999999656,0.1,500,False,3e-06
301,54294,1,16501,0.47540982827197004,0.1,500,False,3e-06
306,54658,1,16660,0.5128205062458909,0.1,500,False,3e-06
311,55083,0,16794,0.5824175760173893,0.1,500,False,3e-06
316,55819,1,17010,0.47999999040000024,0.1,500,False,3e-06
321,57027,0,17446,0.5999999942857144,0.1,500,False,3e-06
326,57704,0,17712,0.44680850113173404,0.1,500,False,3e-06
331,58176,0,17896,0.5999999880000003,0.1,500,False,3e-06
336,58859,1,18134,0.476190464852608,0.1,500,False,3e-06
341,59239,1,18250,0.37815125732646004,0.1,500,False,3e-06
346,60105,1,18419,0.30199999939600003,0.1,500,False,3e-06
351,60883,0,18536,0.24999999950000001,0.1,500,False,3e-06
356,61666,1,18688,0.215999999568,0.1,500,False,3e-06
361,63351,1,19142,0.191999999616,0.1,500,False,3e-06
366,64100,1,19405,0.5396825311161503,0.1,500,False,3e-06
371,65767,1,19714,0.245999999508,0.1,500,False,3e-06
376,66560,1,19995,0.4999999937500001,0.1,500,False,3e-06
381,67326,0,20173,0.47572815072108593,0.1,500,False,3e-06
386,68198,0,20363,0.39814814446159125,0.1,500,False,3e-06
391,69404,0,20677,0.4693877455226991,0.1,500,False,3e-06
396,69733,1,20780,0.6599999868000003,0.1,500,False,3e-06
401,70450,0,20958,0.6086956389413992,0.1,500,False,3e-06
406,71262,0,21209,0.4148936126075148,0.1,500,False,3e-06
411,71643,1,21359,0.38823528955017306,0.1,500,False,3e-06
416,72513,1,21649,0.4631578898614959,0.1,500,False,3e-06
421,73765,1,21948,0.267999999464,0.1,500,False,3e-06
426,74064,1,22074,0.6923076745562136,0.1,500,False,3e-06
431,75274,1,22386,0.46666665629629656,0.1,500,False,3e-06
436,75690,1,22508,0.4868420988573408,0.1,500,False,3e-06
441,76579,0,22722,0.44117646626297585,0.1,500,False,3e-06
446,77025,1,22861,0.3490566004805981,0.1,500,False,3e-06
451,77464,0,22984,0.3140495841814084,0.1,500,False,3e-06
456,78178,1,23270,0.4893616917157087,0.1,500,False,3e-06
461,79808,1,23618,0.1999999996,0.1,500,False,3e-06
466,80743,0,23937,0.5178571336096941,0.1,500,False,3e-06
471,81199,1,24117,0.5081967129803818,0.1,500,False,3e-06
476,81586,1,24275,0.43396225596297633,0.1,500,False,3e-06
481,81831,1,24357,0.3050847405917841,0.1,500,False,3e-06
486,82148,1,24463,0.3299999967,0.1,500,False,3e-06
491,82572,1,24599,0.32499999593750006,0.1,500,False,3e-06
496,83744,1,24913,0.41176469780853536,0.1,500,False,3e-06
501,84522,1,25086,0.5555555493827161,0.1,500,False,3e-06
506,85226,0,25289,0.46296295438957497,0.1,500,False,3e-06
511,85953,1,25472,0.3555555476543212,0.1,500,False,3e-06
516,86295,1,25596,0.4576271108876761,0.1,500,False,3e-06
521,86668,1,25752,0.3695652093572781,0.1,500,False,3e-06
526,87445,1,25967,0.3837209257706869,0.1,500,False,3e-06
531,87812,0,26086,0.47727271642562014,0.1,500,False,3e-06
536,88245,1,26212,0.3465346500343104,0.1,500,False,3e-06
541,90067,1,26615,0.4163701052798217,0.1,500,False,3e-06
546,90559,1,26809,0.5263157756232691,0.1,500,False,3e-06
551,90918,1,26934,0.3114754047299114,0.1,500,False,3e-06
556,92219,0,27320,0.5531914854383583,0.1,500,False,3e-06
561,93066,1,27643,0.5955056112864539,0.1,500,False,3e-06
566,94696,1,27990,0.305999999388,0.1,500,False,3e-06
571,95584,1,28244,0.5478723375113174,0.1,500,False,3e-06
576,96365,1,28371,0.20999999958,0.1,500,False,3e-06
581,97127,1,28681,0.39999999111111134,0.1,500,False,3e-06
586,97515,1,28786,0.33333332748538025,0.1,500,False,3e-06
591,98255,1,28877,0.263999999472,0.1,500,False,3e-06
596,99409,0,29261,0.3555555476543212,0.1,500,False,3e-06
601,99830,0,29429,0.384615374753452,0.1,500,False,3e-06
