Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.1,500,False,4e-06
1,501,0,0,0.783999998432,0.1,500,False,4e-06
6,1876,0,1011,0.8529411681084199,0.1,500,False,4e-06
11,2767,0,1660,0.7835051465618026,0.1,500,False,4e-06
16,3338,0,2036,0.8118811800803843,0.1,500,False,4e-06
21,3980,0,2462,0.810810803506209,0.1,500,False,4e-06
26,4819,0,3043,0.756521732551985,0.1,500,False,4e-06
31,5732,0,3689,0.799999992,0.1,500,False,4e-06
36,6673,0,4345,0.8137254822183776,0.1,500,False,4e-06
41,7399,0,4828,0.8018867848878606,0.1,500,False,4e-06
46,7923,0,5151,0.816513753976938,0.1,500,False,4e-06
51,8450,0,5489,0.7211538392196747,0.1,500,False,4e-06
56,9172,0,5807,0.7499999976265823,0.1,500,False,4e-06
61,9824,0,6217,0.7064220118676879,0.1,500,False,4e-06
66,10484,0,6527,0.7198275831041915,0.1,500,False,4e-06
71,11780,0,7129,0.717999998564,0.1,500,False,4e-06
76,12285,0,7446,0.8099999919,0.1,500,False,4e-06
81,12853,0,7746,0.6946107742837678,0.1,500,False,4e-06
86,13859,0,8455,0.6947368347922439,0.1,500,False,4e-06
91,14768,0,9039,0.7364341028183403,0.1,500,False,4e-06
96,15279,0,9354,0.7333333263492064,0.1,500,False,4e-06
101,16252,0,9710,0.755999998488,0.1,500,False,4e-06
106,17472,0,10551,0.8061224407538526,0.1,500,False,4e-06
111,18374,0,11150,0.6504854305778114,0.1,500,False,4e-06
116,18922,0,11492,0.7708333253038195,0.1,500,False,4e-06
121,20232,0,12098,0.7499999985,0.1,500,False,4e-06
126,21554,0,12998,0.7706421947647505,0.1,500,False,4e-06
131,22090,0,13309,0.7244897885256144,0.1,500,False,4e-06
136,23017,1,13903,0.709401703338447,0.1,500,False,4e-06
141,24099,0,14598,0.754716974012104,0.1,500,False,4e-06
146,25356,0,15468,0.6952380886167802,0.1,500,False,4e-06
151,26284,0,16055,0.6601941683476295,0.1,500,False,4e-06
156,27207,0,16377,0.70999999858,0.1,500,False,4e-06
161,28511,0,16981,0.707999998584,0.1,500,False,4e-06
166,29458,0,17582,0.7142857074829932,0.1,500,False,4e-06
171,30192,0,17872,0.7324414691222694,0.1,500,False,4e-06
176,31138,0,18461,0.6923076863905326,0.1,500,False,4e-06
181,32681,0,19486,0.7307692237426037,0.1,500,False,4e-06
186,33584,0,20030,0.7029702900696011,0.1,500,False,4e-06
191,34574,0,20377,0.71999999856,0.1,500,False,4e-06
196,35807,0,21165,0.7299999927,0.1,500,False,4e-06
201,36325,0,21467,0.718749992513021,0.1,500,False,4e-06
206,37243,0,21760,0.6359999987280001,0.1,500,False,4e-06
211,38163,0,22304,0.7610619401675934,0.1,500,False,4e-06
216,39061,0,22846,0.6813186738316629,0.1,500,False,4e-06
221,40726,0,23680,0.6603773569330723,0.1,500,False,4e-06
226,42066,0,24273,0.66999999866,0.1,500,False,4e-06
231,42631,0,24569,0.7627118579431199,0.1,500,False,4e-06
236,43956,0,25380,0.6907216423636944,0.1,500,False,4e-06
241,45285,0,25939,0.66999999866,0.1,500,False,4e-06
246,45863,0,26232,0.6060606014692379,0.1,500,False,4e-06
251,47391,0,27172,0.688679238786045,0.1,500,False,4e-06
256,48329,0,27463,0.643999998712,0.1,500,False,4e-06
261,48861,0,27755,0.6893203816570836,0.1,500,False,4e-06
266,49823,0,28328,0.6923076863905326,0.1,500,False,4e-06
271,51119,0,29114,0.6542056013625644,0.1,500,False,4e-06
276,52045,0,29641,0.7232142792570154,0.1,500,False,4e-06
281,53610,0,30566,0.5691056864300351,0.1,500,False,4e-06
286,54200,0,30875,0.5576923023298818,0.1,500,False,4e-06
291,54828,0,31184,0.724770635552563,0.1,500,False,4e-06
296,55806,0,31753,0.7399999926,0.1,500,False,4e-06
301,56773,0,32301,0.5954198427830546,0.1,500,False,4e-06
306,57600,0,32760,0.6831683100676406,0.1,500,False,4e-06
311,58174,0,33044,0.6310679550381753,0.1,500,False,4e-06
316,58897,0,33431,0.609589036920623,0.1,500,False,4e-06
321,60001,0,33817,0.6499999986458334,0.1,500,False,4e-06
