Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.1,500,False,4e-06
1,501,1,0,0.7859999984280001,0.1,500,False,4e-06
6,1480,0,367,0.787999998424,0.1,500,False,4e-06
11,1969,1,696,0.7349397501814489,0.1,500,False,4e-06
16,2380,0,962,0.8051947947377299,0.1,500,False,4e-06
21,3075,0,1434,0.8717948606180146,0.1,500,False,4e-06
26,3618,1,1790,0.8202247098851156,0.1,500,False,4e-06
31,4001,1,2029,0.7777777681755831,0.1,500,False,4e-06
36,4449,0,2340,0.763157884695291,0.1,500,False,4e-06
41,4856,0,2610,0.8493150568586979,0.1,500,False,4e-06
46,5401,1,2980,0.8157894629501387,0.1,500,False,4e-06
51,5793,1,3217,0.727272717827627,0.1,500,False,4e-06
56,6186,1,3463,0.741935475893167,0.1,500,False,4e-06
61,6717,1,3818,0.7999999900000001,0.1,500,False,4e-06
66,7107,0,4068,0.8157894629501387,0.1,500,False,4e-06
71,7519,1,4331,0.7236842010041553,0.1,500,False,4e-06
76,7908,1,4569,0.7297297198685173,0.1,500,False,4e-06
81,8310,0,4810,0.734177205896491,0.1,500,False,4e-06
86,8944,1,5228,0.7999999900000001,0.1,500,False,4e-06
91,9342,1,5470,0.780487795359905,0.1,500,False,4e-06
96,9729,1,5711,0.7228915575555235,0.1,500,False,4e-06
101,10109,1,5938,0.7368420955678672,0.1,500,False,4e-06
106,10517,1,6177,0.8163265222823824,0.1,500,False,4e-06
111,10929,1,6410,0.809523801814059,0.1,500,False,4e-06
116,11343,1,6651,0.7934782522448016,0.1,500,False,4e-06
121,11808,1,6945,0.7594936612722322,0.1,500,False,4e-06
126,12298,0,7246,0.794871784681131,0.1,500,False,4e-06
131,12715,0,7498,0.7011494172281676,0.1,500,False,4e-06
136,13098,1,7720,0.8157894629501387,0.1,500,False,4e-06
141,13486,1,7954,0.7564102467126892,0.1,500,False,4e-06
146,13888,1,8210,0.7916666556712965,0.1,500,False,4e-06
151,14294,0,8455,0.780487795359905,0.1,500,False,4e-06
156,14693,1,8690,0.7906976652244457,0.1,500,False,4e-06
161,15178,0,8994,0.7469879428073742,0.1,500,False,4e-06
166,15959,1,9535,0.786666656177778,0.1,500,False,4e-06
171,16345,1,9760,0.6794871707758056,0.1,500,False,4e-06
176,16732,1,9997,0.7560975517549079,0.1,500,False,4e-06
181,17111,0,10227,0.7974683443358438,0.1,500,False,4e-06
186,17492,1,10450,0.6623376537358746,0.1,500,False,4e-06
191,17877,1,10690,0.8142857026530614,0.1,500,False,4e-06
196,18271,0,10916,0.7530864104557233,0.1,500,False,4e-06
201,18760,1,11235,0.8108107998539081,0.1,500,False,4e-06
206,19137,0,11463,0.7297297198685173,0.1,500,False,4e-06
211,19870,0,11961,0.7594936612722322,0.1,500,False,4e-06
216,20267,1,12207,0.7820512720249837,0.1,500,False,4e-06
221,20651,1,12436,0.7432432331994158,0.1,500,False,4e-06
226,21044,0,12679,0.7051281960881001,0.1,500,False,4e-06
231,21434,0,12915,0.763157884695291,0.1,500,False,4e-06
236,21831,1,13155,0.727272717827627,0.1,500,False,4e-06
241,22242,0,13390,0.7241379227110584,0.1,500,False,4e-06
246,22647,1,13634,0.6385542091740457,0.1,500,False,4e-06
251,23050,1,13862,0.7011494172281676,0.1,500,False,4e-06
256,23463,1,14105,0.7777777681755831,0.1,500,False,4e-06
261,23902,1,14343,0.7127659498641921,0.1,500,False,4e-06
266,24466,0,14692,0.786666656177778,0.1,500,False,4e-06
271,24851,1,14915,0.7894736738227148,0.1,500,False,4e-06
276,25267,1,15169,0.7499999906250001,0.1,500,False,4e-06
281,25649,1,15383,0.6329113843935268,0.1,500,False,4e-06
