Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.1,500,False,4e-06
1,120,1,0,0.781512598474684,0.1,500,False,4e-06
6,569,1,279,0.8426966197449818,0.1,500,False,4e-06
11,979,1,529,0.7283950527358636,0.1,500,False,4e-06
16,1390,1,783,0.7692307593688364,0.1,500,False,4e-06
21,1770,1,1031,0.8450704106328112,0.1,500,False,4e-06
26,2151,1,1266,0.727272717827627,0.1,500,False,4e-06
31,2528,1,1501,0.7599999898666668,0.1,500,False,4e-06
36,2924,1,1757,0.7882352848442908,0.1,500,False,4e-06
41,3308,1,2015,0.8181818075560805,0.1,500,False,4e-06
46,3691,1,2255,0.7916666556712965,0.1,500,False,4e-06
51,4087,1,2514,0.7432432331994158,0.1,500,False,4e-06
56,4478,1,2767,0.835616426909364,0.1,500,False,4e-06
61,4858,1,2999,0.7702702598612128,0.1,500,False,4e-06
66,5248,1,3233,0.7820512720249837,0.1,500,False,4e-06
71,5659,1,3492,0.7532467434643281,0.1,500,False,4e-06
