Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.1,500,False,4e-06
1,501,0,0,0.787999998424,0.1,500,False,4e-06
6,1040,1,363,0.8041237030502711,0.1,500,False,4e-06
11,1613,1,665,0.8191489318130376,0.1,500,False,4e-06
16,2071,0,961,0.7954545364152894,0.1,500,False,4e-06
21,2522,1,1237,0.8351648259871998,0.1,500,False,4e-06
26,3016,0,1556,0.7708333253038195,0.1,500,False,4e-06
31,3466,0,1860,0.6736842034349031,0.1,500,False,4e-06
36,3908,1,2156,0.8117646963321801,0.1,500,False,4e-06
41,4353,1,2441,0.7065217314508507,0.1,500,False,4e-06
46,4825,1,2737,0.8602150445138167,0.1,500,False,4e-06
51,5279,0,2997,0.857142847723705,0.1,500,False,4e-06
56,5756,1,3287,0.749999993951613,0.1,500,False,4e-06
61,6390,1,3573,0.7709090881057852,0.1,500,False,4e-06
66,6876,1,3894,0.8064516042317033,0.1,500,False,4e-06
71,7574,1,4367,0.719626161498821,0.1,500,False,4e-06
76,8059,0,4663,0.7938144248060369,0.1,500,False,4e-06
81,8579,1,5007,0.8139534789075177,0.1,500,False,4e-06
86,9051,1,5282,0.8020833249782987,0.1,500,False,4e-06
91,9508,1,5575,0.7261904675453515,0.1,500,False,4e-06
96,9951,0,5843,0.817204292288126,0.1,500,False,4e-06
101,10388,0,6104,0.7356321754525037,0.1,500,False,4e-06
106,10842,0,6384,0.8255813857490537,0.1,500,False,4e-06
111,11288,1,6646,0.7472527390411787,0.1,500,False,4e-06
116,11742,1,6925,0.6477272653667356,0.1,500,False,4e-06
121,12182,1,7196,0.7272727190082646,0.1,500,False,4e-06
126,12623,0,7464,0.7333333251851853,0.1,500,False,4e-06
131,13085,0,7733,0.7127659498641921,0.1,500,False,4e-06
136,13529,1,8004,0.7790697583829098,0.1,500,False,4e-06
141,13966,0,8269,0.76086955694707,0.1,500,False,4e-06
146,14399,1,8536,0.7530864104557233,0.1,500,False,4e-06
151,14883,1,8842,0.7261904675453515,0.1,500,False,4e-06
156,15743,0,9426,0.8124999915364585,0.1,500,False,4e-06
161,16227,1,9719,0.7999999911111112,0.1,500,False,4e-06
166,16674,1,9993,0.7701149336768399,0.1,500,False,4e-06
171,17541,1,10557,0.7096774117238989,0.1,500,False,4e-06
176,17983,1,10817,0.741573025375584,0.1,500,False,4e-06
181,18468,1,11106,0.7701149336768399,0.1,500,False,4e-06
186,18908,0,11375,0.7840909001807852,0.1,500,False,4e-06
191,19349,1,11646,0.7444444361728396,0.1,500,False,4e-06
196,19803,0,11901,0.7252747173046734,0.1,500,False,4e-06
201,20230,1,12149,0.8139534789075177,0.1,500,False,4e-06
206,20672,1,12429,0.6746987870518218,0.1,500,False,4e-06
211,21106,0,12691,0.7640449352354501,0.1,500,False,4e-06
216,21560,0,12952,0.7087378571967199,0.1,500,False,4e-06
221,22074,1,13224,0.7248322099004549,0.1,500,False,4e-06
226,22536,1,13491,0.6853932507259185,0.1,500,False,4e-06
231,22970,1,13741,0.7738095145975058,0.1,500,False,4e-06
236,23452,1,14017,0.7356321754525037,0.1,500,False,4e-06
241,23884,0,14273,0.8255813857490537,0.1,500,False,4e-06
246,24315,1,14530,0.7647058733564015,0.1,500,False,4e-06
251,24756,0,14780,0.7849462281188578,0.1,500,False,4e-06
256,25374,0,15094,0.7362637322183312,0.1,500,False,4e-06
261,25827,1,15349,0.7045454465392563,0.1,500,False,4e-06
266,26268,1,15604,0.712643669969613,0.1,500,False,4e-06
271,26717,1,15857,0.7752808901653833,0.1,500,False,4e-06
276,27174,1,16125,0.8131868042506945,0.1,500,False,4e-06
281,27611,1,16379,0.7865168450953164,0.1,500,False,4e-06
286,28058,1,16642,0.62068964803805,0.1,500,False,4e-06
