Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,500,False,5e-07
1,126,0,0,0.8399999932800001,0.1,500,False,5e-07
6,932,1,253,0.691999998616,0.1,500,False,5e-07
11,2087,0,574,0.545999998908,0.1,500,False,5e-07
16,3257,1,1103,0.8281249870605472,0.1,500,False,5e-07
21,4511,0,1991,0.8103448136147446,0.1,500,False,5e-07
26,5708,1,2785,0.721311463585058,0.1,500,False,5e-07
31,6868,0,3462,0.7090908961983474,0.1,500,False,5e-07
36,8074,1,3985,0.812499983072917,0.1,500,False,5e-07
41,9030,0,4433,0.8139534836398054,0.1,500,False,5e-07
46,9949,0,5057,0.685185172496571,0.1,500,False,5e-07
51,11164,0,5757,0.6382978587596201,0.1,500,False,5e-07
56,11915,0,5951,0.6359999987280001,0.1,500,False,5e-07
61,12194,1,6103,0.7374999907812502,0.1,500,False,5e-07
66,13714,1,6645,0.457999999084,0.1,500,False,5e-07
71,15682,1,7382,0.707999998584,0.1,500,False,5e-07
76,16498,0,7825,0.759259252229081,0.1,500,False,5e-07
81,17231,1,8218,0.6829268126115412,0.1,500,False,5e-07
86,18496,0,8879,0.761467882922313,0.1,500,False,5e-07
91,19349,0,9334,0.7272727107438021,0.1,500,False,5e-07
96,20276,1,9663,0.6111111073388203,0.1,500,False,5e-07
101,20995,0,10021,0.74074072702332,0.1,500,False,5e-07
106,21472,1,10278,0.6263736194903998,0.1,500,False,5e-07
111,22230,0,10629,0.5392156809880816,0.1,500,False,5e-07
116,22521,0,10761,0.5374999932812501,0.1,500,False,5e-07
121,23282,1,11055,0.7127659498641921,0.1,500,False,5e-07
126,24118,0,11505,0.6923076874663798,0.1,500,False,5e-07
131,24981,1,11874,0.7142857086167801,0.1,500,False,5e-07
136,25836,1,12274,0.6931818103047521,0.1,500,False,5e-07
141,26197,0,12440,0.6065573671056169,0.1,500,False,5e-07
146,26562,1,12596,0.7295081907417361,0.1,500,False,5e-07
151,27863,1,13067,0.6499999935,0.1,500,False,5e-07
156,28657,1,13247,0.52999999894,0.1,500,False,5e-07
161,29559,1,13509,0.24999999950000001,0.1,500,False,5e-07
166,29937,1,13681,0.5232558078691185,0.1,500,False,5e-07
171,30778,1,13917,0.40999999918,0.1,500,False,5e-07
176,32087,1,14245,0.281999999436,0.1,500,False,5e-07
181,32365,1,14386,0.6538461412721897,0.1,500,False,5e-07
186,32901,1,14653,0.6037735735137062,0.1,500,False,5e-07
191,33313,1,14842,0.6972477000252505,0.1,500,False,5e-07
196,34223,1,15103,0.33999999932,0.1,500,False,5e-07
201,34558,1,15250,0.4090909028925621,0.1,500,False,5e-07
206,34839,1,15393,0.6666666555555558,0.1,500,False,5e-07
211,35253,0,15613,0.671232867517358,0.1,500,False,5e-07
216,35658,1,15815,0.7142857079081634,0.1,500,False,5e-07
221,35961,0,15995,0.5681818052685954,0.1,500,False,5e-07
226,36343,1,16167,0.6736842034349031,0.1,500,False,5e-07
231,36685,1,16336,0.6097560901249257,0.1,500,False,5e-07
236,37049,1,16541,0.6444444301234571,0.1,500,False,5e-07
241,37887,1,16890,0.7462686455780799,0.1,500,False,5e-07
246,38333,0,17103,0.6862745030757402,0.1,500,False,5e-07
251,39173,1,17413,0.6260162550730386,0.1,500,False,5e-07
256,40805,1,18235,0.7283950527358636,0.1,500,False,5e-07
261,41745,0,18639,0.5822784736420447,0.1,500,False,5e-07
266,42574,1,19033,0.6304347689035921,0.1,500,False,5e-07
271,43777,1,19472,0.5740740634430729,0.1,500,False,5e-07
276,45004,1,19712,0.30999999938,0.1,500,False,5e-07
281,45378,1,19903,0.6078431253364094,0.1,500,False,5e-07
286,46066,1,20008,0.5999999988,0.1,500,False,5e-07
291,47248,0,20425,0.727272714049587,0.1,500,False,5e-07
296,48041,1,20826,0.8103448136147446,0.1,500,False,5e-07
