Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,500,False,5e-07
1,126,0,0,0.8799999929600001,0.1,500,False,5e-07
6,1130,1,383,0.583999998832,0.1,500,False,5e-07
11,2326,0,772,0.503999998992,0.1,500,False,5e-07
16,3611,1,1269,0.457999999084,0.1,500,False,5e-07
21,4825,1,1685,0.451999999096,0.1,500,False,5e-07
26,6639,1,2310,0.487999999024,0.1,500,False,5e-07
31,8320,0,2800,0.52999999894,0.1,500,False,5e-07
36,9391,0,3150,0.7578475302338676,0.1,500,False,5e-07
41,10493,1,3469,0.4508670494169535,0.1,500,False,5e-07
46,11454,1,3843,0.5822784736420447,0.1,500,False,5e-07
51,12843,1,4156,0.30199999939600003,0.1,500,False,5e-07
56,14663,1,4845,0.4941176441522492,0.1,500,False,5e-07
61,16098,1,5379,0.5940594000588179,0.1,500,False,5e-07
66,17440,0,5710,0.383999999232,0.1,500,False,5e-07
71,18704,1,5986,0.423999999152,0.1,500,False,5e-07
76,19201,0,6169,0.49640287412659806,0.1,500,False,5e-07
81,20231,1,6498,0.5728155284192668,0.1,500,False,5e-07
86,21382,0,7004,0.6799999864000003,0.1,500,False,5e-07
91,22822,1,7472,0.38532109738237524,0.1,500,False,5e-07
96,24110,1,7737,0.25999999948,0.1,500,False,5e-07
101,25482,1,8095,0.529411759515571,0.1,500,False,5e-07
106,27254,0,8628,0.191999999616,0.1,500,False,5e-07
111,27982,1,8928,0.4753086390413047,0.1,500,False,5e-07
116,28812,1,9115,0.303999999392,0.1,500,False,5e-07
121,30241,0,9566,0.6371681359542642,0.1,500,False,5e-07
126,31125,1,9806,0.28999999942,0.1,500,False,5e-07
131,31928,1,10218,0.6395348762844782,0.1,500,False,5e-07
136,32491,0,10451,0.4545454507888806,0.1,500,False,5e-07
141,32946,0,10662,0.7894736703601111,0.1,500,False,5e-07
146,33959,0,10923,0.445999999108,0.1,500,False,5e-07
151,35670,1,11383,0.335999999328,0.1,500,False,5e-07
156,37072,0,11731,0.215999999568,0.1,500,False,5e-07
161,37991,1,12125,0.5394736771121885,0.1,500,False,5e-07
166,38821,1,12326,0.21999999956,0.1,500,False,5e-07
171,40100,0,12580,0.27999999944,0.1,500,False,5e-07
176,41538,0,12954,0.335999999328,0.1,500,False,5e-07
181,43301,1,13411,0.33399999933200003,0.1,500,False,5e-07
186,44141,0,13763,0.5138888817515433,0.1,500,False,5e-07
