Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.01,15000,True,4e-06
1,501,0,0,0.525999998948,0.01,15000,True,4e-06
6,1115,0,386,0.8492063424666163,0.01,15000,True,4e-06
11,1588,0,684,0.7999999905882355,0.01,15000,True,4e-06
16,2445,1,1307,0.679012337296144,0.01,15000,True,4e-06
21,2875,1,1606,0.7323943558817697,0.01,15000,True,4e-06
26,3265,1,1853,0.6944444347993829,0.01,15000,True,4e-06
31,3704,0,2123,0.7962962889231825,0.01,15000,True,4e-06
36,4242,1,2457,0.7346938700541442,0.01,15000,True,4e-06
41,4700,1,2733,0.776859497711905,0.01,15000,True,4e-06
46,5077,1,2977,0.7439024299524094,0.01,15000,True,4e-06
51,5508,1,3243,0.7307692214003946,0.01,15000,True,4e-06
56,5942,0,3512,0.7362637281729261,0.01,15000,True,4e-06
61,6328,1,3758,0.7012986921909261,0.01,15000,True,4e-06
66,6708,1,3987,0.8933333214222224,0.01,15000,True,4e-06
71,7144,1,4239,0.8018867848878606,0.01,15000,True,4e-06
76,7546,1,4492,0.7439024299524094,0.01,15000,True,4e-06
81,7937,0,4722,0.6973684118767315,0.01,15000,True,4e-06
86,8520,0,5114,0.6951219427424153,0.01,15000,True,4e-06
91,8909,1,5337,0.727272717827627,0.01,15000,True,4e-06
96,9360,0,5630,0.734177205896491,0.01,15000,True,4e-06
101,9946,0,6030,0.8170731607674006,0.01,15000,True,4e-06
106,10346,0,6264,0.8205128099934256,0.01,15000,True,4e-06
111,10735,0,6487,0.8255813857490537,0.01,15000,True,4e-06
116,11128,1,6720,0.7974683443358438,0.01,15000,True,4e-06
121,11549,1,6984,0.7179487087442473,0.01,15000,True,4e-06
126,11929,1,7201,0.6666666581196582,0.01,15000,True,4e-06
131,12344,0,7452,0.7472527390411787,0.01,15000,True,4e-06
136,12728,1,7673,0.776315779259003,0.01,15000,True,4e-06
141,13107,0,7905,0.7532467434643281,0.01,15000,True,4e-06
146,13508,1,8154,0.7037036950160038,0.01,15000,True,4e-06
151,13892,1,8377,0.813333322488889,0.01,15000,True,4e-06
156,14281,1,8615,0.8641975201950923,0.01,15000,True,4e-06
161,14659,1,8855,0.7402597306459775,0.01,15000,True,4e-06
166,15046,0,9090,0.8441558331927814,0.01,15000,True,4e-06
171,15468,0,9348,0.8860759381509375,0.01,15000,True,4e-06
176,15864,1,9576,0.7599999898666668,0.01,15000,True,4e-06
181,16247,1,9806,0.7999999893333335,0.01,15000,True,4e-06
186,16625,1,10040,0.763157884695291,0.01,15000,True,4e-06
191,17013,1,10282,0.7199999904000002,0.01,15000,True,4e-06
196,17412,1,10519,0.7283950527358636,0.01,15000,True,4e-06
201,17816,1,10760,0.7764705791003461,0.01,15000,True,4e-06
206,18213,0,10989,0.7160493738759337,0.01,15000,True,4e-06
211,18594,1,11211,0.6883116793725756,0.01,15000,True,4e-06
216,19022,1,11459,0.6632652993544358,0.01,15000,True,4e-06
221,19408,1,11700,0.7922077819193795,0.01,15000,True,4e-06
226,19814,1,11951,0.6666666581196582,0.01,15000,True,4e-06
231,20237,0,12203,0.7837837731921112,0.01,15000,True,4e-06
236,20643,1,12445,0.7368420955678672,0.01,15000,True,4e-06
241,21020,1,12661,0.6753246665542252,0.01,15000,True,4e-06
246,21424,0,12898,0.6951219427424153,0.01,15000,True,4e-06
251,21820,1,13127,0.7261904675453515,0.01,15000,True,4e-06
256,22212,1,13367,0.727272717827627,0.01,15000,True,4e-06
261,22607,1,13598,0.7624999904687502,0.01,15000,True,4e-06
266,22986,1,13801,0.6455696120813973,0.01,15000,True,4e-06
271,23377,1,14016,0.753424647213361,0.01,15000,True,4e-06
276,23761,1,14246,0.693333324088889,0.01,15000,True,4e-06
281,24132,1,14453,0.7027026932067204,0.01,15000,True,4e-06
286,24529,1,14685,0.7532467434643281,0.01,15000,True,4e-06
291,24947,0,14923,0.741573025375584,0.01,15000,True,4e-06
296,25350,1,15150,0.7619047528344672,0.01,15000,True,4e-06
301,25741,0,15359,0.679012337296144,0.01,15000,True,4e-06
306,26145,1,15603,0.70886075052075,0.01,15000,True,4e-06
311,26530,1,15824,0.7564102467126892,0.01,15000,True,4e-06
316,26926,1,16030,0.7124999910937502,0.01,15000,True,4e-06
321,27321,0,16271,0.6399999914666668,0.01,15000,True,4e-06
326,27718,0,16507,0.6470588159169551,0.01,15000,True,4e-06
331,28087,1,16718,0.671232867517358,0.01,15000,True,4e-06
336,28486,1,16957,0.7972972865230097,0.01,15000,True,4e-06
341,28877,1,17181,0.6103896024624728,0.01,15000,True,4e-06
346,29279,1,17414,0.676056328506249,0.01,15000,True,4e-06
351,29750,1,17697,0.7142857050092766,0.01,15000,True,4e-06
356,30141,0,17922,0.6399999914666668,0.01,15000,True,4e-06
361,30525,1,18139,0.7671232771626949,0.01,15000,True,4e-06
366,30902,1,18357,0.7183098490378895,0.01,15000,True,4e-06
371,31313,1,18577,0.6907216423636944,0.01,15000,True,4e-06
376,31723,1,18807,0.6451612833853626,0.01,15000,True,4e-06
381,32114,1,19039,0.6923076834319528,0.01,15000,True,4e-06
386,32513,1,19245,0.70886075052075,0.01,15000,True,4e-06
391,32991,1,19496,0.758333327013889,0.01,15000,True,4e-06
396,33374,1,19706,0.7564102467126892,0.01,15000,True,4e-06
401,33774,1,19930,0.6463414555324213,0.01,15000,True,4e-06
406,34200,0,20186,0.7874999901562502,0.01,15000,True,4e-06
