Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.01,450001,True,4e-06
1,105,0,0,0.7692307618343196,0.01,450001,True,4e-06
6,1229,1,655,0.8044164012478978,0.01,450001,True,4e-06
11,1679,1,947,0.7349397501814489,0.01,450001,True,4e-06
16,2082,1,1191,0.8191489274558625,0.01,450001,True,4e-06
21,2474,0,1454,0.7599999898666668,0.01,450001,True,4e-06
26,2870,0,1717,0.693333324088889,0.01,450001,True,4e-06
31,3284,1,1971,0.8101265720237143,0.01,450001,True,4e-06
36,3688,0,2240,0.7083333234953705,0.01,450001,True,4e-06
41,4089,1,2495,0.8589743479618673,0.01,450001,True,4e-06
46,4518,1,2755,0.710843364929598,0.01,450001,True,4e-06
51,4925,1,2999,0.8117646963321801,0.01,450001,True,4e-06
56,5364,1,3265,0.8026315683864268,0.01,450001,True,4e-06
61,5754,1,3498,0.7333333235555557,0.01,450001,True,4e-06
66,6579,1,4088,0.771084328059225,0.01,450001,True,4e-06
71,6991,1,4333,0.7894736738227148,0.01,450001,True,4e-06
76,7443,1,4599,0.7882352848442908,0.01,450001,True,4e-06
81,7837,1,4833,0.7721518889601027,0.01,450001,True,4e-06
86,8276,1,5086,0.8050847389399599,0.01,450001,True,4e-06
91,8704,1,5331,0.7941176392733565,0.01,450001,True,4e-06
96,9107,1,5570,0.6707316991374184,0.01,450001,True,4e-06
101,9499,1,5818,0.8227847997115848,0.01,450001,True,4e-06
106,9889,1,6035,0.7560975517549079,0.01,450001,True,4e-06
111,10274,1,6261,0.7972972865230097,0.01,450001,True,4e-06
116,10682,1,6513,0.6153846074950692,0.01,450001,True,4e-06
121,11072,1,6741,0.7249999909375001,0.01,450001,True,4e-06
