Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.01,500000,True,4e-06
1,295,0,0,0.7857142830417881,0.01,500000,True,4e-06
6,1096,0,541,0.7499999951923078,0.01,500000,True,4e-06
11,2344,0,1134,0.801999998396,0.01,500000,True,4e-06
16,4224,0,2225,0.7999999984,0.01,500000,True,4e-06
21,6045,0,3582,0.807017536780548,0.01,500000,True,4e-06
26,7856,0,4845,0.7111111071604939,0.01,500000,True,4e-06
31,8924,0,5570,0.757894728864266,0.01,500000,True,4e-06
36,9912,0,5938,0.7499999985,0.01,500000,True,4e-06
41,10732,0,6356,0.7925925896570645,0.01,500000,True,4e-06
46,11945,0,7077,0.7663934394819941,0.01,500000,True,4e-06
51,13009,0,7828,0.7604166587456598,0.01,500000,True,4e-06
56,13934,0,8463,0.7653061146397335,0.01,500000,True,4e-06
61,14442,0,8757,0.7572815460458102,0.01,500000,True,4e-06
66,15361,0,9373,0.7070706999285788,0.01,500000,True,4e-06
71,15879,1,9681,0.7549019533833142,0.01,500000,True,4e-06
76,16816,0,10320,0.7232142792570154,0.01,500000,True,4e-06
81,17428,0,10679,0.816513753976938,0.01,500000,True,4e-06
86,18020,0,11024,0.7692307633136095,0.01,500000,True,4e-06
91,18937,0,11624,0.7941176392733565,0.01,500000,True,4e-06
96,19476,0,11947,0.7070706999285788,0.01,500000,True,4e-06
101,20468,0,12581,0.7443608966589407,0.01,500000,True,4e-06
106,21049,0,12933,0.7741935400624351,0.01,500000,True,4e-06
111,21831,0,13402,0.7530864151044049,0.01,500000,True,4e-06
116,22744,0,13999,0.7373737299255179,0.01,500000,True,4e-06
121,23367,0,14316,0.7005649677934183,0.01,500000,True,4e-06
126,24740,0,14954,0.715999998568,0.01,500000,True,4e-06
131,25659,0,15556,0.7857142776967931,0.01,500000,True,4e-06
136,26305,0,15965,0.6633663300656799,0.01,500000,True,4e-06
141,26853,0,16283,0.7339449473950005,0.01,500000,True,4e-06
146,27766,1,16887,0.7755101961682633,0.01,500000,True,4e-06
151,28699,1,17457,0.7716535372310745,0.01,500000,True,4e-06
156,30046,0,18053,0.687999998624,0.01,500000,True,4e-06
161,31512,0,18741,0.715999998568,0.01,500000,True,4e-06
166,32571,0,19128,0.693999998612,0.01,500000,True,4e-06
171,34214,0,19938,0.697999998604,0.01,500000,True,4e-06
176,35214,0,20559,0.6632652993544358,0.01,500000,True,4e-06
181,35820,0,20914,0.7551020331112037,0.01,500000,True,4e-06
186,36925,0,21584,0.7419354778876172,0.01,500000,True,4e-06
191,38256,0,22405,0.6220472391964784,0.01,500000,True,4e-06
196,39205,0,22983,0.7575757499234773,0.01,500000,True,4e-06
201,40522,0,23538,0.6499999987,0.01,500000,True,4e-06
206,42245,0,24561,0.6830601055570487,0.01,500000,True,4e-06
211,44360,0,25642,0.665999998668,0.01,500000,True,4e-06
216,45712,0,26468,0.6914893543458579,0.01,500000,True,4e-06
221,47441,0,27566,0.6636363576033059,0.01,500000,True,4e-06
226,49231,0,28426,0.663999998672,0.01,500000,True,4e-06
231,50334,0,28806,0.625999998748,0.01,500000,True,4e-06
236,52096,0,29628,0.617999998764,0.01,500000,True,4e-06
241,53693,0,30350,0.665999998668,0.01,500000,True,4e-06
246,55496,0,31198,0.661999998676,0.01,500000,True,4e-06
251,57346,0,32288,0.5461538419526628,0.01,500000,True,4e-06
256,58108,0,32702,0.6636363576033059,0.01,500000,True,4e-06
261,59670,0,33380,0.6298568494276956,0.01,500000,True,4e-06
