Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.1,15000,True,4e-06
1,74,0,0,0.7123287573653595,0.1,15000,True,4e-06
6,639,1,360,0.7444444361728396,0.1,15000,True,4e-06
11,1063,0,607,0.6547618969671203,0.1,15000,True,4e-06
16,1620,0,952,0.7745097963283354,0.1,15000,True,4e-06
21,1999,1,1178,0.7910447643127647,0.1,15000,True,4e-06
26,2397,1,1413,0.6764705782871974,0.1,15000,True,4e-06
31,2765,0,1623,0.6805555461033952,0.1,15000,True,4e-06
36,3139,0,1819,0.727272717827627,0.1,15000,True,4e-06
41,3569,0,2047,0.754716974012104,0.1,15000,True,4e-06
46,3951,0,2271,0.6716417810202719,0.1,15000,True,4e-06
51,4342,1,2473,0.7111111032098767,0.1,15000,True,4e-06
56,4715,1,2683,0.6999999900000001,0.1,15000,True,4e-06
61,5117,0,2900,0.6785714204931974,0.1,15000,True,4e-06
66,5514,0,3126,0.610526309362881,0.1,15000,True,4e-06
71,5863,0,3303,0.6707316991374184,0.1,15000,True,4e-06
76,6213,0,3494,0.6438356076186903,0.1,15000,True,4e-06
81,6546,1,3675,0.6307692210650889,0.1,15000,True,4e-06
86,6932,1,3861,0.6749999915625001,0.1,15000,True,4e-06
91,7323,0,4062,0.6235294044290659,0.1,15000,True,4e-06
96,7678,1,4261,0.6268656622855872,0.1,15000,True,4e-06
101,8114,0,4505,0.6753246665542252,0.1,15000,True,4e-06
106,8563,1,4753,0.6249999928977273,0.1,15000,True,4e-06
111,8947,1,4961,0.7432432331994158,0.1,15000,True,4e-06
116,9355,0,5179,0.6444444372839507,0.1,15000,True,4e-06
121,9757,1,5400,0.6543209795762842,0.1,15000,True,4e-06
126,10103,0,5588,0.6301369776693565,0.1,15000,True,4e-06
131,10634,0,5848,0.7391304294265911,0.1,15000,True,4e-06
136,11036,1,6075,0.608695643352237,0.1,15000,True,4e-06
141,11602,0,6438,0.6923076816568049,0.1,15000,True,4e-06
146,12029,1,6684,0.6338028079746083,0.1,15000,True,4e-06
151,12431,1,6921,0.6999999900000001,0.1,15000,True,4e-06
156,12798,1,7121,0.5915492874429678,0.1,15000,True,4e-06
161,13155,0,7326,0.7014925268433951,0.1,15000,True,4e-06
166,13526,0,7518,0.6944444347993829,0.1,15000,True,4e-06
171,13924,1,7757,0.6249999913194446,0.1,15000,True,4e-06
176,14339,0,8008,0.5844155768257717,0.1,15000,True,4e-06
181,14688,0,8182,0.635135126552228,0.1,15000,True,4e-06
186,15086,0,8407,0.6567164081087103,0.1,15000,True,4e-06
191,15446,0,8609,0.6428571336734695,0.1,15000,True,4e-06
196,15830,1,8812,0.7362637281729261,0.1,15000,True,4e-06
201,16200,0,9032,0.703124989013672,0.1,15000,True,4e-06
206,16565,1,9199,0.6565656499336803,0.1,15000,True,4e-06
