Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,20000,True,5e-06
1,501,0,0,0.563999998872,0.1,20000,True,5e-06
6,2142,0,698,0.72999999854,0.1,20000,True,5e-06
11,4238,0,1392,0.6979166593967014,0.1,20000,True,5e-06
16,5144,0,1771,0.7096774117238989,0.1,20000,True,5e-06
21,5596,0,2032,0.7024793330373609,0.1,20000,True,5e-06
26,6035,0,2327,0.853658526174896,0.1,20000,True,5e-06
31,6462,0,2582,0.8333333240740742,0.1,20000,True,5e-06
36,6848,0,2852,0.8387096638917797,0.1,20000,True,5e-06
41,7676,0,3184,0.7999999900000001,0.1,20000,True,5e-06
46,8093,0,3452,0.8461538353057201,0.1,20000,True,5e-06
51,8479,0,3682,0.8243243131848066,0.1,20000,True,5e-06
56,9283,0,4042,0.8082191670106964,0.1,20000,True,5e-06
61,9665,0,4290,0.7826086843100191,0.1,20000,True,5e-06
66,10041,0,4527,0.8452380851757371,0.1,20000,True,5e-06
71,10411,0,4764,0.8088235175173012,0.1,20000,True,5e-06
76,10777,0,4967,0.8157894629501387,0.1,20000,True,5e-06
81,12005,0,5261,0.171999999656,0.1,20000,True,5e-06
86,12389,0,5501,0.8028168901011706,0.1,20000,True,5e-06
91,13178,0,5842,0.6399999914666668,0.1,20000,True,5e-06
96,13532,0,6031,0.7374999907812502,0.1,20000,True,5e-06
101,13920,0,6272,0.7662337562826785,0.1,20000,True,5e-06
106,14282,0,6498,0.841269827916352,0.1,20000,True,5e-06
111,15616,0,7205,0.7948717907955293,0.1,20000,True,5e-06
116,16538,0,7775,0.8688524447729108,0.1,20000,True,5e-06
121,16904,0,8017,0.6857142759183675,0.1,20000,True,5e-06
126,17699,0,8245,0.5079999989840001,0.1,20000,True,5e-06
131,18058,0,8467,0.7246376706574251,0.1,20000,True,5e-06
136,18898,0,9087,0.6615384513609469,0.1,20000,True,5e-06
141,19722,0,9569,0.7177419296956297,0.1,20000,True,5e-06
146,20541,1,9957,0.7101449172442766,0.1,20000,True,5e-06
151,21743,0,10435,0.6874999892578127,0.1,20000,True,5e-06
156,22597,0,10768,0.761363627711777,0.1,20000,True,5e-06
161,23469,1,11034,0.433999999132,0.1,20000,True,5e-06
166,23984,0,11321,0.5487804811124332,0.1,20000,True,5e-06
171,24829,0,11557,0.447999999104,0.1,20000,True,5e-06
176,25257,0,11786,0.7567567465303142,0.1,20000,True,5e-06
181,26044,0,12143,0.714285702947846,0.1,20000,True,5e-06
186,26923,0,12404,0.343999999312,0.1,20000,True,5e-06
191,28170,0,13112,0.7439024299524094,0.1,20000,True,5e-06
196,28515,0,13301,0.7656249880371095,0.1,20000,True,5e-06
201,28897,0,13520,0.7313432726665183,0.1,20000,True,5e-06
206,29711,0,13858,0.753424647213361,0.1,20000,True,5e-06
211,30542,0,14241,0.5272727176859506,0.1,20000,True,5e-06
216,31798,0,14722,0.453999999092,0.1,20000,True,5e-06
221,32617,0,15125,0.6478873148184886,0.1,20000,True,5e-06
226,33065,0,15366,0.7142857040816328,0.1,20000,True,5e-06
231,33864,0,15567,0.531999998936,0.1,20000,True,5e-06
236,35075,0,16203,0.6885245788766463,0.1,20000,True,5e-06
241,35859,0,16544,0.7042253421940093,0.1,20000,True,5e-06
246,36654,0,16910,0.6710526227493077,0.1,20000,True,5e-06
251,37011,1,17084,0.7692307593688364,0.1,20000,True,5e-06
256,37382,0,17288,0.6093749904785158,0.1,20000,True,5e-06
261,38261,1,17819,0.6516853859361192,0.1,20000,True,5e-06
266,38618,1,18020,0.5820895435509024,0.1,20000,True,5e-06
271,39426,0,18227,0.735999998528,0.1,20000,True,5e-06
276,39792,0,18408,0.6764705782871974,0.1,20000,True,5e-06
281,40172,0,18609,0.7682926735574065,0.1,20000,True,5e-06
286,40956,0,18922,0.6406249899902345,0.1,20000,True,5e-06
291,41355,0,19130,0.6951219427424153,0.1,20000,True,5e-06
296,42136,0,19320,0.563999998872,0.1,20000,True,5e-06
301,42599,0,19573,0.6310679550381753,0.1,20000,True,5e-06
306,42932,0,19731,0.6212121117998165,0.1,20000,True,5e-06
311,43333,0,19939,0.614457823922195,0.1,20000,True,5e-06
316,44132,0,20279,0.6849314974666918,0.1,20000,True,5e-06
321,44478,0,20466,0.650793640463593,0.1,20000,True,5e-06
326,45290,0,20685,0.425999999148,0.1,20000,True,5e-06
331,45680,0,20890,0.7249999909375001,0.1,20000,True,5e-06
336,46052,0,21076,0.5624999929687501,0.1,20000,True,5e-06
341,46405,0,21247,0.6374999920312501,0.1,20000,True,5e-06
346,46793,0,21421,0.6701030858752259,0.1,20000,True,5e-06
351,47607,0,21750,0.6493506409175241,0.1,20000,True,5e-06
356,48387,0,22074,0.6176470497404846,0.1,20000,True,5e-06
361,48750,0,22250,0.7261904675453515,0.1,20000,True,5e-06
366,49506,1,22590,0.6212121117998165,0.1,20000,True,5e-06
371,50299,0,22928,0.5657894662396123,0.1,20000,True,5e-06
376,50662,0,23118,0.6578947281855957,0.1,20000,True,5e-06
381,51017,0,23289,0.6081080998904311,0.1,20000,True,5e-06
386,51360,0,23468,0.6999999883333335,0.1,20000,True,5e-06
391,52567,0,23852,0.397999999204,0.1,20000,True,5e-06
396,52906,0,24040,0.5892857037627554,0.1,20000,True,5e-06
401,53676,0,24185,0.385999999228,0.1,20000,True,5e-06
406,54051,0,24354,0.5645161199271593,0.1,20000,True,5e-06
411,54385,0,24511,0.6923076816568049,0.1,20000,True,5e-06
416,55575,1,24943,0.6666666574074076,0.1,20000,True,5e-06
421,55939,1,25133,0.5689655074316292,0.1,20000,True,5e-06
426,56321,0,25319,0.6666666574074076,0.1,20000,True,5e-06
431,57072,0,25634,0.4727272641322316,0.1,20000,True,5e-06
436,57866,0,25916,0.5753424578720211,0.1,20000,True,5e-06
441,58242,0,26087,0.5876288599213519,0.1,20000,True,5e-06
446,58608,0,26260,0.5810810732286341,0.1,20000,True,5e-06
451,59015,0,26449,0.5714285646258505,0.1,20000,True,5e-06
456,59413,1,26654,0.6527777687114199,0.1,20000,True,5e-06
461,59739,0,26808,0.5762711766733699,0.1,20000,True,5e-06
