Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,500000,True,1e-07
1,200,0,0,0.9045226085199869,0.1,500000,True,1e-07
6,1177,0,801,0.8953488267982694,0.1,500000,True,1e-07
11,1795,0,1209,0.8652482208138425,0.1,500000,True,1e-07
16,2368,0,1638,0.7946428500478318,0.1,500000,True,1e-07
21,3274,0,1997,0.835999998328,0.1,500000,True,1e-07
26,5044,0,3276,0.8579234925796531,0.1,500000,True,1e-07
31,6469,0,4257,0.9032258006243497,0.1,500000,True,1e-07
36,7634,0,5110,0.9069767371552191,0.1,500000,True,1e-07
41,8263,0,5522,0.8533333276444445,0.1,500000,True,1e-07
46,9229,0,5899,0.75999999848,0.1,500000,True,1e-07
51,9940,0,6304,0.7935779780111102,0.1,500000,True,1e-07
56,10876,0,6881,0.8130841045506159,0.1,500000,True,1e-07
61,12209,0,7682,0.8303571354432399,0.1,500000,True,1e-07
66,12779,0,8022,0.700934572888462,0.1,500000,True,1e-07
71,13339,0,8349,0.8399999932800001,0.1,500000,True,1e-07
76,13896,0,8675,0.6722689019137067,0.1,500000,True,1e-07
81,14470,0,8986,0.7787610550552119,0.1,500000,True,1e-07
86,15007,1,9284,0.6486486428049671,0.1,500000,True,1e-07
91,15531,0,9574,0.6568627386582084,0.1,500000,True,1e-07
96,16054,0,9852,0.611650479498539,0.1,500000,True,1e-07
101,16594,1,10124,0.6666666611111112,0.1,500000,True,1e-07
106,17144,0,10429,0.8199999918,0.1,500000,True,1e-07
111,17697,0,10716,0.710743795778977,0.1,500000,True,1e-07
116,18252,0,11001,0.6666666611111112,0.1,500000,True,1e-07
121,18788,0,11291,0.6057692249445267,0.1,500000,True,1e-07
126,19329,0,11552,0.698275856049346,0.1,500000,True,1e-07
131,19885,0,11833,0.5555555504115227,0.1,500000,True,1e-07
136,20453,0,12124,0.7666666602777779,0.1,500000,True,1e-07
141,21024,1,12410,0.6719999946240001,0.1,500000,True,1e-07
146,21564,0,12678,0.6666666603174604,0.1,500000,True,1e-07
151,22136,0,12983,0.5940594000588179,0.1,500000,True,1e-07
156,22739,0,13298,0.6779660959494399,0.1,500000,True,1e-07
161,23286,0,13560,0.6132075413848346,0.1,500000,True,1e-07
166,23846,0,13822,0.5714285659863946,0.1,500000,True,1e-07
171,24389,0,14083,0.611650479498539,0.1,500000,True,1e-07
176,24935,1,14318,0.5862068914982165,0.1,500000,True,1e-07
181,25531,1,14594,0.5438596443521084,0.1,500000,True,1e-07
186,26089,0,14854,0.605263152585411,0.1,500000,True,1e-07
191,26616,1,15090,0.5384615332840237,0.1,500000,True,1e-07
196,27134,0,15306,0.5299999947,0.1,500000,True,1e-07
201,27670,0,15532,0.5304347779962193,0.1,500000,True,1e-07
206,28353,0,15861,0.599999995,0.1,500000,True,1e-07
211,28915,1,16137,0.4799999952000001,0.1,500000,True,1e-07
216,29456,0,16369,0.5535714236288266,0.1,500000,True,1e-07
221,30017,0,16623,0.513043473799622,0.1,500000,True,1e-07
226,30564,0,16831,0.4957983151613587,0.1,500000,True,1e-07
231,31128,0,17079,0.47572815072108593,0.1,500000,True,1e-07
236,31648,0,17292,0.49999999519230776,0.1,500000,True,1e-07
241,32176,0,17536,0.4199999958,0.1,500000,True,1e-07
246,32703,1,17777,0.5714285659863946,0.1,500000,True,1e-07
251,33239,0,18023,0.48514851004803455,0.1,500000,True,1e-07
256,33833,1,18242,0.5688073342311254,0.1,500000,True,1e-07
261,34394,1,18465,0.5658914684814615,0.1,500000,True,1e-07
266,34908,0,18656,0.42718446187199555,0.1,500000,True,1e-07
271,35439,0,18899,0.510204076426489,0.1,500000,True,1e-07
276,35972,0,19122,0.6190476131519275,0.1,500000,True,1e-07
281,36598,0,19418,0.537037032064472,0.1,500000,True,1e-07
286,37111,0,19644,0.44117646626297585,0.1,500000,True,1e-07
291,37629,0,19859,0.3564356400352907,0.1,500000,True,1e-07
296,38168,0,20083,0.5688073342311254,0.1,500000,True,1e-07
301,38815,0,20389,0.45370369950274353,0.1,500000,True,1e-07
306,39381,0,20643,0.4736842063711912,0.1,500000,True,1e-07
311,39922,0,20904,0.4499999955000001,0.1,500000,True,1e-07
316,40488,1,21147,0.5544554400548967,0.1,500000,True,1e-07
321,41180,0,21466,0.5439999956480001,0.1,500000,True,1e-07
326,41694,0,21658,0.4476190433560091,0.1,500000,True,1e-07
331,42233,0,21876,0.5277777728909465,0.1,500000,True,1e-07
336,42759,1,22088,0.4571428527891157,0.1,500000,True,1e-07
341,43282,0,22293,0.5436893151098124,0.1,500000,True,1e-07
346,43834,0,22526,0.5377358439836242,0.1,500000,True,1e-07
351,44355,0,22741,0.5686274454056133,0.1,500000,True,1e-07
356,44905,1,22969,0.4901960736255287,0.1,500000,True,1e-07
361,45439,1,23185,0.495934955317602,0.1,500000,True,1e-07
366,45967,0,23389,0.5096153797152367,0.1,500000,True,1e-07
371,46531,0,23619,0.513043473799622,0.1,500000,True,1e-07
376,47062,0,23835,0.578947363342567,0.1,500000,True,1e-07
381,47561,1,24041,0.4948453557232438,0.1,500000,True,1e-07
386,48117,1,24273,0.5588235239331028,0.1,500000,True,1e-07
391,48650,0,24473,0.4913793061087991,0.1,500000,True,1e-07
396,49211,0,24687,0.6204379516756354,0.1,500000,True,1e-07
401,49754,0,24912,0.4242424199571473,0.1,500000,True,1e-07
406,50283,0,25126,0.5614035038473377,0.1,500000,True,1e-07
411,50831,0,25349,0.4356435600431331,0.1,500000,True,1e-07
416,51391,0,25562,0.47457626716460793,0.1,500000,True,1e-07
421,52076,1,25861,0.4038461499630178,0.1,500000,True,1e-07
