Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,500000,True,1e-07
1,187,0,0,0.8440860169672795,0.1,500000,True,1e-07
6,999,0,532,0.8082191670106964,0.1,500000,True,1e-07
11,2775,0,1672,0.9107142775829082,0.1,500000,True,1e-07
16,4404,0,2605,0.8685714236081633,0.1,500000,True,1e-07
21,5698,0,3139,0.52999999894,0.1,500000,True,1e-07
26,6531,0,3417,0.595999998808,0.1,500000,True,1e-07
31,7383,0,3699,0.567999998864,0.1,500000,True,1e-07
36,7798,1,4007,0.8813559172651539,0.1,500000,True,1e-07
41,9450,1,4725,0.657999998684,0.1,500000,True,1e-07
46,9859,0,4997,0.8101265720237143,0.1,500000,True,1e-07
51,11045,0,5752,0.9090908884297526,0.1,500000,True,1e-07
56,11938,1,6085,0.517999998964,0.1,500000,True,1e-07
61,13171,1,6720,0.8064516063995838,0.1,500000,True,1e-07
66,13913,0,7134,0.8333333159722226,0.1,500000,True,1e-07
71,14302,0,7409,0.8947368264081259,0.1,500000,True,1e-07
76,15982,0,8134,0.497999999004,0.1,500000,True,1e-07
81,16926,0,8664,0.8372092925905896,0.1,500000,True,1e-07
86,17308,0,8910,0.8749999890625002,0.1,500000,True,1e-07
91,18073,0,9445,0.8730158591584785,0.1,500000,True,1e-07
96,19407,0,10292,0.9213483042545134,0.1,500000,True,1e-07
101,20191,0,10794,0.7466666567111113,0.1,500000,True,1e-07
106,20906,0,11165,0.8245613890427826,0.1,500000,True,1e-07
111,21696,1,11406,0.485999999028,0.1,500000,True,1e-07
116,22475,0,11828,0.9538461391715979,0.1,500000,True,1e-07
121,23335,0,12108,0.5079999989840001,0.1,500000,True,1e-07
126,24256,0,12682,0.827586199762188,0.1,500000,True,1e-07
131,24632,0,12938,0.8593749865722659,0.1,500000,True,1e-07
136,25562,0,13470,0.8392857067920919,0.1,500000,True,1e-07
141,27216,0,14198,0.595999998808,0.1,500000,True,1e-07
146,28399,0,15054,0.9302325365062202,0.1,500000,True,1e-07
151,29474,0,15749,0.8461538368554523,0.1,500000,True,1e-07
156,30396,0,16387,0.810810803506209,0.1,500000,True,1e-07
161,31361,0,16937,0.8349514482043549,0.1,500000,True,1e-07
166,32275,1,17420,0.8805031391163325,0.1,500000,True,1e-07
171,32702,0,17696,0.8023255720659818,0.1,500000,True,1e-07
176,33186,0,18031,0.806451599895942,0.1,500000,True,1e-07
181,33569,0,18290,0.8765431990550223,0.1,500000,True,1e-07
186,33976,0,18513,0.8918918858655954,0.1,500000,True,1e-07
191,34280,0,18733,0.8999999775000006,0.1,500000,True,1e-07
196,34647,0,19002,0.8490565877536493,0.1,500000,True,1e-07
201,35838,1,19784,0.8260869385633275,0.1,500000,True,1e-07
206,37078,0,20247,0.551999998896,0.1,500000,True,1e-07
211,37811,0,20674,0.8478260685255203,0.1,500000,True,1e-07
216,38721,0,21218,0.7571428463265308,0.1,500000,True,1e-07
221,39944,0,21931,0.9193548238813738,0.1,500000,True,1e-07
226,40745,0,22406,0.763157884695291,0.1,500000,True,1e-07
231,41557,0,22929,0.7843137178008459,0.1,500000,True,1e-07
236,42850,0,23827,0.8369565126417771,0.1,500000,True,1e-07
241,43604,0,24273,0.8627450895809305,0.1,500000,True,1e-07
246,44800,0,25079,0.9117646924740487,0.1,500000,True,1e-07
251,45630,0,25349,0.5719999988560001,0.1,500000,True,1e-07
256,46389,0,25756,0.717948699539777,0.1,500000,True,1e-07
261,47187,0,26343,0.9038461364644974,0.1,500000,True,1e-07
266,48144,0,26725,0.593999998812,0.1,500000,True,1e-07
271,49075,1,27330,0.8434782535349717,0.1,500000,True,1e-07
276,49928,0,27615,0.341999999316,0.1,500000,True,1e-07
281,51106,0,28335,0.8169013969450508,0.1,500000,True,1e-07
286,51423,0,28550,0.799999987692308,0.1,500000,True,1e-07
291,53028,0,29636,0.6666666535947715,0.1,500000,True,1e-07
296,54678,0,30708,0.8235293996539794,0.1,500000,True,1e-07
301,55951,0,31254,0.493999999012,0.1,500000,True,1e-07
306,56850,1,31774,0.9058823422837372,0.1,500000,True,1e-07
311,57826,0,32166,0.795999998408,0.1,500000,True,1e-07
316,58282,0,32447,0.8691588703816928,0.1,500000,True,1e-07
321,59165,0,33024,0.8857142793877552,0.1,500000,True,1e-07
326,59929,1,33244,0.55999999888,0.1,500000,True,1e-07
331,60738,1,33709,0.8771929670667901,0.1,500000,True,1e-07
336,61070,0,33920,0.9718309722277328,0.1,500000,True,1e-07
341,62312,0,34384,0.46999999906,0.1,500000,True,1e-07
346,62707,0,34665,0.8124999873046878,0.1,500000,True,1e-07
351,63932,0,35285,0.8351648259871998,0.1,500000,True,1e-07
356,65167,0,36021,0.8888888812915481,0.1,500000,True,1e-07
361,65896,0,36550,0.7906976560302871,0.1,500000,True,1e-07
366,66259,0,36829,0.8048780291493164,0.1,500000,True,1e-07
371,67418,0,37543,0.8392856992984697,0.1,500000,True,1e-07
376,68211,0,37790,0.43999999912,0.1,500000,True,1e-07
381,69405,0,38637,0.8958333146701394,0.1,500000,True,1e-07
386,69766,0,38884,0.8135593082447575,0.1,500000,True,1e-07
391,70438,0,39179,0.7850467265263342,0.1,500000,True,1e-07
396,71217,0,39621,0.9565217183364845,0.1,500000,True,1e-07
401,72548,0,40459,0.8333333179012349,0.1,500000,True,1e-07
406,74179,0,41173,0.6359999987280001,0.1,500000,True,1e-07
411,74995,1,41760,0.8615384482840239,0.1,500000,True,1e-07
416,76195,0,42598,0.8749999878472224,0.1,500000,True,1e-07
421,76961,0,42808,0.71999999856,0.1,500000,True,1e-07
426,77704,0,43155,0.835616426909364,0.1,500000,True,1e-07
431,78522,0,43568,0.8306451545915714,0.1,500000,True,1e-07
436,79284,0,44031,0.8656716288705727,0.1,500000,True,1e-07
441,81344,0,45079,0.38999999922,0.1,500000,True,1e-07
446,82550,0,45836,0.8080807999183758,0.1,500000,True,1e-07
451,83894,0,46472,0.601999998796,0.1,500000,True,1e-07
456,84720,0,46996,0.8631578856509696,0.1,500000,True,1e-07
461,85691,1,47645,0.7872340258035314,0.1,500000,True,1e-07
466,86886,1,48385,0.91428570122449,0.1,500000,True,1e-07
471,88093,0,49093,0.7543859516774395,0.1,500000,True,1e-07
476,88901,0,49641,0.7777777669753089,0.1,500000,True,1e-07
481,89715,0,50058,0.8247422595387396,0.1,500000,True,1e-07
486,90677,1,50728,0.7972972865230097,0.1,500000,True,1e-07
491,91902,0,51291,0.6999999986000001,0.1,500000,True,1e-07
496,92615,1,51466,0.815999998368,0.1,500000,True,1e-07
501,93505,0,52074,0.8048780422367638,0.1,500000,True,1e-07
506,93949,1,52402,0.8199999836000004,0.1,500000,True,1e-07
511,95178,0,52933,0.743999998512,0.1,500000,True,1e-07
516,95621,0,53220,0.767676759922457,0.1,500000,True,1e-07
521,96490,1,53682,0.8790322509755464,0.1,500000,True,1e-07
526,97699,0,54514,0.9199999816000004,0.1,500000,True,1e-07
531,99324,1,55350,0.7966101559896585,0.1,500000,True,1e-07
536,100946,0,56466,0.7741935359001043,0.1,500000,True,1e-07
541,102627,1,57268,0.675999998648,0.1,500000,True,1e-07
546,102938,1,57474,0.8358208830474495,0.1,500000,True,1e-07
551,104590,0,58673,0.8876404394647142,0.1,500000,True,1e-07
556,105007,0,58985,0.7692307544378701,0.1,500000,True,1e-07
