Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,500000,True,1e-07
1,501,0,0,0.707999998584,0.1,500000,True,1e-07
6,1904,0,1078,0.903225791883455,0.1,500000,True,1e-07
11,3558,1,2051,0.787999998424,0.1,500000,True,1e-07
16,4827,0,3002,0.8363636287603307,0.1,500000,True,1e-07
21,5650,0,3289,0.86999999826,0.1,500000,True,1e-07
26,7700,0,4492,0.865999998268,0.1,500000,True,1e-07
31,9803,0,5886,0.844660185974173,0.1,500000,True,1e-07
36,10822,0,6329,0.885999998228,0.1,500000,True,1e-07
41,12094,0,6972,0.8499999983000001,0.1,500000,True,1e-07
46,13370,0,7617,0.855999998288,0.1,500000,True,1e-07
51,14385,0,8461,0.9104477476052575,0.1,500000,True,1e-07
56,14810,0,8712,0.8214285655612246,0.1,500000,True,1e-07
61,15566,0,9134,0.8888888855967079,0.1,500000,True,1e-07
66,16775,0,9739,0.827999998344,0.1,500000,True,1e-07
71,17539,0,10301,0.9638554100740312,0.1,500000,True,1e-07
76,17968,0,10526,0.8988095184594672,0.1,500000,True,1e-07
81,19749,0,11527,0.681999998636,0.1,500000,True,1e-07
86,20216,0,11842,0.834862377661813,0.1,500000,True,1e-07
91,22332,0,13156,0.82999999834,0.1,500000,True,1e-07
96,23248,0,13809,0.9009008927846767,0.1,500000,True,1e-07
101,23575,0,14035,0.8666666551111113,0.1,500000,True,1e-07
106,24504,0,14756,0.8624999892187502,0.1,500000,True,1e-07
111,25357,1,15389,0.8850574610912936,0.1,500000,True,1e-07
116,26633,0,16394,0.9074073906035669,0.1,500000,True,1e-07
121,27885,0,17405,0.8196721177102931,0.1,500000,True,1e-07
126,28828,0,17786,0.735999998528,0.1,500000,True,1e-07
131,30070,1,18392,0.82999999834,0.1,500000,True,1e-07
136,31765,0,19595,0.9545454436983473,0.1,500000,True,1e-07
141,32956,0,20389,0.9021739032372402,0.1,500000,True,1e-07
146,33750,0,21018,0.8727272568595045,0.1,500000,True,1e-07
151,34325,0,21438,0.8888888799102134,0.1,500000,True,1e-07
156,35696,1,22200,0.911999998176,0.1,500000,True,1e-07
161,36523,0,22482,0.741999998516,0.1,500000,True,1e-07
166,37393,0,23097,0.8571428448979594,0.1,500000,True,1e-07
171,38928,0,23815,0.8666666642592593,0.1,500000,True,1e-07
176,39939,0,24508,0.900990090089207,0.1,500000,True,1e-07
181,42053,0,26169,0.8508771855186212,0.1,500000,True,1e-07
186,42922,1,26858,0.8795180616925535,0.1,500000,True,1e-07
191,43665,0,27418,0.783333320277778,0.1,500000,True,1e-07
196,44898,0,28016,0.885999998228,0.1,500000,True,1e-07
201,46873,0,29196,0.87999999824,0.1,500000,True,1e-07
206,47712,0,29507,0.873999998252,0.1,500000,True,1e-07
211,48715,0,30269,0.8943661908847451,0.1,500000,True,1e-07
216,50424,0,31235,0.62999999874,0.1,500000,True,1e-07
221,52476,0,32508,0.75999999848,0.1,500000,True,1e-07
226,53990,0,33735,0.8961038844661834,0.1,500000,True,1e-07
231,55247,0,34414,0.551999998896,0.1,500000,True,1e-07
236,56972,1,35310,0.83999999832,0.1,500000,True,1e-07
241,58418,0,36495,0.8902438915823916,0.1,500000,True,1e-07
246,60232,1,37832,0.880184327741086,0.1,500000,True,1e-07
251,61749,0,38720,0.741999998516,0.1,500000,True,1e-07
256,63064,0,39821,0.8985507116152072,0.1,500000,True,1e-07
261,64586,0,40703,0.895999998208,0.1,500000,True,1e-07
266,65899,1,41432,0.593999998812,0.1,500000,True,1e-07
271,67517,0,42571,0.8518518360768179,0.1,500000,True,1e-07
276,68362,1,43141,0.8679245201139196,0.1,500000,True,1e-07
281,70142,0,44512,0.9034090857760848,0.1,500000,True,1e-07
286,72386,0,45974,0.8819999982360001,0.1,500000,True,1e-07
291,73384,0,46643,0.8705357103993941,0.1,500000,True,1e-07
296,74197,1,47275,0.8235293956170707,0.1,500000,True,1e-07
301,76280,0,48269,0.81999999836,0.1,500000,True,1e-07
306,77078,0,48912,0.930555542631173,0.1,500000,True,1e-07
311,78266,0,49525,0.813999998372,0.1,500000,True,1e-07
316,79794,1,50413,0.897999998204,0.1,500000,True,1e-07
321,81540,1,51336,0.797999998404,0.1,500000,True,1e-07
326,83043,0,52417,0.9033816381479148,0.1,500000,True,1e-07
331,84414,0,53341,0.894736837396122,0.1,500000,True,1e-07
336,85769,0,54086,0.87999999824,0.1,500000,True,1e-07
341,87120,0,55131,0.8571428435374152,0.1,500000,True,1e-07
346,89243,0,56521,0.86999999826,0.1,500000,True,1e-07
351,91743,1,58004,0.86999999826,0.1,500000,True,1e-07
356,93810,0,59264,0.903999998192,0.1,500000,True,1e-07
361,95009,0,60201,0.8780487697798931,0.1,500000,True,1e-07
366,96214,0,60810,0.865999998268,0.1,500000,True,1e-07
371,97479,0,61803,0.9268292456870916,0.1,500000,True,1e-07
376,98785,0,62887,0.9213483042545134,0.1,500000,True,1e-07
381,99572,0,63514,0.8166666530555559,0.1,500000,True,1e-07
