Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,500000,True,1e-07
1,46,0,0,0.9111110908641981,0.1,500000,True,1e-07
6,1326,0,595,0.8246753193202901,0.1,500000,True,1e-07
11,2345,0,1016,0.355999999288,0.1,500000,True,1e-07
16,3621,0,1890,0.8163265139525202,0.1,500000,True,1e-07
21,4922,0,2466,0.355999999288,0.1,500000,True,1e-07
26,5920,0,3079,0.8775510168263224,0.1,500000,True,1e-07
31,6715,0,3606,0.8999999850000003,0.1,500000,True,1e-07
36,7923,0,4162,0.68999999862,0.1,500000,True,1e-07
41,9131,0,4858,0.8181817995867773,0.1,500000,True,1e-07
46,10785,0,5558,0.501999998996,0.1,500000,True,1e-07
51,11989,0,6341,0.8688524447729108,0.1,500000,True,1e-07
56,12902,0,6681,0.485999999028,0.1,500000,True,1e-07
61,13291,0,6909,0.8499999929166667,0.1,500000,True,1e-07
66,14515,0,7709,0.8453608160272081,0.1,500000,True,1e-07
71,15704,1,8470,0.8955223746936959,0.1,500000,True,1e-07
76,16953,0,8976,0.655999998688,0.1,500000,True,1e-07
81,17584,0,9411,0.8205128134998905,0.1,500000,True,1e-07
86,17971,0,9698,0.8793103296670634,0.1,500000,True,1e-07
91,19307,1,10333,0.697999998604,0.1,500000,True,1e-07
96,20069,1,10736,0.8558558481454428,0.1,500000,True,1e-07
101,20882,0,11189,0.9056603602705593,0.1,500000,True,1e-07
106,21646,0,11722,0.8474576127549558,0.1,500000,True,1e-07
111,22856,0,12436,0.8615384482840239,0.1,500000,True,1e-07
116,23228,0,12692,0.8135593082447575,0.1,500000,True,1e-07
121,24100,0,13170,0.7999999915789475,0.1,500000,True,1e-07
126,24951,0,13459,0.555999998888,0.1,500000,True,1e-07
131,25285,0,13709,0.9545454328512403,0.1,500000,True,1e-07
136,26069,0,13954,0.747999998504,0.1,500000,True,1e-07
141,26876,0,14517,0.8837209096809091,0.1,500000,True,1e-07
146,27703,0,14988,0.7741935359001043,0.1,500000,True,1e-07
151,28075,0,15230,0.8799999912000002,0.1,500000,True,1e-07
156,28431,0,15416,0.8970588169333911,0.1,500000,True,1e-07
161,29801,0,16140,0.551999998896,0.1,500000,True,1e-07
166,30697,0,16710,0.8499999939285715,0.1,500000,True,1e-07
171,32014,0,17554,0.8627450924003589,0.1,500000,True,1e-07
176,32772,0,18092,0.8275861926278243,0.1,500000,True,1e-07
181,33140,0,18352,0.7794117532439448,0.1,500000,True,1e-07
186,33674,0,18702,0.8230088422742581,0.1,500000,True,1e-07
191,34416,1,19206,0.7586206765755056,0.1,500000,True,1e-07
