Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,500000,True,1e-07
1,86,0,0,0.8117646963321801,0.1,500000,True,1e-07
6,1734,1,803,0.567999998864,0.1,500000,True,1e-07
11,3812,0,1943,0.701999998596,0.1,500000,True,1e-07
16,5416,0,2951,0.6666666527777781,0.1,500000,True,1e-07
21,5805,0,3163,0.8260869493383743,0.1,500000,True,1e-07
26,6997,0,3843,0.7254901818531337,0.1,500000,True,1e-07
31,8167,0,4521,0.8333333207070709,0.1,500000,True,1e-07
36,9323,1,4960,0.653999998692,0.1,500000,True,1e-07
41,9866,1,5265,0.7806451562539022,0.1,500000,True,1e-07
46,10115,0,5396,0.76923075739645,0.1,500000,True,1e-07
51,10826,1,5747,0.7111110953086424,0.1,500000,True,1e-07
56,11136,0,5936,0.6666666584362141,0.1,500000,True,1e-07
61,11420,1,6113,0.6739130288279777,0.1,500000,True,1e-07
66,12240,0,6596,0.8632478558696765,0.1,500000,True,1e-07
71,12769,0,6903,0.6262626199367413,0.1,500000,True,1e-07
76,13114,1,7083,0.6899999931,0.1,500000,True,1e-07
81,13890,1,7285,0.49999999900000003,0.1,500000,True,1e-07
86,14245,1,7495,0.5869565089792064,0.1,500000,True,1e-07
91,14670,0,7705,0.535353529945924,0.1,500000,True,1e-07
96,15088,0,7923,0.6136363566632232,0.1,500000,True,1e-07
101,15846,1,8087,0.431999999136,0.1,500000,True,1e-07
106,16152,1,8273,0.6521738988657848,0.1,500000,True,1e-07
111,16568,0,8518,0.3658536496133256,0.1,500000,True,1e-07
116,16995,1,8710,0.6285714225850341,0.1,500000,True,1e-07
121,17837,1,9030,0.566176466425173,0.1,500000,True,1e-07
126,18628,0,9217,0.381999999236,0.1,500000,True,1e-07
131,18923,1,9360,0.6666666527777781,0.1,500000,True,1e-07
136,20148,1,9639,0.335999999328,0.1,500000,True,1e-07
141,20465,1,9744,0.5862068914982165,0.1,500000,True,1e-07
146,20847,1,9913,0.6249999902343751,0.1,500000,True,1e-07
151,21581,1,10219,0.5121951094586559,0.1,500000,True,1e-07
156,22794,1,10755,0.6923076816568049,0.1,500000,True,1e-07
161,23491,1,10870,0.293999999412,0.1,500000,True,1e-07
166,24243,0,11120,0.5631067906494487,0.1,500000,True,1e-07
171,25053,1,11410,0.5599999944,0.1,500000,True,1e-07
176,25426,1,11603,0.4805194742789679,0.1,500000,True,1e-07
181,25800,1,11764,0.5360824687001807,0.1,500000,True,1e-07
186,26620,0,12045,0.540540535670806,0.1,500000,True,1e-07
191,27461,1,12363,0.648351641226905,0.1,500000,True,1e-07
196,27848,1,12531,0.44086021031333106,0.1,500000,True,1e-07
201,28386,1,12761,0.6249999944196429,0.1,500000,True,1e-07
206,29231,1,13120,0.714285697278912,0.1,500000,True,1e-07
211,29625,1,13270,0.4811320709327163,0.1,500000,True,1e-07
216,30437,1,13554,0.5555555432098769,0.1,500000,True,1e-07
221,31322,1,13866,0.50420167643528,0.1,500000,True,1e-07
226,32151,1,14053,0.517999998964,0.1,500000,True,1e-07
231,32562,1,14212,0.570093452615949,0.1,500000,True,1e-07
236,33377,0,14373,0.231999999536,0.1,500000,True,1e-07
241,34177,1,14652,0.5199999896000003,0.1,500000,True,1e-07
246,35347,0,14890,0.265999999468,0.1,500000,True,1e-07
251,36547,0,15332,0.4693877455226991,0.1,500000,True,1e-07
256,36855,1,15465,0.4888888780246916,0.1,500000,True,1e-07
261,37160,1,15612,0.3896103845505145,0.1,500000,True,1e-07
266,37532,1,15753,0.5619834664298887,0.1,500000,True,1e-07
271,37959,1,15924,0.4805194742789679,0.1,500000,True,1e-07
276,38668,0,16161,0.5777777649382719,0.1,500000,True,1e-07
281,39042,1,16319,0.6124999923437501,0.1,500000,True,1e-07
286,39860,0,16597,0.4489795826738861,0.1,500000,True,1e-07
291,40233,1,16775,0.42857142091836753,0.1,500000,True,1e-07
