Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.1,500000,True,3e-06
1,92,0,0,0.7472527390411787,0.1,500000,True,3e-06
6,1295,1,548,0.49999999900000003,0.1,500000,True,3e-06
11,2473,1,1119,0.8222222039506177,0.1,500000,True,3e-06
16,4169,0,1934,0.7380952205215424,0.1,500000,True,3e-06
21,5239,1,2398,0.6415094218583128,0.1,500000,True,3e-06
26,5574,0,2572,0.6428571313775513,0.1,500000,True,3e-06
31,6348,1,2854,0.5172413733650417,0.1,500000,True,3e-06
36,7537,1,3315,0.5777777649382719,0.1,500000,True,3e-06
41,8808,1,3834,0.7454545319008268,0.1,500000,True,3e-06
46,9193,0,4044,0.6382978587596201,0.1,500000,True,3e-06
51,9708,0,4274,0.4599999954000001,0.1,500000,True,3e-06
56,10449,1,4385,0.40999999918,0.1,500000,True,3e-06
61,11782,1,4722,0.367999999264,0.1,500000,True,3e-06
66,12880,1,5164,0.5454545399449037,0.1,500000,True,3e-06
71,13611,1,5414,0.47572815072108593,0.1,500000,True,3e-06
76,13883,0,5518,0.4946236505954446,0.1,500000,True,3e-06
81,14145,1,5620,0.5272727176859506,0.1,500000,True,3e-06
86,14922,1,5861,0.6249999869791669,0.1,500000,True,3e-06
91,15705,0,6108,0.4352941125259516,0.1,500000,True,3e-06
96,16525,1,6394,0.41176470103806234,0.1,500000,True,3e-06
101,17420,1,6672,0.2558139505137913,0.1,500000,True,3e-06
106,17762,0,6814,0.4358974247205789,0.1,500000,True,3e-06
111,18125,1,6940,0.3966942115975685,0.1,500000,True,3e-06
116,18372,1,7033,0.49122806155740245,0.1,500000,True,3e-06
121,19204,1,7277,0.47572815072108593,0.1,500000,True,3e-06
126,19565,0,7436,0.5517241284185496,0.1,500000,True,3e-06
131,20258,1,7660,0.6153846035502961,0.1,500000,True,3e-06
136,21056,1,7892,0.5999999900000001,0.1,500000,True,3e-06
141,21746,0,8106,0.39583332508680574,0.1,500000,True,3e-06
146,22575,1,8314,0.45599999635200006,0.1,500000,True,3e-06
151,23002,1,8457,0.3599999964,0.1,500000,True,3e-06
156,23822,0,8706,0.5897435746219597,0.1,500000,True,3e-06
161,24170,1,8829,0.261538457514793,0.1,500000,True,3e-06
166,24955,1,8999,0.3225806416926813,0.1,500000,True,3e-06
171,25734,1,9180,0.4503816759512849,0.1,500000,True,3e-06
176,26023,1,9293,0.36559139391837214,0.1,500000,True,3e-06
181,26411,1,9428,0.5576922969674558,0.1,500000,True,3e-06
186,26863,1,9603,0.45631067518144974,0.1,500000,True,3e-06
191,28091,1,9816,0.405999999188,0.1,500000,True,3e-06
196,28482,1,9960,0.44827585691636945,0.1,500000,True,3e-06
201,29290,1,10218,0.5315315267429592,0.1,500000,True,3e-06
206,29660,0,10382,0.5581395219037321,0.1,500000,True,3e-06
211,30205,1,10597,0.49999999553571434,0.1,500000,True,3e-06
216,30978,1,10722,0.24199999951600001,0.1,500000,True,3e-06
221,31364,1,10864,0.5409835976887934,0.1,500000,True,3e-06
226,31680,1,10999,0.4999999895833336,0.1,500000,True,3e-06
231,32443,1,11250,0.4199999916000002,0.1,500000,True,3e-06
236,33175,1,11355,0.405999999188,0.1,500000,True,3e-06
241,34449,1,11719,0.31428571129251703,0.1,500000,True,3e-06
246,35242,1,11845,0.225999999548,0.1,500000,True,3e-06
251,35561,1,11961,0.3866666615111112,0.1,500000,True,3e-06
256,36804,1,12251,0.32291666330295143,0.1,500000,True,3e-06
261,37144,1,12402,0.3095238021541952,0.1,500000,True,3e-06
266,38003,1,12679,0.4356435600431331,0.1,500000,True,3e-06
271,38803,1,12890,0.4545454462809919,0.1,500000,True,3e-06
276,39131,1,13001,0.29629629080932796,0.1,500000,True,3e-06
281,40452,1,13253,0.18999999962,0.1,500000,True,3e-06
286,41666,1,13426,0.267999999464,0.1,500000,True,3e-06
291,42534,1,13582,0.245999999508,0.1,500000,True,3e-06
296,42954,1,13698,0.4095238056235828,0.1,500000,True,3e-06
301,43302,1,13797,0.47142856469387767,0.1,500000,True,3e-06
306,43762,0,13933,0.3586956482750473,0.1,500000,True,3e-06
311,44646,1,14148,0.4370370337997257,0.1,500000,True,3e-06
316,45832,1,14288,0.205999999588,0.1,500000,True,3e-06
321,46194,1,14406,0.3223140469230244,0.1,500000,True,3e-06
326,47025,1,14639,0.3809523718820864,0.1,500000,True,3e-06
331,47392,0,14750,0.33333332996633,0.1,500000,True,3e-06
336,47721,0,14865,0.38983050186727963,0.1,500000,True,3e-06
341,48092,1,14989,0.4032258031997919,0.1,500000,True,3e-06
346,48872,0,15172,0.36904761465419506,0.1,500000,True,3e-06
351,49290,1,15298,0.2999999950000001,0.1,500000,True,3e-06
356,49684,1,15408,0.4488188941037882,0.1,500000,True,3e-06
361,50417,1,15559,0.39705881769031154,0.1,500000,True,3e-06
366,51147,1,15738,0.2999999950000001,0.1,500000,True,3e-06
371,51876,0,15888,0.40540539992695407,0.1,500000,True,3e-06
376,52680,1,16095,0.4693877455226991,0.1,500000,True,3e-06
381,53941,1,16273,0.18999999962,0.1,500000,True,3e-06
386,54292,1,16381,0.35483870586194943,0.1,500000,True,3e-06
391,55067,1,16620,0.3414634063057706,0.1,500000,True,3e-06
396,55827,1,16777,0.49074073619684505,0.1,500000,True,3e-06
401,56162,1,16896,0.33333332716049396,0.1,500000,True,3e-06
406,56634,1,17020,0.4606741521272567,0.1,500000,True,3e-06
411,56988,0,17117,0.3263157860387812,0.1,500000,True,3e-06
416,57291,0,17206,0.4999999950980393,0.1,500000,True,3e-06
421,57628,1,17312,0.4166666579861113,0.1,500000,True,3e-06
426,58306,1,17588,0.38775509808413167,0.1,500000,True,3e-06
431,58707,1,17732,0.4130434737712666,0.1,500000,True,3e-06
436,59499,1,17902,0.4599999908000002,0.1,500000,True,3e-06
441,60284,1,18122,0.47457626314277523,0.1,500000,True,3e-06
446,61075,0,18364,0.4588235240138409,0.1,500000,True,3e-06
451,61438,0,18471,0.29473683900277015,0.1,500000,True,3e-06
456,61833,1,18588,0.4299999957,0.1,500000,True,3e-06
461,62767,1,18776,0.3055555527263375,0.1,500000,True,3e-06
466,63089,0,18865,0.39090908735537194,0.1,500000,True,3e-06
471,63405,1,18986,0.4634146228435458,0.1,500000,True,3e-06
476,64157,1,19162,0.46153845562130186,0.1,500000,True,3e-06
481,64548,1,19318,0.43859648353339503,0.1,500000,True,3e-06
486,65321,1,19523,0.4999999907407409,0.1,500000,True,3e-06
491,65638,0,19625,0.30357142315051033,0.1,500000,True,3e-06
496,65925,1,19725,0.357142848639456,0.1,500000,True,3e-06
501,66727,1,19896,0.47727271642562014,0.1,500000,True,3e-06
506,67488,1,20159,0.27083332769097235,0.1,500000,True,3e-06
511,68002,1,20312,0.32098765035817717,0.1,500000,True,3e-06
516,69145,1,20499,0.197999999604,0.1,500000,True,3e-06
521,69988,1,20631,0.233999999532,0.1,500000,True,3e-06
526,70835,1,20817,0.32911391988463395,0.1,500000,True,3e-06
531,71516,0,20981,0.3333333259259261,0.1,500000,True,3e-06
