Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,500000,True,5e-07
1,501,0,0,0.801999998396,0.1,500000,True,5e-07
6,1276,0,383,0.8539325746749149,0.1,500000,True,5e-07
11,3776,1,1519,0.685999998628,0.1,500000,True,5e-07
16,4601,0,2028,0.7761193914012031,0.1,500000,True,5e-07
21,6239,0,2801,0.8035714142219391,0.1,500000,True,5e-07
26,7754,1,3439,0.5719999988560001,0.1,500000,True,5e-07
31,8949,1,3923,0.8571428396501461,0.1,500000,True,5e-07
36,10566,1,4443,0.413999999172,0.1,500000,True,5e-07
41,11764,0,4974,0.868421029778394,0.1,500000,True,5e-07
46,12195,1,5223,0.8363636211570251,0.1,500000,True,5e-07
51,12967,1,5562,0.6666666611111112,0.1,500000,True,5e-07
56,14568,0,6227,0.5999999890909093,0.1,500000,True,5e-07
61,15306,1,6507,0.6888888735802473,0.1,500000,True,5e-07
66,15694,1,6751,0.7551020254060812,0.1,500000,True,5e-07
71,16208,1,7063,0.6122448854643902,0.1,500000,True,5e-07
76,16969,0,7234,0.295999999408,0.1,500000,True,5e-07
81,17766,1,7577,0.5797101365259401,0.1,500000,True,5e-07
86,18537,1,7755,0.505999998988,0.1,500000,True,5e-07
91,19292,1,7906,0.437999999124,0.1,500000,True,5e-07
96,20103,1,8326,0.5918367286547273,0.1,500000,True,5e-07
101,20867,0,8629,0.6101694811835682,0.1,500000,True,5e-07
106,21709,0,9073,0.727272714049587,0.1,500000,True,5e-07
111,22963,1,9425,0.485999999028,0.1,500000,True,5e-07
116,23761,1,9806,0.6538461454635109,0.1,500000,True,5e-07
121,25376,1,10198,0.37999999924,0.1,500000,True,5e-07
126,25827,0,10467,0.7799999844000004,0.1,500000,True,5e-07
131,26615,0,10863,0.5813953353163875,0.1,500000,True,5e-07
136,27098,1,11135,0.781818167603306,0.1,500000,True,5e-07
141,27482,1,11294,0.46874999633789066,0.1,500000,True,5e-07
146,28556,0,11745,0.8048780291493164,0.1,500000,True,5e-07
151,28962,1,11939,0.5058823469896194,0.1,500000,True,5e-07
156,29305,0,12105,0.6249999913194446,0.1,500000,True,5e-07
161,30264,0,12405,0.5544041422051599,0.1,500000,True,5e-07
166,30711,0,12638,0.5671641748719092,0.1,500000,True,5e-07
171,31510,1,13097,0.676056328506249,0.1,500000,True,5e-07
176,32398,1,13328,0.28999999942,0.1,500000,True,5e-07
181,33187,1,13703,0.7457626992243611,0.1,500000,True,5e-07
186,33579,1,13922,0.6499999837500005,0.1,500000,True,5e-07
191,33842,0,14051,0.6249999843750005,0.1,500000,True,5e-07
196,34240,1,14223,0.6666666597222223,0.1,500000,True,5e-07
201,34639,1,14426,0.5504587105462504,0.1,500000,True,5e-07
206,35791,0,14919,0.6304347689035921,0.1,500000,True,5e-07
211,36542,1,15094,0.43999999912,0.1,500000,True,5e-07
216,37767,1,15506,0.6538461454635109,0.1,500000,True,5e-07
221,39043,1,15949,0.5185185137174212,0.1,500000,True,5e-07
226,39900,1,16225,0.6565656499336803,0.1,500000,True,5e-07
231,40303,1,16425,0.5285714210204083,0.1,500000,True,5e-07
236,41555,1,16715,0.257999999484,0.1,500000,True,5e-07
241,42770,1,17163,0.5172413748513675,0.1,500000,True,5e-07
246,43534,1,17337,0.431999999136,0.1,500000,True,5e-07
251,43910,0,17547,0.6458333198784726,0.1,500000,True,5e-07
256,45115,0,18075,0.7076922968047339,0.1,500000,True,5e-07
261,45475,1,18254,0.6129032192160945,0.1,500000,True,5e-07
