Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.9,0.1,500000,True,5e-07
1,57,0,0,0.8749999843750004,0.1,500000,True,5e-07
6,2131,0,919,0.481999999036,0.1,500000,True,5e-07
11,4181,0,1498,0.401999999196,0.1,500000,True,5e-07
16,5675,0,1968,0.593999998812,0.1,500000,True,5e-07
21,8175,0,2777,0.575999998848,0.1,500000,True,5e-07
26,10675,0,3656,0.515999998968,0.1,500000,True,5e-07
31,12282,0,4068,0.46999999906,0.1,500000,True,5e-07
36,13421,0,4464,0.387999999224,0.1,500000,True,5e-07
41,15204,0,5081,0.6312499960546876,0.1,500000,True,5e-07
46,16438,0,5434,0.28599999942800003,0.1,500000,True,5e-07
51,18243,0,5842,0.487999999024,0.1,500000,True,5e-07
56,19903,0,6212,0.491999999016,0.1,500000,True,5e-07
61,20751,1,6453,0.5434782549621929,0.1,500000,True,5e-07
66,21105,0,6559,0.5585585535264995,0.1,500000,True,5e-07
71,22772,0,7042,0.4117646998269897,0.1,500000,True,5e-07
76,24297,0,7459,0.2999999994,0.1,500000,True,5e-07
81,25662,1,7905,0.4403669684370003,0.1,500000,True,5e-07
86,26896,1,8232,0.331999999336,0.1,500000,True,5e-07
91,27789,0,8561,0.5757575670339763,0.1,500000,True,5e-07
96,28459,1,8814,0.47435897131821175,0.1,500000,True,5e-07
101,30244,1,9247,0.417999999164,0.1,500000,True,5e-07
106,30764,1,9497,0.7051281960881001,0.1,500000,True,5e-07
111,32404,0,9880,0.203999999592,0.1,500000,True,5e-07
116,33767,0,10365,0.6504854305778114,0.1,500000,True,5e-07
121,35060,0,10674,0.33858267449934903,0.1,500000,True,5e-07
126,36264,1,10935,0.293999999412,0.1,500000,True,5e-07
131,37215,1,11265,0.5187969885804737,0.1,500000,True,5e-07
136,38579,1,11543,0.195999999608,0.1,500000,True,5e-07
141,40066,0,11855,0.43785310610775957,0.1,500000,True,5e-07
146,41474,0,12126,0.263999999472,0.1,500000,True,5e-07
151,42777,0,12609,0.7291666514756948,0.1,500000,True,5e-07
156,44055,0,12890,0.217999999564,0.1,500000,True,5e-07
161,44800,0,13249,0.5865384558986687,0.1,500000,True,5e-07
166,46124,1,13728,0.4062499978841146,0.1,500000,True,5e-07
171,48033,1,14219,0.447999999104,0.1,500000,True,5e-07
