,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0
Accumulated time steps,0.0,59.0,368.0,686.0,1558.0,2184.0,2850.0,3172.0,3602.0,3958.0,4266.0,4608.0,4901.0,5229.0,6219.0,6546.0,6882.0,7194.0,7532.0,7852.0,8176.0,8484.0,8820.0,9165.0,9460.0,9745.0,10030.0,10578.0,10957.0,11240.0,11516.0,11808.0,12085.0,12414.0,12713.0,13003.0,13294.0,13587.0,14224.0,14521.0,14814.0,15109.0,15399.0,15674.0,15956.0,16234.0,16543.0,16826.0,17125.0,17403.0,17688.0,17965.0,18257.0,18541.0,18834.0,19125.0,19427.0,19707.0,20003.0,20279.0,20561.0,20844.0,21125.0,21521.0,21858.0,22144.0,22424.0,22723.0,23000.0,23276.0,23558.0,23857.0,24143.0,24429.0,24790.0,25071.0,25355.0,25630.0,25923.0,26217.0,26762.0,27058.0,27338.0,27638.0,27936.0,28226.0,28555.0,28840.0,29121.0,29406.0,29691.0,30406.0,30684.0,30987.0,31268.0,31556.0,31854.0,32134.0,32427.0,32714.0,32999.0,33282.0,33569.0,33864.0,34151.0,34437.0,34774.0,35077.0,35368.0,35648.0,35948.0,36244.0,36515.0,36796.0,37099.0,37384.0,37680.0,37962.0,38229.0,38517.0,38781.0,39072.0,39357.0,39639.0,39937.0,40238.0,40542.0,41042.0,41391.0,41878.0,42541.0,43248.0,43586.0,43888.0,44170.0,44530.0,44823.0,45227.0,45617.0,45994.0,46426.0,46750.0,47212.0,47521.0,48038.0,48349.0,48613.0,49048.0,49347.0,49631.0,49936.0,50337.0,50702.0,51123.0,51580.0,51979.0,52503.0,52847.0,53782.0,54208.0,54543.0,54974.0,55271.0,55576.0,56254.0,56720.0,57087.0,57642.0,57933.0,58276.0,58558.0,59059.0,59373.0,60031.0,60325.0
Episode reward,0.0,143.2390916853219,184.08183701494667,181.32998967902063,126.49775154095548,202.18219301167724,183.9602663371911,122.29132568419834,124.71660224578719,168.7573277608132,195.58554339752274,142.29313863338552,126.45559505134423,130.27790467522476,1401.4883195091627,142.9659927688082,128.3875683651714,183.26498980164982,127.37912153364009,195.69448779071945,177.71058620627335,164.4277400958186,327.7598056328275,356.70953049362254,131.64390050106397,159.22384490781474,123.98275588336617,1060.6748996385359,167.81821778186966,129.36312069684428,162.1881503311312,152.91038503792586,116.92438491037443,180.8719825785642,162.85018585512907,194.0765206966406,136.633267828307,117.69954058172293,179.34670340020898,179.0070997358537,163.24349364489854,155.61705449958666,173.58304241948417,120.00974356843001,147.71878934483564,183.90287755669655,183.8690474343715,136.09866872032478,131.53877574341965,141.6496422670741,164.98751349995584,116.58594387919685,170.4225774048929,112.79003925268209,186.33422380181133,169.51437237614076,165.36151696622807,118.48193182679175,163.5913904841238,173.21128514071984,157.208996456524,180.68012691542427,118.01659568332391,120.95177190598358,169.18189179183784,174.46605127699897,119.35838170367366,137.22764118454717,142.81503591652017,170.39739111451163,123.19964183530448,190.8594680013611,170.4747459081496,137.0550129784569,135.813233412036,179.10453828317034,164.41832233986534,131.65900400391064,166.03562168916284,156.42422572761018,1097.3557192527167,186.9643965637937,130.09598669342,173.58131236680404,160.57015077754482,168.1484847016903,168.6602643302123,174.91912206350256,157.43632018443836,165.83986702751758,172.82499081727082,1659.097598332547,130.86526451668695,176.32028950322209,144.58495284877492,155.99650489197728,166.03754695887307,188.4852288728207,130.4999967951681,169.2801488652845,147.85670446073854,123.35682181847714,126.26017841486515,171.29641824800413,121.8855745490983,145.16453909954694,185.6316874567325,163.40664624261427,187.4134885707436,173.2234494975124,147.34349416952884,133.65894332125234,177.58671116494332,158.03453865129953,168.38617275734327,181.3276525132974,129.57986587084392,159.89221477026047,150.30984757863084,170.49274079175012,157.6972215218887,166.03323808782696,135.82073117524814,156.6543991859165,169.18250406187178,178.99640072274468,196.0238266877702,236.13246125911456,168.6661333818013,109.45573267148526,143.68875465750608,172.97831417727895,160.8884033893182,176.93061141892198,142.6205449347653,263.7533062526797,170.34646978097567,191.57509612231385,202.962942357057,131.59827476584223,521.1309107483764,136.46610743344425,160.12409664722213,125.241670360321,177.97145405787006,124.95142268858926,122.66396905239675,169.68210166452116,152.42771221582174,165.46000390348993,128.565867372572,172.4714081805185,171.5734479171295,177.35823774686313,287.6219933586285,162.31367174127823,381.27612909916365,116.82131873080331,1220.1828927996849,150.99843242722895,182.87276836379584,611.4885422208257,120.67054989460398,183.12940274918057,251.56414467127505,176.41834068667953,122.99566401137528,121.4091855932949,123.11907884731676,187.60262480704583,114.11892027144634,199.28601374131577,183.9862390112911,174.08606256931054,141.025407326406
Episode feedback,0.8,0.7413792975624259,0.8181818057851242,0.7462686455780799,0.6027397177706888,0.6081080998904311,0.6999999900000001,0.6545454426446283,0.7192982329947679,0.6825396717057195,0.6428571336734695,0.4918032706261759,0.6428571313775513,0.5593220244182708,0.7148148121673525,0.6379310234839479,0.5925925816186559,0.523809515495087,0.55555554526749,0.7692307593688364,0.6190476092214665,0.5344827494054699,0.6542056013625644,0.5528455239606055,0.34482758026159344,0.285714280612245,0.45283018013527965,0.6485622982474049,0.48333332527777795,0.3684210461680518,0.6964285589923472,0.5454545355371903,0.47058822606689754,0.41935483194588985,0.44642856345663284,0.41791044152372475,0.3636363570247935,0.37254901230296056,0.6190476092214665,0.403225799947971,0.48275861236623085,0.32142856568877565,0.40983605885514657,0.37999999240000015,0.4074073998628259,0.499999991935484,0.3968253905265811,0.4107142783801022,0.2909090856198348,0.34482758026159344,0.41379309631391215,0.37254901230296056,0.42622950120935243,0.2916666605902779,0.27419354396462026,0.40983605885514657,0.24561403077870123,0.29999999400000016,0.3859649055093876,0.32258063995837677,0.28070174946137283,0.30645160796045795,0.25999999480000013,0.39215685505574793,0.2857142811791384,0.2622950776672938,0.31999999360000014,0.3157894681440444,0.2075471658953365,0.37288134961218056,0.3571428507653063,0.32812499487304697,0.48275861236623085,0.4909090819834713,0.2363636320661158,0.34426228943832315,0.3275862012485138,0.33928570822704096,0.3965517173008325,0.2982456088027086,0.5214521434935573,0.41269840614764436,0.37037036351166,0.23333332944444451,0.33333332748538025,0.25423728382648675,0.3050847405917841,0.316666661388889,0.23214285299744905,0.24561403077870123,0.2999999950000001,0.5173116079077157,0.3653846083579883,0.3114754047299114,0.47368420221606666,0.2727272677685951,0.3859649055093876,0.17460317183169569,0.4727272641322316,0.27419354396462026,0.3571428507653063,0.22641509006763982,0.24074073628257897,0.22033897931628849,0.47058822606689754,0.21818181421487612,0.43548386394380867,0.20338982706118938,0.41935483194588985,0.2833333286111112,0.23214285299744905,0.18181817851239676,0.2419354799687826,0.34545453917355384,0.20338982706118938,0.14516128798126957,0.18181817851239676,0.2982456088027086,0.42592591803840896,0.14999999750000004,0.1929824527546938,0.21052631209602962,0.18181817851239676,0.19642856792091845,0.33870967195629564,0.3333333277777779,0.20312499682617194,0.4642857087585035,0.5156249919433595,0.5510203969179511,0.4843749924316408,0.47457626314277523,0.2982456088027086,0.3114754047299114,0.4642857059948981,0.50909090446281,0.43548386394380867,0.43076922414201196,0.5581395283937264,0.43396225596297633,0.5093167670228772,0.38888888168724295,0.44578312715923946,0.3653846083579883,0.38983050186727963,0.3653846083579883,0.47058822606689754,0.4606741521272567,0.4107142783801022,0.3684210461680518,0.29629629080932796,0.42424241781450883,0.44999999250000017,0.32203389284688316,0.46551723736623074,0.42424241781450883,0.5454545404958678,0.45283018013527965,0.4377990420148348,0.460526309729917,0.41666666232638894,0.45549737981414984,0.5199999896000003,0.43548386394380867,0.47706421580675035,0.5172413733650417,0.33962263510145974,0.3965517173008325,0.37254901230296056,0.44615383928994096,0.40384614607988184,0.49999999305555565,0.35483870395421446,0.584615375621302,0.3928571358418369
total seconds,0.0,3.732659101486206,17.68600296974182,30.812820196151733,83.93198442459106,122.89461851119995,162.51385879516602,183.00934624671936,211.08178520202637,229.99293756484985,245.78497171401978,263.576340675354,280.1754033565521,299.86737418174744,358.52736473083496,377.37842869758606,396.8857216835022,413.124294757843,429.8851044178009,449.3401849269867,466.37883257865906,481.6923415660858,499.79657101631165,516.50248503685,530.6966617107391,542.641726732254,554.8923439979553,580.9799208641052,599.7628552913666,611.5921409130096,623.6934249401093,636.1322340965271,648.2056596279144,663.0002710819244,676.3512799739838,687.8677558898926,700.3901407718658,714.3076694011688,747.2297117710114,758.9641959667206,772.0514755249023,784.1306524276733,795.8109796047211,806.5762422084808,818.1115989685059,830.315167427063,841.9493341445923,853.249020576477,864.801192522049,874.73046875,884.9490802288055,894.889407157898,906.914801120758,918.7175004482269,929.455157995224,939.485077381134,950.0793583393097,959.9255268573761,970.5031611919403,981.5285205841064,992.5252647399902,1002.5039141178131,1012.1898822784424,1028.9329290390015,1045.2831740379333,1057.1544613838196,1067.1510524749756,1077.7903263568878,1086.7737174034119,1098.1177451610565,1107.9664142131805,1120.088497877121,1130.4194395542145,1141.2872977256775,1155.6539595127106,1166.4295840263367,1176.2446918487549,1186.3303430080414,1197.2661588191986,1207.058373451233,1226.5586822032928,1237.9933876991272,1248.9138169288635,1257.7308371067047,1268.512305021286,1278.8752744197845,1291.8470990657806,1302.1662344932556,1310.544817686081,1320.5473618507385,1329.958600282669,1359.7626700401306,1372.5108652114868,1383.3036332130432,1394.0060212612152,1404.0577104091644,1416.0095946788788,1424.6726677417755,1435.6470174789429,1444.7003450393677,1454.9062914848328,1464.2488996982574,1473.7841033935547,1484.7442815303802,1494.653174161911,1503.6810443401337,1517.5185053348541,1529.3957567214966,1539.57084774971,1549.472127199173,1560.127074956894,1569.798681974411,1579.54128074646,1588.7065994739532,1598.3274688720703,1607.520510673523,1616.9352004528046,1625.0502815246582,1633.135699748993,1640.818702697754,1648.8170368671417,1657.6710832118988,1665.2441749572754,1673.468228816986,1682.6624896526337,1689.8008770942688,1697.0685632228851,1714.4055511951447,1726.443778514862,1743.3732764720917,1765.0709459781647,1788.0217361450195,1799.5004379749298,1808.2713513374329,1816.1369233131409,1827.0932705402374,1836.2858109474182,1849.9668927192688,1863.2575826644897,1877.13036775589,1892.0580925941467,1903.483502626419,1918.4491314888,1929.8301975727081,1946.6488337516785,1957.3119628429413,1966.5710275173187,1980.5095465183258,1990.273506641388,1999.9848818778992,2008.6135792732239,2019.997873544693,2031.1322939395905,2045.1400153636932,2059.4809935092926,2073.3574953079224,2089.475434780121,2102.0996170043945,2130.298195838928,2145.4008293151855,2156.3189895153046,2169.8716747760773,2181.2023627758026,2190.840635061264,2211.3501410484314,2226.7104756832123,2240.0606088638306,2255.5161197185516,2264.242357969284,2274.5630462169647,2284.1536469459534,2298.9904522895813,2307.027156829834,2326.23646736145,2333.8364498615265
total minutes,0.0,0.0622109850247701,0.29476671616236366,0.5135470032691956,1.3988664070765178,2.0482436418533325,2.708564313252767,3.050155770778656,3.5180297533671063,3.8332156260808308,4.096416195233663,4.3929390112559,4.669590055942535,4.997789569695791,5.975456078847249,6.289640478293101,6.61476202805837,6.885404912630717,7.164751740296682,7.489003082116445,7.772980542977651,8.028205692768097,8.32994285027186,8.608374750614166,8.844944361845652,9.044028778870901,9.248205733299255,9.68299868106842,9.996047588189443,10.19320234855016,10.394890415668488,10.602203901608785,10.80342766046524,11.050004518032074,11.27252133289973,11.464462598164877,11.673169012864431,11.905127823352814,12.453828529516857,12.64940326611201,12.867524592081706,13.068844207127889,13.263516326745352,13.442937370141347,13.635193316141764,13.838586123784383,14.032488902409872,14.22081700960795,14.413353208700816,14.578841145833334,14.74915133714676,14.914823452631632,15.115246685345967,15.311958340803782,15.4909192999204,15.658084623018901,15.834655972321828,15.998758780956269,16.17505268653234,16.358808676401775,16.542087745666503,16.70839856863022,16.869831371307374,17.148882150650024,17.421386233965556,17.61924102306366,17.785850874582927,17.96317210594813,18.112895290056866,18.301962419350943,18.46610690355301,18.668141631285348,18.84032399257024,19.021454962094626,19.26089932521184,19.44049306710561,19.604078197479247,19.772172383467357,19.95443598031998,20.117639557520548,20.442644703388215,20.633223128318786,20.815230282147727,20.96218061844508,21.141871750354767,21.314587906996408,21.530784984429676,21.702770574887595,21.842413628101347,22.009122697512307,22.165976671377816,22.66271116733551,22.875181086858113,23.05506055355072,23.23343368768692,23.40096184015274,23.600159911314645,23.744544462362924,23.927450291315715,24.078339083989462,24.24843819141388,24.40414832830429,24.563068389892578,24.745738025506338,24.91088623603185,25.06135073900223,25.291975088914235,25.48992927869161,25.659514129161835,25.824535453319548,26.002117915948233,26.163311366240183,26.325688012441,26.478443324565887,26.63879114786784,26.792008511225383,26.948920007546743,27.084171358744303,27.218928329149882,27.346978378295898,27.480283947785697,27.62785138686498,27.754069582621256,27.891137146949767,28.044374827543894,28.163347951571147,28.28447605371475,28.57342585325241,28.774062975247702,29.05622127453486,29.41784909963608,29.80036226908366,29.99167396624883,30.13785585562388,30.268948721885682,30.45155450900396,30.604763515790303,30.832781545321147,31.054293044408162,31.28550612926483,31.534301543235777,31.724725043773653,31.97415219148,32.163836626211804,32.44414722919464,32.621866047382355,32.77618379195531,33.008492441972095,33.1712251106898,33.33308136463165,33.47689298788706,33.66663122574489,33.85220489899317,34.08566692272822,34.32468322515488,34.55595825513204,34.82459057966868,35.03499361673991,35.504969930648805,35.756680488586426,35.93864982525508,36.16452791293462,36.353372712930046,36.5140105843544,36.85583568414052,37.11184126138687,37.33434348106384,37.59193532864253,37.7373726328214,37.90938410361608,38.06922744909922,38.31650753815969,38.450452613830564,38.770607789357506,38.89727416435878
cummulative feedback,0.0,43.0,97.0,147.0,191.0,236.0,285.0,321.0,362.0,405.0,450.0,480.0,516.0,549.0,742.0,779.0,811.0,844.0,874.0,934.0,973.0,1004.0,1074.0,1142.0,1162.0,1178.0,1202.0,1405.0,1434.0,1455.0,1494.0,1524.0,1548.0,1574.0,1599.0,1627.0,1647.0,1666.0,1705.0,1730.0,1758.0,1776.0,1801.0,1820.0,1842.0,1873.0,1898.0,1921.0,1937.0,1957.0,1981.0,2000.0,2026.0,2040.0,2057.0,2082.0,2096.0,2111.0,2133.0,2153.0,2169.0,2188.0,2201.0,2221.0,2239.0,2255.0,2271.0,2289.0,2300.0,2322.0,2342.0,2363.0,2391.0,2418.0,2431.0,2452.0,2471.0,2490.0,2513.0,2530.0,2688.0,2714.0,2734.0,2748.0,2767.0,2782.0,2800.0,2819.0,2832.0,2846.0,2864.0,3118.0,3137.0,3156.0,3183.0,3198.0,3220.0,3231.0,3257.0,3274.0,3294.0,3306.0,3319.0,3332.0,3356.0,3368.0,3395.0,3407.0,3433.0,3450.0,3463.0,3473.0,3488.0,3507.0,3519.0,3528.0,3538.0,3555.0,3578.0,3587.0,3598.0,3610.0,3620.0,3631.0,3652.0,3672.0,3685.0,3724.0,3757.0,3784.0,3815.0,3843.0,3860.0,3879.0,3905.0,3961.0,3988.0,4016.0,4064.0,4087.0,4169.0,4190.0,4227.0,4246.0,4269.0,4288.0,4312.0,4353.0,4376.0,4397.0,4413.0,4441.0,4468.0,4487.0,4541.0,4569.0,4629.0,4653.0,4836.0,4871.0,4911.0,4998.0,5024.0,5051.0,5103.0,5148.0,5166.0,5189.0,5208.0,5237.0,5258.0,5294.0,5316.0,5354.0,5376.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
