,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0
Accumulated time steps,0.0,65.0,384.0,705.0,1867.0,2460.0,2794.0,3547.0,3874.0,4351.0,4686.0,5031.0,5354.0,5673.0,6007.0,6408.0,6733.0,7068.0,7401.0,7683.0,7970.0,8309.0,8603.0,8895.0,9180.0,9498.0,9823.0,10236.0,10530.0,10855.0,11140.0,11421.0,11719.0,12006.0,12299.0,12601.0,12888.0,13174.0,13471.0,13756.0,14036.0,14323.0,14604.0,14883.0,15168.0,15458.0,15754.0,16055.0,16339.0,16626.0,16899.0,17184.0,17460.0,17742.0,18024.0,18306.0,18576.0,18865.0,19152.0,19433.0,19724.0,20001.0,20294.0,20739.0,21033.0,21307.0,21592.0,21890.0,22191.0,22476.0,22759.0,23043.0,23329.0,23627.0,23938.0,24215.0,24505.0,24792.0,25088.0,25371.0,25652.0,25923.0,26223.0,26519.0,26793.0,27077.0,27459.0,27813.0,28102.0,28402.0,28700.0,28982.0,29259.0,29603.0,29896.0,30179.0,30476.0,30767.0,31061.0,31343.0,31623.0,31923.0,32219.0,32498.0,32798.0,33097.0,33387.0,33667.0,34009.0,34296.0,34580.0,34869.0,35151.0,35420.0,35700.0,36000.0,36290.0,36561.0,36853.0,37162.0,37439.0,37724.0,37994.0,38285.0,38573.0,38860.0,39144.0,39436.0,39836.0,40131.0,40665.0,40981.0,41871.0,42645.0,43095.0,44331.0,44948.0,45982.0,46557.0,47746.0,48320.0,49399.0,50068.0,50883.0,51572.0,52406.0,53088.0,53921.0,54958.0,55686.0,56353.0,56968.0,58344.0,59516.0,60501.0
Episode reward,0.0,144.1051507096913,149.6028855694692,137.0284044770459,1239.528193853129,180.46855880240355,152.763841678874,180.03761193242937,193.26723375080311,514.9072644664628,187.07394487020667,161.98516187608382,153.2138887765283,223.41607579946643,134.99074260288558,224.22682954755538,139.78710844166542,166.6966922506879,137.1958894079131,156.89480480253505,170.2115921673464,166.04913084102537,185.42446805703298,180.5336979051852,177.90254773647302,254.92518410783518,199.07505022189926,140.76311600833043,136.2200690805756,182.55551481539592,191.0556453310228,124.84103606629044,180.36350960747626,142.54738696993772,173.99627794548306,181.43757740874958,167.60020613543855,156.08958476047312,153.4078484244908,117.79798203441976,140.67575684258176,172.1898299367793,152.13313677683428,136.81017254124527,137.61314436866707,124.65140610906138,150.1031759159794,185.97083350201953,164.9721923692288,135.42040450441797,153.73079033686426,124.46680981085012,123.02500570677434,141.34257910807264,127.15428509519201,135.54049971105948,132.25424126335153,174.5041463156671,126.73781370359548,153.90597856609077,160.8962363500711,138.0371868968281,130.85451692996838,174.84375118574263,164.57201497080277,124.37304149902772,182.88464733761901,164.97656962600092,182.02565110036548,148.7768500629892,155.50893550917698,120.1636375783325,184.87371887510966,142.6079910006944,166.5525590229651,129.9294503177278,138.47358822589652,179.30947936625813,175.68050123856034,162.99455324269266,160.96868481539298,144.5354713382603,184.085465466853,130.3407608818696,129.0264571159123,124.23956634859346,524.5446645931214,159.92349526157687,159.2727170976238,184.54325778348502,180.49464331582763,122.20335037773137,173.8546765979797,273.5099164290528,128.51395703631454,136.74089950585716,184.82648750686255,155.92160561841578,159.53468175366532,121.10633589581683,167.2359146134483,168.62031046578787,134.3420057714657,180.31645741294327,180.06209941840453,177.88216850076992,146.96949166860628,164.62571776138367,167.51228895968043,111.75722035541683,124.82808869217494,140.6047901246695,171.2798828698211,123.18323684163103,162.6744810474847,186.29499439897864,180.88050218000149,120.39683642678642,165.43652610813416,190.71073772496877,168.93933049824696,141.9348834047141,126.39874878181921,140.91099909205252,151.73237334120319,132.7938859104666,120.26405155349887,159.6330834023653,160.7269095484726,168.49015250688902,160.61080732075357,146.14689911107448,1100.7063052605597,155.09672240608833,301.89549013217675,226.141232657682,803.191685994145,379.27941019471086,1134.5168374780044,1425.0894236887088,177.26799242154968,374.566481960002,314.32327407000446,418.0798903469337,232.1533776794373,162.26761581164624,336.5068840744947,165.17591948386558,171.89250032144776,536.2126501701067,231.50374414783292,204.51767515279892,643.8462924693149,1310.6588933689736,355.3711479839078
Episode feedback,0.8,0.5468749914550782,0.8059701372243263,0.41269840614764436,0.7982195822011289,0.7285714181632654,0.6986301274160257,0.6666666560846563,0.6716417810202719,0.7916666625434028,0.6249999913194446,0.5402298788479324,0.5396825311161503,0.5760869502599245,0.58730157797934,0.6966292056558516,0.6557376941682346,0.6499999891666669,0.6724137815101072,0.6140350769467531,0.5517241284185496,0.5344827494054699,0.5645161199271593,0.5166666580555557,0.6229508094598228,0.6195652106569,0.4545454476584023,0.46551723335315115,0.3749999933035716,0.3650793592844546,0.5468749914550782,0.35849055927376305,0.4516128959417275,0.4915254153978743,0.40983605885514657,0.3114754047299114,0.3965517173008325,0.33928570822704096,0.4545454462809919,0.34615383949704154,0.4482758543400715,0.44999999250000017,0.3157894681440444,0.2727272677685951,0.2678571380739797,0.35849055927376305,0.43636362842975224,0.2686567124081088,0.3389830451019823,0.3636363570247935,0.34545453917355384,0.2884615329142013,0.2745097985390236,0.23728813157138762,0.13207546920612323,0.2909090856198348,0.3999999927272729,0.3278688470841173,0.3207547109291564,0.2678571380739797,0.3749999933035716,0.37288134961218056,0.29629629080932796,0.3666666605555557,0.26315789012003704,0.24999999519230778,0.19354838397502608,0.24590163531308795,0.20967741597294492,0.2982456088027086,0.30357142315051033,0.3137254840445984,0.30769230295857997,0.26315789012003704,0.14035087473068641,0.29629629080932796,0.18518518175583,0.22950819295888208,0.3278688470841173,0.16071428284438782,0.285714280612245,0.16666666358024698,0.25806451196670144,0.1428571403061225,0.277777772633745,0.2830188625845498,0.4753086390413047,0.2678571380739797,0.24999999553571436,0.30158729680020163,0.17741935197710723,0.18518518175583,0.2833333286111112,0.44736841712834724,0.26415093841224646,0.32727272132231416,0.2419354799687826,0.1929824527546938,0.1578947340720222,0.19607842752787397,0.1379310321046374,0.3559321973570814,0.0727272714049587,0.22580644797086374,0.2419354799687826,0.34426228943832315,0.21052631209602962,0.2982456088027086,0.21052631209602962,0.32653060558100805,0.22641509006763982,0.24561403077870123,0.17241379013079672,0.29411764129181095,0.22413792717003575,0.16129031997918838,0.2419354799687826,0.23999999520000012,0.22413792717003575,0.1718749973144532,0.316666661388889,0.24074073628257897,0.2884615329142013,0.1929824527546938,0.2909090856198348,0.24561403077870123,0.30769230177514806,0.23214285299744905,0.41666665972222233,0.23728813157138762,0.28070174946137283,0.5797101365259401,0.525362316937093,0.30357142315051033,0.5670731672739441,0.5238095196523054,0.4489164072788966,0.5326633139062145,0.5133928548509248,0.497999999004,0.40540539992695407,0.49418604363845325,0.47517730159448723,0.48717948509752357,0.43749999609375007,0.5616438279226873,0.45454545196280993,0.3793103382877528,0.39999999500000005,0.508064514080385,0.47999999616000005,0.43209876009754616,0.42409638452024967,0.39743589658667544,0.42999999785000004
total seconds,0.0,4.341878175735474,19.8174786567688,32.34681248664856,109.23419618606567,146.5236554145813,166.8705132007599,213.79913997650146,233.28595757484436,263.28492403030396,284.3193850517273,303.78281116485596,324.6602828502655,343.65588450431824,361.87408804893494,384.2077329158783,403.6839084625244,423.437383890152,444.6223089694977,460.84473991394043,476.6048619747162,494.714745759964,509.7931613922119,523.0144865512848,535.0234777927399,552.6559946537018,570.6446821689606,593.6007254123688,605.7039527893066,619.746237039566,633.5347244739532,644.1701498031616,656.3739943504333,668.839714050293,681.0649399757385,693.8168332576752,704.6166799068451,715.0566318035126,725.2847735881805,736.302259683609,746.6720380783081,760.1693994998932,771.4957895278931,780.9343028068542,790.5749137401581,801.725380897522,814.1236548423767,826.5057275295258,837.3805251121521,848.1726512908936,857.5617990493774,868.3447966575623,878.0579469203949,888.6113185882568,897.8859758377075,907.7967519760132,916.7883369922638,926.4108531475067,936.8923263549805,947.4716575145721,958.5369880199432,968.4907021522522,978.2098908424377,994.7900285720825,1006.8611483573914,1015.8536274433136,1025.0440895557404,1034.1025116443634,1044.9790239334106,1055.4007971286774,1064.09565782547,1073.294216632843,1083.9199860095978,1093.3136088848114,1104.785131931305,1113.4943053722382,1122.7941954135895,1131.989673614502,1140.8255474567413,1148.7961349487305,1157.596214056015,1165.2679255008698,1173.7402963638306,1181.8258559703827,1190.8280866146088,1200.3500089645386,1212.9368257522583,1226.8717198371887,1236.0333814620972,1245.3974742889404,1254.7522594928741,1264.1327378749847,1273.9822919368744,1286.3091661930084,1295.683828830719,1304.529366016388,1312.0703344345093,1320.6541831493378,1329.3725118637085,1336.3219504356384,1343.7875962257385,1354.0512232780457,1361.0978541374207,1369.6684942245483,1378.6611080169678,1387.8490295410156,1396.3416006565094,1404.4283771514893,1416.6254074573517,1425.1283853054047,1434.6352806091309,1443.9812479019165,1452.5895731449127,1460.4273808002472,1469.2345640659332,1476.347294330597,1485.4913709163666,1492.7868831157684,1501.8851017951965,1512.8074929714203,1520.6329452991486,1529.979983329773,1537.9264769554138,1545.7832374572754,1553.47159075737,1562.1883640289307,1571.2392256259918,1579.7435126304626,1594.096148967743,1604.0120930671692,1621.0262389183044,1631.1288208961487,1660.426485300064,1683.5278024673462,1698.779690027237,1738.699325799942,1759.9005651474,1795.0329008102417,1816.1827323436737,1852.6738336086273,1870.7997562885284,1905.7200536727905,1927.2897605895996,1953.1214232444763,1975.2085900306702,2001.5911993980408,2022.2761890888214,2046.7598450183868,2079.616364002228,2103.0842072963715,2125.406723022461,2145.5817499160767,2182.205765724182,2214.7072830200195,2242.5341622829437
total minutes,0.0,0.07236463626225789,0.33029131094614667,0.5391135414441427,1.8205699364344279,2.442060923576355,2.7811752200126647,3.5633189996083576,3.8880992929140725,4.388082067171733,4.738656417528788,5.0630468527476,5.411004714171091,5.72759807507197,6.031234800815582,6.403462215264638,6.728065141042074,7.057289731502533,7.410371816158294,7.68074566523234,7.943414366245269,8.245245762666066,8.496552689870198,8.71690810918808,8.917057963212331,9.210933244228363,9.510744702816009,9.893345423539479,10.095065879821778,10.329103950659434,10.558912074565887,10.736169163386027,10.939566572507223,11.147328567504882,11.351082332928975,11.56361388762792,11.743611331780752,11.917610530058543,12.08807955980301,12.27170432806015,12.444533967971802,12.669489991664886,12.858263158798218,13.01557171344757,13.176248562335967,13.362089681625367,13.568727580706279,13.77509545882543,13.956342085202534,14.136210854848226,14.292696650822958,14.472413277626037,14.634299115339916,14.810188643137614,14.964766263961792,15.129945866266887,15.27980561653773,15.44018088579178,15.61487210591634,15.791194291909536,15.975616466999053,16.141511702537535,16.303498180707297,16.57983380953471,16.781019139289857,16.930893790721893,17.08406815926234,17.23504186073939,17.416317065556843,17.590013285477955,17.7349276304245,17.888236943880717,18.065333100159965,18.221893481413524,18.413085532188415,18.558238422870637,18.71323659022649,18.866494560241698,19.013759124279023,19.14660224914551,19.293270234266917,19.421132091681162,19.56233827273051,19.697097599506378,19.847134776910146,20.00583348274231,20.21561376253764,20.447861997286477,20.60055635770162,20.75662457148234,20.912537658214568,21.068878964583078,21.233038198947906,21.438486103216807,21.594730480511984,21.74215610027313,21.867838907241822,22.010903052488963,22.156208531061807,22.27203250726064,22.396459937095642,22.567520387967427,22.684964235623678,22.827808237075807,22.97768513361613,23.130817159016928,23.272360010941824,23.407139619191486,23.610423457622527,23.752139755090077,23.910588010152182,24.06635413169861,24.20982621908188,24.340456346670788,24.487242734432222,24.60578823884328,24.758189515272775,24.879781385262806,25.031418363253277,25.21345821619034,25.343882421652477,25.49966638882955,25.6321079492569,25.763053957621256,25.8911931792895,26.03647273381551,26.187320427099863,26.329058543841043,26.56826914946238,26.73353488445282,27.01710398197174,27.185480348269145,27.67377475500107,28.058796707789103,28.312994833787283,28.9783220966657,29.331676085789997,29.917215013504027,30.269712205727895,30.877897226810454,31.17999593814214,31.76200089454651,32.12149600982666,32.552023720741275,32.920143167177834,33.359853323300676,33.704603151480356,34.11266408363978,34.66027273337046,35.051403454939525,35.42344538370768,35.759695831934614,36.370096095403035,36.91178805033366,37.3755693713824
cummulative feedback,0.0,35.0,89.0,115.0,384.0,435.0,486.0,528.0,573.0,725.0,770.0,817.0,851.0,904.0,941.0,1003.0,1043.0,1082.0,1121.0,1156.0,1188.0,1219.0,1254.0,1285.0,1323.0,1380.0,1410.0,1437.0,1458.0,1481.0,1516.0,1535.0,1563.0,1592.0,1617.0,1636.0,1659.0,1678.0,1703.0,1721.0,1747.0,1774.0,1792.0,1807.0,1822.0,1841.0,1865.0,1883.0,1903.0,1923.0,1942.0,1957.0,1971.0,1985.0,1992.0,2008.0,2030.0,2050.0,2067.0,2082.0,2103.0,2125.0,2141.0,2163.0,2178.0,2191.0,2203.0,2218.0,2231.0,2248.0,2265.0,2281.0,2301.0,2316.0,2324.0,2340.0,2350.0,2364.0,2384.0,2393.0,2409.0,2418.0,2434.0,2442.0,2457.0,2472.0,2549.0,2564.0,2578.0,2597.0,2608.0,2618.0,2635.0,2686.0,2700.0,2718.0,2733.0,2744.0,2753.0,2763.0,2771.0,2792.0,2796.0,2810.0,2825.0,2846.0,2858.0,2875.0,2887.0,2903.0,2915.0,2929.0,2939.0,2954.0,2967.0,2977.0,2992.0,3004.0,3017.0,3028.0,3047.0,3060.0,3075.0,3086.0,3102.0,3116.0,3132.0,3145.0,3170.0,3184.0,3200.0,3240.0,3385.0,3402.0,3495.0,3561.0,3706.0,3812.0,3927.0,4176.0,4206.0,4291.0,4358.0,4472.0,4521.0,4562.0,4642.0,4664.0,4696.0,4822.0,4882.0,4917.0,5093.0,5279.0,5365.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
