Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.1,500,True,4e-06
1,64,0,0,0.7301587185689092,0.1,500,True,4e-06
6,703,0,388,0.7391304267485823,0.1,500,True,4e-06
11,1066,0,577,0.6853932507259185,0.1,500,True,4e-06
16,1434,0,771,0.761363627711777,0.1,500,True,4e-06
21,1753,1,935,0.7230769119526629,0.1,500,True,4e-06
26,2061,0,1086,0.553846145325444,0.1,500,True,4e-06
31,2374,1,1239,0.58730157797934,0.1,500,True,4e-06
36,2689,0,1408,0.6885245788766463,0.1,500,True,4e-06
41,2994,1,1550,0.6363636267217633,0.1,500,True,4e-06
46,3306,0,1698,0.8196721177102931,0.1,500,True,4e-06
51,3617,0,1847,0.453124992919922,0.1,500,True,4e-06
56,3922,1,2016,0.633333322777778,0.1,500,True,4e-06
61,4232,0,2200,0.7068965395362666,0.1,500,True,4e-06
66,4547,0,2354,0.5254237199080726,0.1,500,True,4e-06
71,4839,0,2500,0.6724137815101072,0.1,500,True,4e-06
76,5137,1,2645,0.49122806155740245,0.1,500,True,4e-06
81,5448,0,2811,0.6499999891666669,0.1,500,True,4e-06
86,5750,0,2960,0.499999991935484,0.1,500,True,4e-06
91,6054,1,3087,0.5166666580555557,0.1,500,True,4e-06
96,6356,0,3206,0.6393442518140287,0.1,500,True,4e-06
101,6665,1,3354,0.44999999250000017,0.1,500,True,4e-06
106,6973,0,3481,0.5081967129803818,0.1,500,True,4e-06
111,7277,0,3611,0.4576271108876761,0.1,500,True,4e-06
116,7578,1,3733,0.5999999900000001,0.1,500,True,4e-06
121,7877,0,3844,0.5714285623582768,0.1,500,True,4e-06
126,8183,1,3979,0.5499999908333335,0.1,500,True,4e-06
131,8494,0,4102,0.41935483194588985,0.1,500,True,4e-06
136,8807,1,4237,0.43333332611111125,0.1,500,True,4e-06
141,9114,1,4355,0.523809515495087,0.1,500,True,4e-06
146,9417,0,4480,0.633333322777778,0.1,500,True,4e-06
151,9733,1,4614,0.6249999902343751,0.1,500,True,4e-06
156,10049,1,4742,0.42622950120935243,0.1,500,True,4e-06
161,10358,1,4849,0.39344261650094076,0.1,500,True,4e-06
166,10667,0,4958,0.47540982827197004,0.1,500,True,4e-06
171,10977,0,5073,0.5666666572222224,0.1,500,True,4e-06
176,11294,0,5185,0.46153845443786995,0.1,500,True,4e-06
181,11605,0,5289,0.5901639247514111,0.1,500,True,4e-06
186,11918,1,5404,0.30645160796045795,0.1,500,True,4e-06
191,12232,0,5522,0.45901638591776417,0.1,500,True,4e-06
196,12549,1,5639,0.49999999242424253,0.1,500,True,4e-06
201,12862,1,5738,0.453124992919922,0.1,500,True,4e-06
206,13170,0,5844,0.5156249919433595,0.1,500,True,4e-06
211,13490,1,5981,0.4838709599375652,0.1,500,True,4e-06
216,13790,1,6111,0.47457626314277523,0.1,500,True,4e-06
221,14088,1,6231,0.5344827494054699,0.1,500,True,4e-06
226,14393,1,6359,0.4576271108876761,0.1,500,True,4e-06
231,14693,1,6481,0.3559321973570814,0.1,500,True,4e-06
236,15004,1,6590,0.6129032159209159,0.1,500,True,4e-06
241,15307,0,6703,0.5409835976887934,0.1,500,True,4e-06
246,15612,1,6824,0.6034482654577885,0.1,500,True,4e-06
251,15931,1,6923,0.46774192793964636,0.1,500,True,4e-06
256,16243,0,7028,0.5312499916992189,0.1,500,True,4e-06
261,16558,1,7139,0.41269840614764436,0.1,500,True,4e-06
266,16873,1,7241,0.39344261650094076,0.1,500,True,4e-06
271,17177,0,7334,0.3050847405917841,0.1,500,True,4e-06
276,17487,1,7443,0.35483870395421446,0.1,500,True,4e-06
281,17802,1,7561,0.261538457514793,0.1,500,True,4e-06
286,18120,1,7653,0.38709676795005216,0.1,500,True,4e-06
291,18431,1,7766,0.2539682499370119,0.1,500,True,4e-06
296,18740,1,7851,0.4426229435635583,0.1,500,True,4e-06
301,19054,1,7952,0.3174603124212649,0.1,500,True,4e-06
306,19362,0,8049,0.39999999333333347,0.1,500,True,4e-06
311,19668,0,8158,0.5645161199271593,0.1,500,True,4e-06
316,19984,1,8272,0.5156249919433595,0.1,500,True,4e-06
321,20295,1,8374,0.29032257596253913,0.1,500,True,4e-06
326,20602,1,8470,0.5081967129803818,0.1,500,True,4e-06
331,20916,1,8582,0.38095237490551787,0.1,500,True,4e-06
336,21230,1,8693,0.30158729680020163,0.1,500,True,4e-06
341,21536,0,8794,0.29032257596253913,0.1,500,True,4e-06
346,21843,1,8891,0.34920634366339137,0.1,500,True,4e-06
351,22157,1,8982,0.38805969570060156,0.1,500,True,4e-06
356,22474,1,9070,0.46153845443786995,0.1,500,True,4e-06
361,22788,1,9163,0.2968749953613282,0.1,500,True,4e-06
366,23102,1,9270,0.4838709599375652,0.1,500,True,4e-06
371,23417,1,9368,0.26984126555807514,0.1,500,True,4e-06
376,23733,1,9450,0.2833333286111112,0.1,500,True,4e-06
381,24047,0,9530,0.25806451196670144,0.1,500,True,4e-06
386,24360,0,9609,0.33333332828282836,0.1,500,True,4e-06
391,24675,1,9711,0.35384614840236694,0.1,500,True,4e-06
396,24982,1,9803,0.30158729680020163,0.1,500,True,4e-06
401,25301,1,9899,0.4687499926757814,0.1,500,True,4e-06
406,25617,1,9983,0.3709677359521333,0.1,500,True,4e-06
411,25939,0,10081,0.29508196237570555,0.1,500,True,4e-06
416,26243,1,10176,0.2833333286111112,0.1,500,True,4e-06
421,26555,1,10258,0.43548386394380867,0.1,500,True,4e-06
426,26868,1,10348,0.34426228943832315,0.1,500,True,4e-06
431,27192,1,10436,0.39344261650094076,0.1,500,True,4e-06
436,27501,1,10522,0.35483870395421446,0.1,500,True,4e-06
441,27821,1,10620,0.360655731792529,0.1,500,True,4e-06
446,28132,1,10720,0.4603174530108341,0.1,500,True,4e-06
