Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.1,500,True,4e-06
1,99,0,0,0.7653061146397335,0.1,500,True,4e-06
6,1061,0,379,0.793999998412,0.1,500,True,4e-06
11,1609,1,751,0.8021977933824419,0.1,500,True,4e-06
16,2108,1,1074,0.8426966197449818,0.1,500,True,4e-06
21,2582,0,1375,0.6976744104921581,0.1,500,True,4e-06
26,3031,1,1657,0.7802197716459366,0.1,500,True,4e-06
31,3469,0,1939,0.7727272639462811,0.1,500,True,4e-06
36,3915,1,2233,0.7840909001807852,0.1,500,True,4e-06
41,4329,0,2495,0.6829268209399169,0.1,500,True,4e-06
46,4780,1,2767,0.7666666581481483,0.1,500,True,4e-06
51,5222,1,3036,0.761363627711777,0.1,500,True,4e-06
56,5669,0,3306,0.8249999896875001,0.1,500,True,4e-06
61,6128,1,3594,0.7252747173046734,0.1,500,True,4e-06
66,6568,1,3870,0.8372092925905896,0.1,500,True,4e-06
71,6999,0,4143,0.8636363538223142,0.1,500,True,4e-06
76,7488,0,4401,0.715328461931909,0.1,500,True,4e-06
81,8012,0,4726,0.7802197716459366,0.1,500,True,4e-06
86,8502,1,5034,0.7821782100774435,0.1,500,True,4e-06
91,8994,1,5353,0.7380952293083901,0.1,500,True,4e-06
96,9430,0,5617,0.8977272625258266,0.1,500,True,4e-06
101,9869,1,5892,0.7528089803055171,0.1,500,True,4e-06
106,10314,1,6177,0.7802197716459366,0.1,500,True,4e-06
111,10760,0,6463,0.6470588159169551,0.1,500,True,4e-06
116,11517,1,6982,0.6551724062623862,0.1,500,True,4e-06
121,11963,1,7253,0.7934782522448016,0.1,500,True,4e-06
126,12401,1,7532,0.7977528000252495,0.1,500,True,4e-06
131,12838,1,7793,0.7499999910714287,0.1,500,True,4e-06
136,13278,0,8060,0.7666666581481483,0.1,500,True,4e-06
141,13724,1,8312,0.7777777691358025,0.1,500,True,4e-06
146,14162,1,8588,0.8068181726497935,0.1,500,True,4e-06
151,14595,1,8849,0.7764705791003461,0.1,500,True,4e-06
156,15026,1,9110,0.686046503650622,0.1,500,True,4e-06
161,15464,1,9376,0.722222214197531,0.1,500,True,4e-06
166,15910,0,9634,0.7812499918619793,0.1,500,True,4e-06
171,16350,1,9888,0.7752808901653833,0.1,500,True,4e-06
176,16794,1,10159,0.688888881234568,0.1,500,True,4e-06
181,17236,1,10434,0.744186037858302,0.1,500,True,4e-06
186,17674,1,10690,0.6627906899675501,0.1,500,True,4e-06
191,18133,1,10957,0.7888888801234569,0.1,500,True,4e-06
196,18571,1,11234,0.7840909001807852,0.1,500,True,4e-06
201,19002,1,11481,0.7499999914772728,0.1,500,True,4e-06
206,19446,1,11753,0.7340425453825261,0.1,500,True,4e-06
211,19881,1,12020,0.7499999914772728,0.1,500,True,4e-06
216,20750,1,12595,0.757894728864266,0.1,500,True,4e-06
221,21197,1,12864,0.6436781535209408,0.1,500,True,4e-06
226,21632,1,13112,0.710843364929598,0.1,500,True,4e-06
231,22075,0,13362,0.761363627711777,0.1,500,True,4e-06
236,22706,1,13609,0.7499999973591549,0.1,500,True,4e-06
241,23152,1,13859,0.7176470503806229,0.1,500,True,4e-06
246,23589,0,14114,0.6705882274048444,0.1,500,True,4e-06
251,24108,1,14430,0.7934782522448016,0.1,500,True,4e-06
256,24596,0,14698,0.6984126928697405,0.1,500,True,4e-06
261,25027,1,14951,0.6162790626014063,0.1,500,True,4e-06
266,25457,1,15197,0.6666666584362141,0.1,500,True,4e-06
271,25895,1,15444,0.6853932507259185,0.1,500,True,4e-06
276,26332,1,15695,0.6896551644867223,0.1,500,True,4e-06
281,26780,0,15936,0.6853932507259185,0.1,500,True,4e-06
286,27223,1,16192,0.7228915575555235,0.1,500,True,4e-06
291,27658,1,16429,0.7840909001807852,0.1,500,True,4e-06
296,28086,0,16671,0.6701030858752259,0.1,500,True,4e-06
301,28519,1,16918,0.7738095145975058,0.1,500,True,4e-06
306,28962,1,17181,0.7752808901653833,0.1,500,True,4e-06
311,29402,0,17434,0.6774193475546307,0.1,500,True,4e-06
316,29822,1,17669,0.7654320893156532,0.1,500,True,4e-06
321,30700,1,17939,0.6999999986000001,0.1,500,True,4e-06
326,31152,0,18187,0.7195121863474124,0.1,500,True,4e-06
331,31594,1,18447,0.7272727190082646,0.1,500,True,4e-06
336,32029,1,18707,0.6896551644867223,0.1,500,True,4e-06
341,32473,1,18957,0.6999999922222223,0.1,500,True,4e-06
346,32908,1,19211,0.690476182256236,0.1,500,True,4e-06
351,33358,1,19466,0.6702127588275238,0.1,500,True,4e-06
356,33793,1,19708,0.6829268209399169,0.1,500,True,4e-06
361,34317,0,19993,0.6559139714417853,0.1,500,True,4e-06
366,34838,1,20287,0.7333333251851853,0.1,500,True,4e-06
371,35265,1,20526,0.7261904675453515,0.1,500,True,4e-06
376,35759,1,20804,0.7529411676124569,0.1,500,True,4e-06
381,36194,0,21039,0.666666659498208,0.1,500,True,4e-06
386,36632,1,21291,0.6111111043209877,0.1,500,True,4e-06
391,37060,0,21537,0.6162790626014063,0.1,500,True,4e-06
396,37504,1,21776,0.7159090827737604,0.1,500,True,4e-06
401,37947,1,22004,0.6785714204931974,0.1,500,True,4e-06
406,38391,1,22252,0.6436781535209408,0.1,500,True,4e-06
411,38839,1,22493,0.5764705814532873,0.1,500,True,4e-06
416,39272,1,22726,0.655555548271605,0.1,500,True,4e-06
421,39711,0,22981,0.6588235216608997,0.1,500,True,4e-06
426,40138,1,23216,0.5903614386703442,0.1,500,True,4e-06
431,40553,1,23441,0.5487804811124332,0.1,500,True,4e-06
436,40975,0,23679,0.686046503650622,0.1,500,True,4e-06
441,41400,1,23910,0.7349397501814489,0.1,500,True,4e-06
446,41820,0,24140,0.7023809440192745,0.1,500,True,4e-06
451,42248,1,24369,0.5999999929411766,0.1,500,True,4e-06
456,42685,0,24600,0.6774193475546307,0.1,500,True,4e-06
461,43112,0,24836,0.7647058733564015,0.1,500,True,4e-06
466,43540,0,25064,0.6091953952966047,0.1,500,True,4e-06
471,43971,1,25295,0.6976744104921581,0.1,500,True,4e-06
476,44385,1,25507,0.6962025228328795,0.1,500,True,4e-06
481,44817,1,25715,0.7840909001807852,0.1,500,True,4e-06
486,45255,0,25928,0.5697674352352624,0.1,500,True,4e-06
491,45684,1,26166,0.6588235216608997,0.1,500,True,4e-06
496,46106,1,26393,0.6249999921875001,0.1,500,True,4e-06
501,46543,0,26627,0.7261904675453515,0.1,500,True,4e-06
506,46985,1,26878,0.5952380881519276,0.1,500,True,4e-06
511,47415,1,27111,0.7444444361728396,0.1,500,True,4e-06
516,47854,1,27345,0.709302317333694,0.1,500,True,4e-06
521,48280,1,27573,0.6463414555324213,0.1,500,True,4e-06
526,48700,1,27789,0.6190476116780046,0.1,500,True,4e-06
531,49123,1,28006,0.5555555486968451,0.1,500,True,4e-06
536,49543,1,28234,0.6867469796777472,0.1,500,True,4e-06
541,50001,0,28542,0.7499998125000469,0.1,500,True,4e-06
