Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.1,500,True,4e-06
1,67,0,0,0.7878787759412307,0.1,500,True,4e-06
6,1210,1,545,0.7724137913277844,0.1,500,True,4e-06
11,1878,0,792,0.7713414610629834,0.1,500,True,4e-06
16,2396,1,1137,0.6901408353501292,0.1,500,True,4e-06
21,2803,0,1394,0.6969696864095503,0.1,500,True,4e-06
26,3207,1,1636,0.5882352854671282,0.1,500,True,4e-06
31,3511,1,1796,0.6101694811835682,0.1,500,True,4e-06
36,3803,1,1931,0.5624999912109376,0.1,500,True,4e-06
41,4095,0,2054,0.5423728721631716,0.1,500,True,4e-06
46,4383,0,2171,0.49999999107142873,0.1,500,True,4e-06
51,4668,0,2306,0.5454545355371903,0.1,500,True,4e-06
56,4948,1,2425,0.6140350769467531,0.1,500,True,4e-06
61,5252,0,2552,0.5499999908333335,0.1,500,True,4e-06
66,5527,1,2659,0.49122806155740245,0.1,500,True,4e-06
71,5818,1,2779,0.618181806942149,0.1,500,True,4e-06
76,6109,1,2895,0.6140350769467531,0.1,500,True,4e-06
81,6395,1,3015,0.43859648353339503,0.1,500,True,4e-06
86,6688,1,3144,0.35087718682671604,0.1,500,True,4e-06
91,6971,1,3259,0.41666665972222233,0.1,500,True,4e-06
96,7253,1,3358,0.6031745936004033,0.1,500,True,4e-06
101,7540,1,3458,0.3749999933035716,0.1,500,True,4e-06
106,7815,1,3540,0.316666661388889,0.1,500,True,4e-06
111,8098,0,3642,0.47058822606689754,0.1,500,True,4e-06
116,8428,1,3767,0.5254237199080726,0.1,500,True,4e-06
121,8781,1,3877,0.7017543798091721,0.1,500,True,4e-06
126,9076,1,3965,0.46551723335315115,0.1,500,True,4e-06
131,9369,1,4061,0.40983605885514657,0.1,500,True,4e-06
136,9699,1,4202,0.3114754047299114,0.1,500,True,4e-06
141,9978,0,4302,0.45901638591776417,0.1,500,True,4e-06
146,10281,1,4386,0.2968749953613282,0.1,500,True,4e-06
151,10580,1,4464,0.3278688470841173,0.1,500,True,4e-06
156,10864,1,4552,0.403225799947971,0.1,500,True,4e-06
161,11142,1,4613,0.3965517173008325,0.1,500,True,4e-06
166,11866,0,4696,0.705999998588,0.1,500,True,4e-06
171,12232,1,4895,0.5084745676529735,0.1,500,True,4e-06
176,12531,1,5016,0.633333322777778,0.1,500,True,4e-06
181,12806,1,5123,0.618181806942149,0.1,500,True,4e-06
186,13099,1,5220,0.403225799947971,0.1,500,True,4e-06
191,13385,1,5309,0.26315789012003704,0.1,500,True,4e-06
196,13677,1,5374,0.3559321973570814,0.1,500,True,4e-06
201,13961,1,5451,0.18518518175583,0.1,500,True,4e-06
206,14244,1,5526,0.45283018013527965,0.1,500,True,4e-06
211,14534,1,5595,0.42857142091836753,0.1,500,True,4e-06
216,14820,1,5661,0.2586206851961951,0.1,500,True,4e-06
221,15101,1,5736,0.33333332716049396,0.1,500,True,4e-06
226,15564,1,5967,0.4074073998628259,0.1,500,True,4e-06
231,15847,0,6053,0.32203389284688316,0.1,500,True,4e-06
