Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
1,124,1,0,0.8943089358186266,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
6,589,1,281,0.7216494770963972,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
11,1109,0,594,0.7789473602216067,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
16,1580,1,906,0.7551020331112037,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
21,2090,0,1242,0.8437499912109376,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
26,2564,1,1561,0.7849462281188578,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
31,3034,1,1874,0.8969072072483794,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
36,3533,1,2231,0.7368420975069253,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
41,4113,1,2585,0.7450980343457645,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
46,4572,1,2895,0.8111111020987656,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
51,5201,0,3283,0.794520542503284,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
56,5684,0,3596,0.6813186738316629,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
61,6211,1,3934,0.7582417499094314,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
66,6674,1,4215,0.6813186738316629,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
71,7190,0,4520,0.7999999930434784,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
76,7693,1,4850,0.8229166580946181,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
81,8238,0,5141,0.7607361916519252,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
86,8722,1,5442,0.7234042476233591,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
91,9263,0,5745,0.7029702900696011,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
96,9748,0,6044,0.6831683100676406,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
101,10237,1,6335,0.7475728082759922,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
106,10706,0,6586,0.7499999925,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
111,11178,0,6851,0.8241758151189471,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
116,11658,1,7136,0.718749992513021,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
121,12147,0,7413,0.7142857069970846,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
126,12631,0,7685,0.7319587553406314,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
131,13096,1,7964,0.6853932507259185,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
136,13571,0,8241,0.7623762300754829,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
141,14056,1,8531,0.6538461475591717,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
146,14531,0,8791,0.6666666597222223,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
151,14991,0,9050,0.5813953420767983,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
156,15462,1,9309,0.6730769166050297,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
161,15931,1,9555,0.6534653400646996,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
166,16410,1,9816,0.6444444372839507,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
171,16903,0,10093,0.5544554400548967,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
176,17422,1,10355,0.6546762542829047,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
181,17909,1,10590,0.5108695596644613,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
186,18387,1,10841,0.6222222153086421,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
191,18864,1,11094,0.5760869502599245,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
196,19383,0,11358,0.6373626303586525,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
201,19868,0,11591,0.6666666597222223,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
206,20339,0,11833,0.6060605999387818,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
211,20811,1,12070,0.6947368347922439,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
216,21374,1,12355,0.5789473623268699,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
221,21846,1,12590,0.5999999933333334,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
226,22329,0,12827,0.699999993,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
231,22810,1,13033,0.5666666603703705,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
236,23287,1,13271,0.5816326471261974,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
241,23785,1,13494,0.7087378571967199,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
246,24283,1,13727,0.5757575699418428,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
251,24986,1,14070,0.6263736194903998,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
256,25466,1,14303,0.48979591336942946,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
261,25965,1,14495,0.5514705841803633,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
266,26476,1,14716,0.44329896450207257,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
271,26958,1,14937,0.5957446745133546,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
276,27418,1,15129,0.5057471206235963,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
281,27900,0,15357,0.5392156809880816,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
286,28434,1,15584,0.5283018818084728,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
291,28940,1,15796,0.4742267992347753,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
296,29442,0,16000,0.48076922614644974,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
301,29931,0,16213,0.4374999954427084,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
306,30413,0,16431,0.5698924669904036,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
311,30872,1,16615,0.44329896450207257,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
316,31349,0,16799,0.5104166613498264,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
321,31840,1,17001,0.49473683689750697,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
326,32325,1,17192,0.4999999950980393,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
331,32815,0,17388,0.472527467334863,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
336,33295,1,17585,0.49999999468085116,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
341,33775,1,17786,0.5212765901991853,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
346,34241,0,17978,0.5760869502599245,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
351,34722,0,18170,0.546391746944415,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
356,35188,0,18357,0.5670103034328835,0.01,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
