Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
1,501,0,0,0.87999999824,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
6,3001,0,1793,0.88999999822,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
11,3746,1,2338,0.8389830437374318,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
16,4206,1,2619,0.7586206809353945,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
21,4660,1,2877,0.6896551644867223,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
26,5058,1,3082,0.6849314974666918,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
31,5425,1,3282,0.6911764604238756,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
36,5783,1,3464,0.597014916462464,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
41,6127,1,3641,0.6666666574074076,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
46,6473,1,3829,0.5409835976887934,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
51,6811,1,4005,0.6774193439125913,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
56,7152,1,4188,0.7391304240705736,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
61,7492,1,4360,0.6666666577777779,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
66,7845,1,4554,0.7466666567111113,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
71,8187,1,4743,0.7361111008873459,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
76,8530,1,4935,0.5806451519250783,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
81,8856,1,5123,0.5333333244444446,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
86,9185,1,5303,0.793103434601665,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
91,9493,1,5469,0.7241379185493463,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
96,9835,1,5650,0.6323529318771628,0.01,500,False,1e-07,0.001,0.001,0.001,False,20
