Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
1,216,1,0,0.8651162750459708,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
6,1062,0,309,0.633999998732,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
11,2698,1,1258,0.6039999987920001,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
16,4341,0,2190,0.621999998756,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
21,6841,0,3388,0.56999999886,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
26,9341,1,4455,0.585999998828,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
31,11408,0,5329,0.585999998828,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
36,13473,1,6068,0.471999999056,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
41,15103,1,6793,0.6769230665088759,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
46,15899,1,7012,0.427999999144,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
51,16672,1,7420,0.6666666570048311,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
56,17454,0,7629,0.487999999024,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
61,18236,0,7982,0.7749999903125001,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
66,19444,1,8659,0.6984126873267827,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
71,20677,0,9209,0.6951219427424153,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
76,22759,0,9892,0.47999999904,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
81,23969,1,10314,0.463999999072,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
86,25610,0,11036,0.5657894662396123,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
91,26814,1,11415,0.355999999288,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
96,27586,1,11591,0.435999999128,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
101,29665,0,12220,0.327999999344,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
106,30436,1,12550,0.5820895435509024,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
111,31656,0,13138,0.4999999934210527,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
116,32444,0,13477,0.5753424578720211,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
121,33209,1,13855,0.6612903119146725,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
126,33990,1,14003,0.52999999894,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
131,34336,1,14163,0.5468749914550782,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
136,35107,1,14486,0.535211260067447,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
141,35464,1,14635,0.56410255687048,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
146,36235,1,14943,0.5199999930666668,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
151,37004,0,15270,0.42028984898130656,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
156,38631,0,15853,0.5303030222681361,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
161,38958,0,15993,0.5303030222681361,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
166,40159,1,16329,0.6190476092214665,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
171,41784,1,16712,0.34999999930000003,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
176,42992,1,17087,0.5342465680240196,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
181,43771,1,17216,0.341999999316,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
186,44992,1,17646,0.3709677359521333,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
191,45349,1,17768,0.4166666608796297,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
196,46117,1,17881,0.415999999168,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
201,46894,0,18170,0.5064934999156688,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
206,48088,0,18420,0.303999999392,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
211,48863,1,18562,0.237999999524,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
216,50060,1,18879,0.4218749934082032,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
221,51283,1,19102,0.257999999484,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
226,52041,1,19303,0.4838709599375652,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
231,53247,0,19606,0.42647058196366794,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
236,54875,0,20011,0.4393939327364556,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
241,56080,1,20177,0.231999999536,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
246,56853,1,20381,0.3043478216761185,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
251,57209,1,20507,0.43421052060249316,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
256,58404,1,20728,0.267999999464,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
261,58754,1,20833,0.41538460899408297,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
266,59530,1,21034,0.47619046863189735,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
271,60306,1,21134,0.291999999416,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
276,61526,1,21483,0.48529411051038074,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
281,62720,1,21815,0.33870967195629564,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
286,63909,1,22143,0.2999999950000001,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
291,65543,1,22524,0.21538461207100598,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
296,66307,1,22710,0.2816901368776037,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
301,66672,0,22814,0.403225799947971,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
306,67868,0,23050,0.2686567124081088,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
311,68240,1,23148,0.22950819295888208,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
316,69434,1,23443,0.28787878351698815,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
321,70202,1,23630,0.2686567124081088,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
326,70971,1,23716,0.305999999388,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
331,71748,0,23803,0.273999999452,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
336,72070,1,23880,0.2857142811791384,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
341,72397,1,23943,0.31884057508926705,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
346,73173,1,24149,0.26388888522376547,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
351,74392,1,24429,0.2702702666179694,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
