Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
1,374,1,0,0.9276139385318661,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
6,737,1,240,0.9397590248221804,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
11,1105,1,515,0.906249985839844,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
16,1461,0,758,0.9740259613762863,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
21,1827,1,1010,0.8904109467066994,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
26,2188,0,1256,0.927710832196255,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
31,2602,0,1551,0.9054053931701974,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
36,2971,0,1815,0.8266666556444446,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
41,3325,0,2049,0.8358208830474495,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
46,3674,1,2296,0.8615384482840239,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
51,4047,0,2524,0.8241758151189471,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
56,4395,0,2760,0.7878787759412307,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
61,4762,1,3001,0.7999999885714287,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
66,5101,1,3211,0.7702702598612128,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
71,5459,0,3451,0.8405796979626131,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
76,5893,0,3746,0.6865671539318335,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
81,6249,1,3985,0.8405796979626131,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
86,6572,0,4191,0.7857142744897961,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
91,6912,0,4429,0.7903225678980231,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
96,7293,0,4678,0.8088235175173012,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
101,7650,1,4898,0.7124999910937502,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
106,8013,1,5132,0.8030302908631775,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
111,8384,1,5371,0.7903225678980231,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
116,8741,1,5592,0.7671232771626949,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
121,9094,1,5813,0.7972972865230097,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
126,9468,1,6056,0.7397260172640272,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
131,9798,1,6264,0.7671232771626949,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
136,10149,0,6484,0.806451599895942,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
141,10518,0,6699,0.7530864104557233,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
146,10873,0,6925,0.7540983482934698,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
151,11199,0,7131,0.783333320277778,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
156,11552,0,7343,0.7605633695695301,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
161,11890,1,7534,0.6764705782871974,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
166,12236,1,7757,0.8571428435374152,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
171,12581,1,7961,0.8405796979626131,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
176,12973,1,8201,0.714285702947846,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
181,13315,1,8396,0.7391304240705736,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
186,13663,1,8601,0.7619047498110357,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
191,14019,1,8812,0.831168820374431,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
196,14360,1,9002,0.6818181714876035,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
201,14689,1,9201,0.7580645039021855,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
206,15088,1,9423,0.7215189782086205,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
211,15425,0,9615,0.6093749904785158,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
216,15763,1,9800,0.7313432726665183,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
221,16093,1,9981,0.6229508094598228,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
226,16504,0,10225,0.7297297198685173,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
231,16879,0,10427,0.583333326388889,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
236,17261,1,10631,0.7307692214003946,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
241,17627,0,10816,0.6666666574074076,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
246,17988,1,10993,0.7638888782793212,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
251,18357,1,11184,0.6222222153086421,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
256,18717,1,11381,0.650793640463593,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
261,19045,1,11551,0.6885245788766463,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
266,19411,1,11760,0.6753246665542252,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
271,19762,0,11948,0.6231883967653856,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
276,20133,0,12142,0.6323529318771628,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
281,20472,1,12325,0.695652163831128,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
286,20843,0,12509,0.6756756665449235,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
291,21200,1,12692,0.6268656622855872,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
296,21535,1,12870,0.5857142773469389,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
301,21855,0,13036,0.6249999902343751,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
306,22204,1,13214,0.6285714195918369,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
311,22555,1,13399,0.5882352854671282,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
316,22912,1,13582,0.5774647805990876,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
321,23248,1,13751,0.6229508094598228,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
326,23636,1,13948,0.6521739035916826,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
331,23972,1,14105,0.5999999920000001,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
336,24323,1,14284,0.5303030222681361,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
341,24671,1,14460,0.6557376941682346,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
346,25037,1,14656,0.7164178997549567,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
351,25352,1,14822,0.6612903119146725,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
356,25725,1,15005,0.6133333251555557,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
361,26078,1,15191,0.6190476092214665,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
366,26426,1,15362,0.5285714210204083,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
371,26771,1,15523,0.5312499916992189,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
376,27100,1,15687,0.5833333236111113,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
381,27450,1,15833,0.46666666044444455,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
386,27799,1,15995,0.4843749924316408,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
391,28143,1,16162,0.589041087821355,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
396,28496,1,16324,0.6075949290177858,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
401,28859,0,16492,0.5714285651491366,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
406,29209,1,16652,0.5606060521120295,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
411,29552,1,16812,0.58730157797934,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
416,29897,1,16958,0.4576271108876761,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
421,30236,1,17109,0.5263157825484766,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
426,30574,1,17262,0.49999999242424253,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
431,30931,1,17427,0.5468749914550782,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
436,31254,1,17568,0.6461538362130179,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
441,31592,1,17712,0.499999991935484,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
446,31950,1,17891,0.5373134248162176,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
451,32297,1,18041,0.6521739035916826,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
456,32644,0,18195,0.5540540465668372,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
461,32984,1,18340,0.5999999914285715,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
466,33326,0,18495,0.5714285632653062,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
471,33669,1,18650,0.5694444365354939,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
476,34038,1,18807,0.5999999920000001,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
481,34370,1,18953,0.4399999941333334,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
486,34705,1,19103,0.5333333244444446,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
491,35060,1,19252,0.5342465680240196,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
496,35425,0,19398,0.44736841516620507,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
501,35810,0,19566,0.5571428491836736,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
506,36187,1,19731,0.4878048720999406,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
511,36533,1,19854,0.5301204755407172,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
516,36908,0,20009,0.5064934999156688,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
521,37244,1,20142,0.45588234623702434,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
526,37595,1,20287,0.5138888817515433,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
531,37974,1,20448,0.45121950669244504,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
536,38329,0,20587,0.5952380881519276,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
541,38660,1,20713,0.6119402893740256,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
546,39026,0,20856,0.5555555478395063,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
551,39363,1,20999,0.5967741839229971,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
556,39712,1,21142,0.44615383928994096,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
561,40052,1,21299,0.3278688470841173,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
566,40389,0,21424,0.486111104359568,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
571,40759,1,21585,0.4393939327364556,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
576,41136,1,21708,0.3977272682076447,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
581,41471,1,21847,0.6093749904785158,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
586,41836,1,21997,0.5063291075148214,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
591,42204,1,22151,0.46575341827735045,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
596,42567,0,22288,0.507692299881657,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
601,42933,1,22423,0.4736842042936289,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
606,43282,1,22558,0.5161290239334029,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
611,43634,1,22695,0.46969696258034904,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
616,44030,1,22834,0.45783131978516484,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
621,44388,1,22967,0.45588234623702434,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
626,44719,1,23082,0.47619046863189735,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
631,45077,1,23219,0.43478260239445504,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
636,45443,1,23348,0.46376810922075207,0.1,15000,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
