Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,501,0,0,0.897999998204,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,3001,0,1766,0.841999998316,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,5501,0,3440,0.835999998328,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,8001,0,5075,0.815999998368,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,9844,0,6259,0.8129032231841832,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,11437,0,7291,0.7170542607866114,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,12828,0,8105,0.760416664026331,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,14098,0,8842,0.7368421024930748,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,15343,0,9637,0.7623762338496226,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,16474,0,10295,0.6562499965820313,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,17546,0,10890,0.6958333304340278,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,18511,0,11439,0.6666666627680312,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,19487,0,11979,0.6888888850617284,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,20385,1,12451,0.6553398026439815,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,21310,1,12927,0.6137566105092243,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,22127,0,13369,0.6291390686811982,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,22997,1,13823,0.6453900663447513,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,23836,0,14249,0.6277777742901235,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,24711,0,14673,0.5578947339058172,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,25535,1,15087,0.6305732443912533,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,26388,0,15498,0.52380952069161,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
106,27203,1,15891,0.5595238061933107,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
111,27975,1,16260,0.6788321118333422,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
116,28745,0,16626,0.5460526279864959,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
121,29484,0,16953,0.6045197705959335,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
126,30253,1,17296,0.61379309921522,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
131,30951,0,17607,0.5815602795634023,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
136,31682,0,17938,0.6015037548759117,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
141,32415,1,18261,0.5694444404899692,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
146,33162,0,18578,0.5321637395779898,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
151,33843,1,18870,0.48175182130108163,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
156,34541,1,19172,0.4705882318339101,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
161,35225,1,19461,0.6507936456286219,0.1,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
