Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,501,0,0,0.927999998144,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,2241,0,1101,0.851999998296,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,3544,0,2139,0.8252427104345368,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,5381,1,3471,0.8296943195209855,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,6862,0,4265,0.695999998608,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,8667,1,5266,0.733999998532,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,9980,0,6182,0.7525773118290999,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,11237,1,6772,0.715999998568,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,12120,0,7082,0.717999998564,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,12990,1,7624,0.7978723319375284,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,13833,0,8148,0.7590361354332996,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,15135,1,8995,0.7027026963720477,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,16403,0,9539,0.703999998592,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,18102,0,10361,0.653999998692,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,19792,1,11135,0.675999998648,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,21075,1,11913,0.6276595677908556,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,22352,1,12364,0.55999999888,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,24443,0,13265,0.58999999882,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,25334,0,13517,0.565999998868,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,26662,1,14218,0.6055045816008754,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,27549,0,14639,0.6568627386582084,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
106,29652,1,15462,0.531999998936,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
111,30954,1,15913,0.455999999088,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
116,32245,0,16576,0.6060605999387818,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
121,33543,1,17195,0.5196078380430604,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
126,34857,1,17605,0.461999999076,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
131,36534,1,18182,0.397999999204,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
136,37428,0,18399,0.443999999112,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
141,38714,0,18935,0.5799999942,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
146,39196,1,19121,0.5360824687001807,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
151,40480,0,19725,0.5517241315893778,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
156,41762,1,20095,0.451999999096,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
161,43054,0,20607,0.45833332855902786,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
166,44734,0,21229,0.4315789428254848,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
171,45594,1,21382,0.393999999212,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
176,46894,1,21810,0.47826086540642726,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
181,47759,1,22112,0.380434778473535,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
186,48243,1,22298,0.41666666232638894,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
191,50335,0,22877,0.32999999934,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
196,51618,0,23174,0.405999999188,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
201,53695,1,23725,0.381999999236,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
206,55794,1,24269,0.391999999216,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
211,58294,0,24944,0.28599999942800003,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
216,59552,1,25330,0.40449437747759126,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
221,60802,0,25671,0.2790697641968632,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
226,61652,0,25905,0.4659090856146695,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
231,63326,1,26298,0.31999999936,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
236,65411,0,26733,0.291999999416,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
241,65835,1,26853,0.35714285289115655,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
246,66679,1,27070,0.3563218349848065,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
251,67920,0,27392,0.24675324354865918,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
256,68317,1,27503,0.29999999571428576,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
261,69561,0,27837,0.32142856760204086,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
266,70809,0,28169,0.36486485993425866,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
271,71604,1,28382,0.23076922781065093,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
276,73267,1,28831,0.3037974645088929,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
281,74520,1,29147,0.247191008458528,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
