Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,345,0,0,0.8662790672491888,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,860,1,345,0.8762886507599108,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,1387,1,698,0.9207920700911676,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,1879,1,1044,0.8279569803445487,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,2387,1,1388,0.8461538380177516,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,2885,1,1712,0.8476190395464853,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,3378,0,2050,0.8775510114535612,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,4023,1,2354,0.8206106838907989,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,4527,1,2682,0.9191919099071525,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,5064,1,3021,0.8035714213966838,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,5555,1,3363,0.8617021184925306,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,6127,1,3744,0.8247422595387396,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,6838,0,4224,0.8301886714133144,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,7353,1,4549,0.7735848983624066,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,7985,1,4938,0.7227722700715618,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,8519,1,5256,0.7395833256293404,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,9090,0,5599,0.7735848983624066,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,9581,0,5920,0.6195652106569,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,10094,1,6224,0.8155339726647187,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,10590,0,6504,0.7037036971879288,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,11088,1,6810,0.6451612833853626,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
106,11731,1,7173,0.7410714219547194,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
111,12234,0,7450,0.757894728864266,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
116,12741,1,7767,0.7857142776967931,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
121,13230,0,8032,0.6310679550381753,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
126,13731,0,8322,0.6990291194269018,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
131,14277,1,8594,0.6732026099790679,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
136,14790,0,8883,0.6730769166050297,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
141,15304,1,9158,0.6074766298366671,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
146,15814,0,9430,0.6363636299357209,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
151,16312,0,9693,0.6632652993544358,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
156,16828,0,9986,0.6826923011279586,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
161,17332,1,10255,0.546391746944415,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
166,17835,1,10526,0.66666665993266,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
171,18328,1,10759,0.653061217825906,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
176,18836,1,11008,0.66666665993266,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
181,19351,0,11262,0.5816326471261974,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
186,19855,1,11519,0.5899999941,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
191,20353,0,11751,0.6285714225850341,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
196,20847,1,11990,0.534653460052936,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
201,21333,1,12228,0.5612244840691379,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
206,21835,1,12464,0.5882352883506344,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
211,22331,1,12698,0.6874999928385418,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
216,22830,1,12919,0.5833333279320988,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
221,23346,1,13162,0.5384615332840237,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
226,23862,1,13399,0.5142857093877552,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
231,24358,0,13629,0.5533980528796306,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
236,24853,1,13866,0.6299999937,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
241,25344,1,14090,0.5368420996121884,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
246,25859,1,14304,0.5624999949776787,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
251,26358,0,14529,0.5757575699418428,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
256,26860,0,14757,0.6633663300656799,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
261,27358,0,14986,0.4479166620008681,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
266,27871,0,15213,0.5252525199469442,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
271,28370,0,15439,0.5858585799408225,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
276,28888,0,15673,0.5096153797152367,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
281,29395,1,15895,0.49999999479166674,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
286,29904,1,16102,0.5619047565532881,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
291,30435,1,16317,0.4956521696030246,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
296,30951,0,16506,0.49541283949162535,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
301,31440,1,16712,0.5799999942,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
306,31945,0,16927,0.5799999942,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
311,32451,1,17128,0.44859812664861565,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
316,32944,1,17340,0.5306122394835486,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
321,33453,0,17544,0.49514562626072206,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
326,33952,1,17746,0.45918366878384015,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
331,34457,0,17930,0.5283018818084728,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
336,34945,0,18121,0.5052631525761774,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
341,35453,1,18305,0.471698108757565,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
346,35951,0,18486,0.344444440617284,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
351,36454,1,18666,0.4629629586762689,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
356,36961,0,18856,0.4329896862578383,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
361,37455,1,19040,0.38834951079272323,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
366,37959,1,19226,0.3299999967,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
371,38460,1,19422,0.38775509808413167,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
376,38947,1,19600,0.5161290267082901,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
381,39436,1,19774,0.37634408197479485,0.1,3000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
