Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
1,501,0,0,0.891999998216,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
6,3001,0,1801,0.90999999818,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
11,5501,0,3606,0.88999999822,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
16,8001,0,5399,0.891999998216,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
21,10200,0,6935,0.897999998204,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
26,12700,0,8758,0.885999998228,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
31,14816,0,10220,0.895999998208,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
36,16478,0,11567,0.8545454493663912,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
41,17598,0,12450,0.8749999945312501,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
46,18343,0,12996,0.8496240537622252,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
51,19049,0,13504,0.9302325509284298,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
56,19623,0,13929,0.9345794305179492,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
61,20561,1,14676,0.9252336362127698,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
66,21106,0,15070,0.881818173801653,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
71,21632,0,15444,0.9326922987241125,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
76,22154,0,15820,0.9166666581790125,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
81,22664,0,16180,0.8899999911000002,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
86,23186,1,16548,0.8942307606323966,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
91,23718,0,16908,0.8306451545915714,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
96,24238,0,17284,0.8867924444642222,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
101,24756,0,17649,0.9603960300950888,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
106,25337,0,18016,0.9064327432372354,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
111,25876,0,18389,0.8695652098298677,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
116,26406,1,18760,0.8761904678458051,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
121,26922,1,19132,0.8431372466359094,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
126,27431,1,19498,0.9199999908000002,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
131,27968,0,19896,0.8834951370534453,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
136,28480,0,20264,0.9117646969434834,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
141,28998,0,20636,0.9029126125930814,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
146,29509,0,21008,0.8737863992836272,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
151,30024,0,21384,0.9607843043060362,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
156,30539,1,21758,0.8543689237439911,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
161,31058,0,22134,0.8543689237439911,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
166,31569,1,22509,0.9215686184159939,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
171,32077,1,22879,0.900990090089207,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
176,32581,0,23232,0.9117646969434834,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
181,33095,0,23599,0.9038461451553256,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
186,33610,0,23967,0.8921568539984622,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
191,34153,0,24367,0.9320388259025357,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
196,34670,0,24746,0.8627450895809305,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
201,35188,1,25120,0.8173076844489646,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
206,35703,1,25480,0.9126213503628995,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
211,36216,1,25853,0.9019607754709729,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
216,36792,0,26240,0.8993710635259682,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
221,37315,1,26609,0.8240740664437587,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
226,37833,0,26981,0.8846153761094676,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
231,38351,1,27349,0.9038461451553256,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
236,38865,1,27725,0.8857142772789117,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
241,39388,0,28104,0.8962264066393736,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
246,39925,1,28482,0.8666666594444445,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
251,40464,0,28862,0.9047618961451248,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
256,40987,1,29230,0.8910891000882267,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
261,41548,0,29648,0.8640776615138092,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
266,42725,0,30554,0.8947368362188366,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
271,43581,0,31193,0.8758620629250893,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
276,44169,1,31624,0.8738738660011364,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
281,45706,1,32723,0.9034267884628449,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
286,46804,0,33587,0.8226950296262764,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
291,47380,0,34007,0.9357798079286256,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
296,47912,1,34391,0.8867924444642222,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
301,48429,0,34757,0.8737863992836272,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
306,48944,0,35131,0.9223300881327177,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
311,49453,0,35496,0.9405940500931282,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
316,49957,0,35860,0.8235294036908882,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
