Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
1,81,0,0,0.6249999921875001,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
6,423,0,205,0.6857142759183675,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
11,759,1,381,0.6666666560846563,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
16,1106,1,573,0.6615384513609469,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
21,1446,1,769,0.7647058711072666,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
26,1785,0,972,0.6612903119146725,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
31,2122,0,1162,0.6285714195918369,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
36,2484,0,1369,0.6438356076186903,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
41,2849,0,1548,0.6987951723036726,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
46,3185,1,1735,0.650793640463593,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
51,3540,1,1931,0.6056337942868479,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
56,3899,0,2137,0.6666666560846563,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
61,4239,0,2311,0.7313432726665183,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
66,4579,0,2466,0.6708860674571384,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
71,4955,0,2659,0.7042253421940093,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
76,5327,0,2856,0.5342465680240196,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
81,5711,0,3067,0.7499999882812503,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
86,6062,1,3255,0.6463414555324213,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
91,6411,1,3445,0.7462686455780799,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
96,6763,0,3635,0.5937499907226564,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
101,7164,1,3835,0.5888888823456792,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
106,7498,1,4021,0.7499999875000002,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
111,7839,1,4196,0.7272727162534437,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
