Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.6,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
1,501,0,0,0.6039999987920001,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
6,2265,0,737,0.543999998912,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
11,4085,0,1441,0.50999999898,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
16,5422,0,2088,0.4631578898614959,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
21,6087,1,2347,0.5434782549621929,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
26,6972,1,2720,0.4285714238618525,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
31,7952,1,3134,0.4313725447904653,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
36,8513,1,3358,0.43209876009754616,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
41,8885,1,3499,0.4545454486422669,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
46,9285,0,3658,0.37499999479166674,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
51,9628,0,3794,0.43749999316406263,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
56,9962,0,3901,0.41666665972222233,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
61,10338,1,4039,0.40298506861216316,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
66,11120,1,4334,0.43283581443528635,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
71,11486,1,4457,0.47887323269192633,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
76,12265,0,4581,0.387999999224,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
81,13708,0,4964,0.367999999264,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
86,14167,0,5118,0.4634146284949436,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
91,14712,0,5277,0.3902438976799525,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
96,15183,1,5425,0.36144577877776174,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
101,15661,1,5583,0.3924050583239866,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
106,16084,1,5720,0.4556961967633393,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
111,16533,0,5839,0.39393939095500463,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
116,16896,0,5955,0.3194444400077161,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
121,17257,1,6072,0.39393938797061534,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
126,18182,1,6374,0.3529411712802769,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
131,18619,0,6486,0.38356163858134745,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
136,19106,0,6623,0.3611111060956791,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
141,19454,1,6727,0.3684210477839336,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
146,19824,1,6824,0.39705881769031154,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
151,20328,1,7001,0.36486485993425866,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
156,20693,0,7091,0.4266666609777779,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
161,21037,1,7177,0.20967741597294492,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
166,21392,1,7277,0.24999999652777782,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
171,21738,1,7360,0.31506848883467825,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
176,22532,0,7569,0.32894736409279784,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
181,22951,1,7672,0.40506328601185715,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
186,23766,0,7928,0.2786885200214997,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
191,24300,1,8075,0.23076922721893497,0.1,500,False,3e-05,0.001,0.001,0.001,True,20
