Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
1,501,0,0,0.685999998628,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
6,1521,0,661,0.7283950527358636,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
11,2182,0,1035,0.6279069694429422,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
16,2617,1,1263,0.6634615320821007,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
21,2986,0,1469,0.7619047498110357,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
26,3352,1,1672,0.6164383477200227,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
31,3687,1,1863,0.5294117569204153,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
36,4458,1,2351,0.7058823425605538,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
41,4962,1,2610,0.7241379227110584,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
46,5408,1,2854,0.6842105173130195,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
51,5792,1,3064,0.7624999904687502,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
56,6120,1,3250,0.6718749895019533,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
61,6456,0,3440,0.6190476092214665,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
66,6770,1,3601,0.6031745936004033,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
71,7541,1,4044,0.7123287573653595,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
76,8777,0,4547,0.6679999986640001,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
81,10030,0,5013,0.627999998744,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
86,11118,1,5645,0.6321839007794954,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
91,12418,1,6378,0.5842696563565207,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
96,12867,1,6593,0.594339617034532,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
101,13249,0,6785,0.5972222139274693,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
106,14057,1,6990,0.627999998744,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
111,14451,1,7178,0.6321839007794954,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
116,15214,0,7331,0.601999998796,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
121,16161,1,7768,0.557142854489796,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
126,16605,0,7981,0.6547618969671203,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
131,18361,0,8723,0.597999998804,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
136,20019,1,9434,0.5965292828708693,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
141,20519,1,9648,0.5348837167838472,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
146,21044,0,9888,0.6091953952966047,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
151,21881,1,10323,0.5263157825484766,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
156,22272,1,10511,0.5479451979733535,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
161,22641,1,10677,0.5915492874429678,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
166,23182,1,10928,0.6229508094598228,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
171,23981,1,11267,0.6190476116780046,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
176,25257,0,11683,0.555999998888,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
181,26925,1,12495,0.5875706181493185,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
186,27838,1,12967,0.546391746944415,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
191,28925,1,13487,0.5789473608033242,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
196,29327,1,13671,0.5070422463796866,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
201,29745,1,13853,0.5180722829147918,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
206,31092,0,14506,0.46666666044444455,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
211,31550,1,14712,0.6176470497404846,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
216,31937,1,14886,0.4736842042936289,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
221,32296,1,15026,0.4794520482266843,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
226,32910,1,15257,0.43243242658875103,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
231,33271,1,15398,0.5384615315581855,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
236,33602,1,15547,0.4925373060815328,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
241,34368,1,15906,0.6212121117998165,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
246,34725,1,16045,0.49999999264705897,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
251,35065,0,16196,0.39705881769031154,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
256,35391,1,16318,0.46153845443786995,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
261,35702,1,16444,0.523076915029586,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
266,36035,1,16577,0.5156249919433595,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
271,36358,1,16702,0.4925373060815328,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
276,36681,1,16819,0.43076922414201196,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
281,37005,1,16937,0.42647058196366794,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
286,37317,1,17063,0.5156249919433595,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
291,37644,1,17196,0.39393938797061534,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
296,38408,1,17520,0.5303030222681361,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
301,39171,1,17814,0.32812499487304697,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
306,39944,0,17947,0.463999999072,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
311,41242,1,18476,0.3989071016453164,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
