Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
1,501,0,0,0.915999998168,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
6,1859,0,1107,0.8785046646868723,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
11,2245,0,1383,0.9342105140235459,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
16,2594,1,1615,0.8472222104552471,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
21,4319,0,3051,0.864583324327257,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
26,5704,0,4064,0.8669950696207139,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
31,7463,0,5129,0.853999998292,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
36,8084,1,5547,0.768595034970289,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
41,8492,1,5828,0.7922077819193795,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
46,8836,0,6046,0.8076922973372783,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
51,9162,1,6274,0.799999987692308,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
56,9498,0,6490,0.8648648531775021,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
61,9806,1,6702,0.7758620555885852,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
66,10118,0,6905,0.7627118514794602,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
71,10505,1,7128,0.819672124428917,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
76,11281,0,7346,0.777999998444,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
81,12523,1,8072,0.8216374244981361,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
86,13013,1,8386,0.7887323832572904,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
91,13405,0,8656,0.7586206765755056,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
96,14520,0,9395,0.7653631242158485,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
101,15304,0,9933,0.8152173824432893,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
106,16240,1,10589,0.7317073081499109,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
111,16646,1,10824,0.6951219427424153,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
116,17507,0,11420,0.7741935400624351,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
121,18021,0,11737,0.8266666556444446,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
126,18462,0,12009,0.7586206809353945,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
131,18883,0,12264,0.7323943558817697,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
136,20125,0,13120,0.7325581310167659,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
141,20918,0,13347,0.7539999984920001,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
146,21926,0,13929,0.7127659536555002,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
151,22363,0,14183,0.679012337296144,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
156,22740,0,14397,0.771084328059225,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
