Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
1,501,0,0,0.893999998212,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
6,3001,0,1800,0.865999998268,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
11,5501,0,3581,0.883999998232,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
16,7421,0,5164,0.9150326737579564,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
21,9194,0,6657,0.8925619760945291,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
26,10333,0,7423,0.8864468831998282,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
31,11361,1,8220,0.8583333261805556,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
36,11899,1,8603,0.8737863992836272,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
41,12389,0,8942,0.8586956428402648,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
46,12830,1,9238,0.7738095145975058,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
51,13295,1,9507,0.8103448206004757,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
56,13740,1,9794,0.7931034391597306,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
61,14145,1,10040,0.8243243131848066,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
66,14568,1,10298,0.6666666581196582,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
71,14961,1,10527,0.7368420955678672,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
76,15344,1,10772,0.6478873148184886,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
81,15754,1,11016,0.7294117561245675,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
86,16161,1,11280,0.7530864104557233,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
91,16569,1,11510,0.7037036950160038,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
96,16962,1,11750,0.7249999909375001,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
101,17360,1,11991,0.7999999893333335,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
106,18160,1,12215,0.8609958488361082,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
111,18582,1,12505,0.7926829171624035,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
116,18999,1,12764,0.763157884695291,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
121,19840,1,13417,0.7777777681755831,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
126,20254,1,13681,0.7733333230222224,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
131,20663,1,13925,0.7058823446366783,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
136,21071,1,14166,0.7624999904687502,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
141,21490,1,14407,0.6896551644867223,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
146,21890,1,14641,0.7356321754525037,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
151,22304,1,14894,0.7777777681755831,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
156,22713,1,15156,0.7692307593688364,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
161,23134,1,15376,0.7934782522448016,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
166,23514,1,15588,0.8552631466412745,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
171,23919,1,15815,0.6124999923437501,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
176,24335,1,16036,0.6352941101730105,0.1,500,False,1e-07,0.005,0.001,0.001,True,20
