Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
1,501,0,0,0.875999998248,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
6,3001,0,1791,0.887999998224,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
11,4808,1,3262,0.8726114594101181,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
16,5492,1,3774,0.9243697401313468,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
21,6047,0,4157,0.8504672817713338,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
26,6546,1,4485,0.8383838299153149,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
31,7033,1,4793,0.7857142776967931,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
36,7496,1,5088,0.712643669969613,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
41,7953,1,5357,0.7752808901653833,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
46,8398,1,5633,0.7528089803055171,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
51,8845,1,5898,0.8111111020987656,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
56,9286,1,6158,0.8202247098851156,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
61,9728,1,6408,0.6966292056558516,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
66,10180,1,6687,0.7444444361728396,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
71,10625,1,6971,0.8089887549551825,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
76,11063,1,7233,0.6333333262962964,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
81,11504,1,7478,0.7640449352354501,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
86,11946,1,7730,0.8333333240740742,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
91,12387,1,7991,0.7272727190082646,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
96,12832,1,8266,0.7865168450953164,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
101,13275,1,8521,0.8111111020987656,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
106,13711,1,8779,0.6352941101730105,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
111,14145,1,9033,0.8314606648150488,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
116,14587,1,9279,0.684782601252363,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
121,15030,1,9532,0.6781609117452769,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
126,15464,1,9766,0.6395348762844782,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
131,15895,1,10013,0.6511627831260142,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
136,16323,1,10241,0.6547618969671203,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
141,16756,1,10477,0.6666666592592594,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
146,17188,1,10725,0.6235294044290659,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
151,17619,1,10954,0.6666666587301588,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
156,18053,1,11199,0.7954545364152894,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
161,18492,1,11420,0.6404494310061862,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
166,18929,1,11642,0.6091953952966047,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
171,19371,1,11878,0.7241379227110584,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
176,19803,1,12123,0.6627906899675501,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
181,20235,1,12360,0.710843364929598,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
186,20663,1,12595,0.7831325206851504,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
191,21087,1,12823,0.5930232489183344,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
196,21514,1,13063,0.6190476116780046,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
201,21948,1,13300,0.712643669969613,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
206,22382,1,13543,0.5999999929411766,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
211,22817,1,13740,0.5411764642214534,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
216,23247,1,13968,0.6279069694429422,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
221,23670,1,14182,0.7590361354332996,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
226,24090,1,14393,0.6506024017999711,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
231,24520,1,14618,0.5058823469896194,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
236,24948,1,14855,0.6705882274048444,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
241,25376,1,15095,0.7647058733564015,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
246,25800,1,15312,0.6477272653667356,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
251,26220,1,15517,0.6385542091740457,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
256,26651,1,15725,0.6162790626014063,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
261,27090,1,15962,0.6781609117452769,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
266,27527,1,16200,0.6666666592592594,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
271,27960,1,16390,0.655555548271605,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
276,28391,1,16611,0.6292134760762531,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
281,28836,1,16837,0.6404494310061862,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
286,29262,1,17036,0.5581395283937264,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
291,29680,1,17246,0.5180722829147918,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
296,30106,1,17426,0.5402298788479324,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
301,30538,1,17621,0.6046511557598703,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
306,30971,1,17821,0.6373626303586525,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
311,31400,1,18035,0.6263736194903998,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
316,31833,1,18251,0.5454545392561985,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
321,32269,1,18468,0.6022727204287192,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
326,32702,1,18697,0.6111111043209877,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
331,33141,1,18912,0.5730337014265876,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
336,33579,1,19107,0.6222222153086421,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
341,34009,1,19333,0.5057471206235963,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
346,34447,1,19552,0.5930232489183344,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
351,34879,1,19769,0.6136363566632232,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
356,35320,1,20012,0.5243902375074362,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
361,35767,1,20229,0.5543478200614368,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
366,36199,1,20405,0.590909084194215,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
371,36635,1,20591,0.5647058757093426,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
376,37072,1,20815,0.5617977464966546,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
381,37511,1,21025,0.6195652106569,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
386,37952,1,21231,0.5681818117252067,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
391,38388,1,21431,0.6853932507259185,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
