Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
1,501,0,0,0.87999999824,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
6,2390,0,1498,0.8546511578217956,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
11,3610,0,2339,0.8683273990450983,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
16,4368,1,2831,0.8457711400707904,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
21,5196,0,3427,0.7803030243916438,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
26,5767,1,3822,0.8416666596527779,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
31,6457,1,4267,0.7409638509580491,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
36,7010,1,4632,0.6326530569207275,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
41,7493,1,4973,0.7582417499094314,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
46,7998,1,5321,0.8437499912109376,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
51,8492,1,5655,0.732673260072542,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
56,8972,0,5976,0.8888888790123458,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
61,9460,1,6308,0.7399999926,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
66,9947,1,6639,0.8541666577690974,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
71,10626,1,7124,0.8557692225406806,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
76,11150,0,7483,0.8737863992836272,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
81,11649,0,7805,0.8712871200862662,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
86,12212,1,8139,0.7763157843663435,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
91,12739,1,8481,0.8918918838568299,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
96,13246,1,8803,0.8217821700813647,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
101,13731,0,9122,0.8585858499132742,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
106,14226,1,9450,0.8659793725156766,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
111,14720,0,9777,0.7999999915789475,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
116,15205,1,10061,0.7244897885256144,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
121,15683,0,10350,0.7446808431416931,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
126,16167,1,10644,0.8617021184925306,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
131,16651,0,10959,0.8725490110534411,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
136,17129,1,11281,0.8404255229741966,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
141,17621,1,11590,0.8297872252150296,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
146,18088,1,11881,0.7849462281188578,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
151,18567,1,12177,0.8222222130864199,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
156,19046,0,12471,0.6734693808829655,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
161,19509,1,12757,0.8021977933824419,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
166,19983,1,13043,0.7849462281188578,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
171,20481,1,13344,0.8035714213966838,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
176,20978,0,13630,0.6470588171856979,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
181,21460,1,13873,0.7843137178008459,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
186,21950,1,14196,0.7956989161752805,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
191,22420,0,14495,0.8555555460493829,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
196,22902,1,14778,0.8080807999183758,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
201,23365,1,15051,0.7142857064364209,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
206,23839,1,15333,0.7083333259548612,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
211,24318,1,15631,0.6145833269314237,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
