Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
1,142,1,0,0.6524822648760124,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
6,1446,1,809,0.7163120516573613,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
11,3946,1,2189,0.683999998632,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
16,5275,0,2762,0.65999999868,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
21,6438,0,3407,0.7513812113183359,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
26,7579,0,4064,0.6159420245221593,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
31,8665,0,4739,0.6868686799306194,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
36,9949,1,5267,0.62999999874,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
41,11097,0,5827,0.6088888861827161,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
46,11687,1,6115,0.5507246336904013,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
51,13152,0,6743,0.633999998732,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
56,14018,0,7210,0.5316455628905625,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
61,15651,0,8055,0.5920397980495532,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
66,16866,0,8525,0.5780051136112401,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
71,18286,1,9276,0.5185185121170555,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
76,20376,1,10125,0.521999998956,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
81,22457,1,10979,0.523999998952,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
86,23304,0,11391,0.46153845562130186,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
91,23845,1,11647,0.5599999925333334,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
96,24969,0,12160,0.5185185157750343,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
101,26410,1,12661,0.535999998928,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
106,27628,1,13278,0.5270270199050403,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
111,28586,0,13753,0.5185185121170555,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
116,29421,0,14135,0.5135135065741419,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
121,31595,1,14996,0.50999999898,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
126,33015,1,15540,0.47660818574091174,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
131,34568,0,16061,0.4692482905028513,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
136,35139,0,16240,0.49999999702380954,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
141,36443,0,16781,0.494382016917056,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
146,37776,1,17336,0.4316546731535635,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
151,39090,0,17908,0.5058823469896194,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
156,40739,1,18398,0.445999999108,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
161,41525,1,18531,0.443999999112,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
166,42189,1,18770,0.39393938797061534,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
171,42548,1,18900,0.49999999418604657,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
176,43793,0,19223,0.425999999148,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
181,44556,1,19522,0.3376623332771126,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
186,45045,1,19697,0.5087719253616498,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
191,46156,1,19963,0.4499999991,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
196,47160,0,20270,0.41841004009033456,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
201,48050,0,20433,0.407999999184,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
206,48903,1,20728,0.4499999943750001,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
211,50135,1,21214,0.4929577395358065,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
216,51096,0,21555,0.3770491741467349,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
221,51851,1,21778,0.38839285540896046,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
226,53206,1,22264,0.36526945889060203,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
231,54117,0,22612,0.34482758026159344,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
236,54478,0,22706,0.4479166620008681,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
241,55965,0,23159,0.433198378812962,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
246,57273,0,23631,0.3086419714982473,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
251,58316,1,23896,0.3415300537116665,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
256,58784,1,24040,0.4910714241868623,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
261,59121,0,24142,0.42857142091836753,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
266,59968,1,24373,0.4366812208005187,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
271,60832,1,24667,0.34848484320477513,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
276,61260,0,24824,0.3815789423476455,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
281,61883,0,25038,0.3333333277777779,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
286,63077,1,25437,0.3333333280423281,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
291,63720,0,25666,0.36923076355029594,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
296,64588,1,25784,0.357999999284,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
301,65108,0,25905,0.3776595724592576,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
306,65629,1,26045,0.3194444400077161,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
311,65961,1,26141,0.261538457514793,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
316,66401,1,26270,0.3593749943847657,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
321,66718,1,26355,0.3382352891435987,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
326,67185,1,26448,0.33492822806254435,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
331,67479,1,26530,0.2711864360815858,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
336,68220,0,26746,0.34482758026159344,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
341,68526,1,26828,0.2666666622222223,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
346,69670,0,27012,0.325999999348,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
351,70429,0,27246,0.3636363570247935,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
356,71262,1,27515,0.3174603124212649,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
361,72020,0,27608,0.30999999938,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
366,72486,1,27740,0.2586206851961951,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
371,72797,1,27828,0.21818181421487612,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
376,73578,1,28045,0.3593749943847657,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
381,73992,1,28151,0.19642856792091845,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
386,74641,1,28316,0.32203389284688316,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
