Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
1,501,0,0,0.71999999856,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
6,1884,0,808,0.6927374262975563,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
11,2788,0,1255,0.6952789669730517,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
16,4532,0,2346,0.7021276545948394,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
21,6257,1,3159,0.697999998604,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
26,7671,0,3974,0.6237113369911786,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
31,9378,0,4949,0.6198830373106256,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
36,10927,0,5711,0.6286644930662394,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
41,12895,0,6694,0.6493150667142052,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
46,14629,1,7598,0.6117216094808733,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
51,15785,0,8201,0.6352941139100347,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
56,16741,0,8700,0.6565656499336803,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
61,18547,0,9659,0.6276595711294704,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
66,19532,0,10145,0.5338345824523716,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
71,20038,0,10396,0.5301204755407172,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
76,20950,1,10850,0.539130430094518,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
81,23117,1,11990,0.5329341285453046,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
86,24483,1,12678,0.423529406782007,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
91,25761,0,13113,0.537999998924,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
96,27087,1,13553,0.563999998872,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
101,28397,1,14187,0.5824175760173893,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
106,30315,0,14919,0.51999999896,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
111,31752,0,15398,0.525999998948,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
116,32259,0,15583,0.5118110195920392,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
121,33134,0,15768,0.503999998992,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
126,34760,0,16518,0.42268040801360407,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
131,35716,0,16902,0.4054054026661797,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
136,36665,0,17314,0.46774193171175865,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
141,37549,1,17506,0.481999999036,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
146,38466,0,17879,0.42268040801360407,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
