Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
1,501,0,0,0.871999998256,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
6,2671,0,1501,0.905999998188,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
11,4627,1,3049,0.9004739293816402,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
16,5841,1,4010,0.9126984054547745,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
21,7285,0,5212,0.9473684127423824,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
26,9359,0,6637,0.925999998148,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
31,11598,0,8199,0.897999998204,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
36,13538,0,9499,0.887999998224,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
41,14937,0,10648,0.9117646991782008,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
46,16054,1,11573,0.8387096684009713,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
51,17401,0,12634,0.9006622456909785,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
56,19063,0,13736,0.8918918897005114,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
61,20376,0,14459,0.891999998216,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
66,20860,1,14797,0.9636363548760332,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
71,22238,0,15883,0.90909090273363,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
76,23320,0,16740,0.8974358897655053,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
81,24210,0,17470,0.8333333226495728,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
86,25460,0,18516,0.8831168716478328,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
91,26110,0,19017,0.9154929448522121,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
96,26887,0,19652,0.8382352817906576,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
101,28533,0,20674,0.891999998216,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
106,30775,1,22220,0.891999998216,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
111,31702,0,22962,0.9058823422837372,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
116,32587,0,23617,0.781249987792969,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
121,33961,0,24589,0.8809523774565382,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
126,34906,0,25363,0.7936507810531622,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
131,35705,0,25617,0.851999998296,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
136,36951,0,26631,0.8732394243205716,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
141,37712,1,27240,0.9444444313271607,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
146,38441,1,27737,0.9047618993764173,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
151,38778,0,27979,0.8499999858333336,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
156,39528,1,28550,0.6666666555555558,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
161,40426,1,29273,0.695652163831128,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
166,40764,1,29497,0.9393939251606981,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
171,41657,0,29817,0.903999998192,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
176,42063,0,30037,0.8518518455418382,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
181,42807,0,30609,0.8448275716409039,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
186,43138,1,30780,0.4843749924316408,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
191,44331,1,31751,0.8461538331360949,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
196,45247,1,32117,0.85999999828,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
201,46117,0,32820,0.8636363505509644,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
206,46631,1,33206,0.8219177969600302,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
211,47047,1,33501,0.593220328928469,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
216,48096,0,33965,0.87999999824,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
221,49097,1,34786,0.8194444330632717,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
226,49846,1,35357,0.8630136868080317,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
